Gene = Nrgn
index = 766
Annotated 5SS: [ 368 6957 7205]
Annotated 3SS: [6729 7186 7572]
SMsplice 5SS: [ 368 6817]
SMsplice 3SS: [6729 7572]
top_k =  1000
Partition function (log Z): -4.594630145100194

Sorted 5' Splice Sites (High to Low Probability):
Position 368: 0.9901900229297617
Position 6957: 0.711286941412135
Position 5725: 0.13553957268360448
Position 7479: 0.1077816601406119
Position 1426: 0.10127951916834255
Position 3523: 0.07014302035005222
Position 5318: 0.052784556592556105
Position 3062: 0.05184445531300744
Position 936: 0.04804500233595633
Position 5515: 0.047941762712428795
Position 6233: 0.04107338442468062
Position 7205: 0.03568542769375852
Position 4299: 0.032412068846596497
Position 2679: 0.026053900566679694
Position 5622: 0.025907946463008272
Position 2932: 0.02470091234041149
Position 1309: 0.022444182267850287
Position 6341: 0.02144025830607688
Position 3734: 0.017122605199468583
Position 1430: 0.015218574482811912
Position 7066: 0.011281048297948239
Position 429: 0.009559301961038429
Position 7742: 0.007376058307309232
Position 6821: 0.006519123710760012
Position 4620: 0.00631109547502485
Position 1051: 0.0061743321526286565
Position 3012: 0.005943023867968537
Position 7036: 0.005936946678208128
Position 49: 0.004771265574475153
Position 4326: 0.00420317695867351
Position 7634: 0.0040742198547235025
Position 7330: 0.003981516112172031
Position 2576: 0.00396795361913091
Position 929: 0.0037165817739123626
Position 1218: 0.003652989583027452
Position 5555: 0.0036126445276936847
Position 170: 0.0035465224819403503
Position 10: 0.003488474754700094
Position 4927: 0.0032318136963318186
Position 5162: 0.0031043857754243236
Position 2158: 0.003056730150453869
Position 37: 0.0030108915876470295
Position 249: 0.002757660428563784
Position 1908: 0.0022838046319199144
Position 7734: 0.0019507044708245416
Position 33: 0.0018171497583526763
Position 2907: 0.0017479732263902615
Position 2899: 0.0016451990695393725
Position 2347: 0.0016363762424826905
Position 4340: 0.0015268869783956526
Position 4006: 0.0014051535958010002
Position 4923: 0.0013811412778195014
Position 3538: 0.0013618386138710948
Position 872: 0.0013431502823243989
Position 3265: 0.0013276359610339592
Position 1343: 0.0012287310834859632
Position 850: 0.0010281579698612332
Position 946: 0.0010238543801713278
Position 1072: 0.0010117239041903389
Position 41: 0.0009194968380218481
Position 5530: 0.0008572874623436561
Position 1014: 0.0007462220014232079
Position 5347: 0.0007367232356076724
Position 7101: 0.0006502928734987642
Position 5684: 0.0006386130270510593
Position 1038: 0.00048820001464199556
Position 1572: 0.00048458855783788877
Position 2938: 0.0004830195411595316
Position 2793: 0.00042102485018366385
Position 5285: 0.00038324298307795097
Position 134: 0.00037044675215748286
Position 7379: 0.0003579952884764688
Position 3499: 0.00035578410501074114
Position 5630: 0.000344227645948357
Position 227: 0.00030911005555081983
Position 7694: 0.00030266872457891734
Position 695: 0.0002584975697053129
Position 14: 0.0002479040894478206
Position 2198: 0.0002460065264445264
Position 5635: 0.0002321470993729497
Position 3639: 0.00018574260223258457
Position 1588: 0.00016486183242543523
Position 7773: 0.00013548507534939339
Position 185: 0.00013055546546620461
Position 3633: 0.00012010396940692306
Position 3748: 0.00010413887876068878
Position 97: 9.363822064712964e-05
Position 81: 5.7633940635684085e-05
Position 136: 5.0877273016351064e-05
Position 847: 4.182877815412682e-05
Position 716: 2.9675251990376004e-05
Position 658: 1.7511351451088418e-05
Position 109: 1.656333780681279e-05
Position 1103: 1.4437546501460875e-05
Position 1259: 1.236840351357774e-05
Position 841: 1.2334466006122953e-05
Position 1745: 1.0831902700199522e-05
Position 94: 9.082457694087714e-06
Position 813: 9.081431896395985e-06
Position 688: 8.371626886727548e-06
Position 898: 7.71880498232282e-06
Position 35: 7.056210322275765e-06
Position 940: 6.127716026124802e-06
Position 821: 5.221633132287291e-06
Position 1098: 4.762937548560969e-06
Position 450: 4.717103371730464e-06
Position 601: 4.1409829547139e-06
Position 446: 3.980701353722267e-06
Position 433: 3.873369296378452e-06
Position 959: 3.487308386494364e-06
Position 257: 3.478908324345748e-06
Position 604: 2.8809328191626146e-06
Position 889: 2.525949163396066e-06
Position 976: 2.185518411196623e-06
Position 6864: 1.990753903528203e-06
Position 12: 1.8576011422628622e-06
Position 485: 1.4845391970313708e-06
Position 881: 1.2678744214358895e-06
Position 372: 1.1024719015519174e-06
Position 6990: 1.0682394394977507e-06
Position 876: 1.0601358193048796e-06
Position 3448: 9.142936286993948e-07
Position 703: 5.115863585112808e-07
Position 291: 4.237356709124221e-07
Position 393: 4.1804032084018876e-07
Position 697: 3.136690614300479e-07
Position 472: 2.3215249532248206e-07
Position 391: 3.9964768553447774e-08
Position 758: 2.9325873489778594e-08
Position 799: 1.6479708254356803e-08
Position 498: 1.4540796069667529e-08
Position 978: 6.543551020134807e-09
Position 1274: 5.514597512659912e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6729: 0.9284730911260196
Position 7572: 0.3354922520123577
Position 7888: 0.22167813047796278
Position 5503: 0.15112117060235902
Position 1142: 0.0980666536507148
Position 7322: 0.08118757094491527
Position 6121: 0.06611284716092389
Position 2872: 0.06160489509906959
Position 7867: 0.06104061822475632
Position 5419: 0.05521255374084647
Position 5220: 0.05381285520330609
Position 7284: 0.05216166872325479
Position 3365: 0.04679474482785281
Position 792: 0.036757308688089615
Position 7306: 0.03323472039184029
Position 3498: 0.032438302033180405
Position 7339: 0.026543794437766274
Position 1329: 0.025536857393457506
Position 7609: 0.02543100112529548
Position 928: 0.024927280474303766
Position 7578: 0.02478818652386646
Position 4236: 0.023927676143091874
Position 2421: 0.02105532526400854
Position 2822: 0.015675713582432874
Position 7137: 0.014213544466642487
Position 130: 0.012960273926264995
Position 4036: 0.011536072099847923
Position 6412: 0.01105659101622406
Position 3264: 0.010969250717529298
Position 1208: 0.008933952978556994
Position 8240: 0.007287952259903118
Position 318: 0.007082176560725619
Position 2734: 0.006692456422046864
Position 3599: 0.006641821785060266
Position 5552: 0.0066107992137172614
Position 7517: 0.0062376095811423225
Position 1180: 0.0059897972277978585
Position 7700: 0.005679309302987369
Position 4487: 0.004879026617340324
Position 7659: 0.004542857403027611
Position 7874: 0.004103452428087477
Position 4863: 0.003590673950657183
Position 775: 0.0032373893703384446
Position 2771: 0.0030915250435713556
Position 2892: 0.0029787790814896934
Position 7758: 0.0029678399242826295
Position 7918: 0.0028754369588720064
Position 7186: 0.0026850066231954507
Position 6610: 0.0025362287218654803
Position 7358: 0.002454768489012637
Position 2481: 0.0023827061883655853
Position 1760: 0.0022021522863847785
Position 6227: 0.0021734589412048142
Position 8057: 0.002146772523810166
Position 5667: 0.0021364548559905396
Position 7120: 0.0017783036682918994
Position 5046: 0.0017624912827411566
Position 4803: 0.001603757036972488
Position 2202: 0.0015350497252086712
Position 6805: 0.0015248756133731587
Position 2398: 0.001458257287779104
Position 4562: 0.0013936268507753135
Position 2361: 0.001256481740197993
Position 7716: 0.001179345867932219
Position 2749: 0.0011774341214142727
Position 5191: 0.0011483007802358112
Position 5512: 0.00105060634681744
Position 1989: 0.0010080665095891692
Position 3384: 0.000986000642176815
Position 4192: 0.0009513630573958762
Position 621: 0.0009377668176688703
Position 2569: 0.0008427081397084547
Position 6732: 0.0007699178809681005
Position 4186: 0.0007367906285527493
Position 1308: 0.0007247125873329766
Position 2605: 0.000722141277078607
Position 2316: 0.0007110366186034856
Position 2550: 0.0007045602668278849
Position 1235: 0.000691297868300866
Position 1489: 0.0006862787591448436
Position 7523: 0.000683807711542548
Position 2022: 0.0006496814844458413
Position 5336: 0.0006487476957223429
