Gene = Urad
index = 1168
Annotated 5SS: [284]
Annotated 3SS: [6974]
SMsplice 5SS: [284]
SMsplice 3SS: [6974]
top_k =  1000
Partition function (log Z): -7.573214990470029

Sorted 5' Splice Sites (High to Low Probability):
Position 284: 0.9699148252605453
Position 2259: 0.47522740345131104
Position 3279: 0.23032208576880345
Position 2023: 0.07015921002004476
Position 6473: 0.06435033826098158
Position 6072: 0.05062252261554751
Position 124: 0.04263190608374532
Position 2380: 0.029462607840206274
Position 6850: 0.025624853386646048
Position 4948: 0.021682293468466566
Position 7056: 0.021235245965135385
Position 6936: 0.02120296272818011
Position 4393: 0.01925048985492459
Position 4624: 0.017050311313740813
Position 2228: 0.013570552278413655
Position 1630: 0.011446005346092353
Position 3384: 0.011268888040520364
Position 4665: 0.011065283977293748
Position 3998: 0.010074745729168184
Position 3424: 0.009291802543967062
Position 883: 0.008863582713667861
Position 2222: 0.008833227564445264
Position 5014: 0.008776616869436097
Position 5429: 0.007927938670922187
Position 6712: 0.007536289915737031
Position 7074: 0.005724766186969061
Position 118: 0.005472412127397486
Position 6812: 0.004368590063108397
Position 464: 0.003917076533340644
Position 6404: 0.0038167652997135515
Position 2094: 0.0034365874850482985
Position 6755: 0.0030089296820000546
Position 6313: 0.0028129601877174364
Position 4934: 0.002683153267404514
Position 1622: 0.0025319717997854207
Position 4698: 0.0023354182004030033
Position 4397: 0.002320242488104504
Position 6604: 0.002246212066609994
Position 7134: 0.0021233254217021677
Position 515: 0.0020296790284509195
Position 2216: 0.001984155967943027
Position 2651: 0.001959160424732198
Position 598: 0.0017907616395838562
Position 2665: 0.0017088898537145944
Position 1641: 0.00145362901006391
Position 568: 0.0013095963170778617
Position 6758: 0.0011023772790248476
Position 5292: 0.0009049672802874285
Position 6051: 0.0008923106742224972
Position 4435: 0.0008078723541760797
Position 6441: 0.0007699957259416641
Position 721: 0.0007133211926201021
Position 302: 0.0005559598125323685
Position 1672: 0.00045858532183896603
Position 1362: 0.00040468049883992155
Position 777: 0.0003674167580241779
Position 1311: 0.0003660947675761707
Position 172: 0.00035355668636488543
Position 2234: 0.00033977875940686004
Position 1130: 0.0002472993579196239
Position 960: 0.0002130095200363024
Position 1364: 0.00020071035204304908
Position 1924: 0.0001712846974086184
Position 1316: 0.00015582636509044756
Position 1124: 0.00013902774707796162
Position 157: 0.00013536798205940895
Position 1292: 0.00010529894094038036
Position 1666: 9.161441811676386e-05
Position 430: 8.918083908871688e-05
Position 999: 7.622766694208857e-05
Position 311: 6.561535418934359e-05
Position 1910: 5.924846967301574e-05
Position 207: 5.435343761345191e-05
Position 1366: 5.140055407870234e-05
Position 1370: 4.965872626642432e-05
Position 1368: 4.875531280502768e-05
Position 7: 4.766223635213175e-05
Position 1170: 4.493823814747016e-05
Position 840: 3.72750405253999e-05
Position 300: 3.65436468850231e-05
Position 1372: 3.3344311733846945e-05
Position 541: 3.1798642589314695e-05
Position 824: 3.0449313199803697e-05
Position 1669: 2.904124880438415e-05
Position 326: 2.695478275456871e-05
Position 1374: 2.6857203000837125e-05
Position 875: 2.39637473761508e-05
Position 1376: 2.1740011591286042e-05
Position 1351: 2.079224050482788e-05
Position 1378: 1.9660226582338858e-05
Position 2212: 1.7009674649261047e-05
Position 1380: 1.2185401849021745e-05
Position 1968: 1.0567539153281017e-05
Position 151: 9.234079782938582e-06
Position 95: 7.324797787667022e-06
Position 159: 5.354448548063192e-06
Position 2533: 4.971043256135755e-06
Position 2676: 4.281724961274722e-06
Position 2370: 2.3590808567938893e-06
Position 1420: 1.1578439991326422e-06
Position 2327: 1.100444075974316e-06
Position 2232: 1.0526731652020619e-06
Position 1416: 9.797432714632888e-07
Position 215: 6.359583093594193e-07
Position 2214: 6.036504877946972e-07
Position 1382: 5.088276907801081e-07
Position 11: 3.998475204711906e-07
Position 1834: 3.785661408683331e-07
Position 1384: 3.449993616327188e-07
Position 1085: 3.21583825286652e-07
