Gene = Stum
index = 1039
Annotated 5SS: [  340 40924 44362]
Annotated 3SS: [40743 44352 45103]
SMsplice 5SS: [  340 17681 17961 38535]
SMsplice 3SS: [17575 17816 38435 45103]
top_k =  1000
Partition function (log Z): -29.441611199746596

Sorted 5' Splice Sites (High to Low Probability):
Position 340: 0.4939334828448559
Position 240: 0.3037906784135098
Position 434: 0.13327509083891742
Position 1039: 0.11886193472620302
Position 7747: 0.1014861548876511
Position 7280: 0.04004013216158684
Position 544: 0.0191081872854599
Position 491: 0.01734487968102986
Position 5994: 0.01704907067260521
Position 711: 0.016905426822144617
Position 16092: 0.016234197255685815
Position 15843: 0.011269993606706058
Position 5545: 0.009682924540656525
Position 5614: 0.008229908201931351
Position 5616: 0.007582183112205655
Position 2325: 0.006319312819541107
Position 4051: 0.005632294265063965
Position 6697: 0.004343479381122285
Position 5857: 0.00418757250194199
Position 7335: 0.002737809006209474
Position 5618: 0.0019771814771486467
Position 6165: 0.0019566200598376796
Position 2695: 0.0019182886364752232
Position 6470: 0.0019136705798538855
Position 6755: 0.0019132103829877943
Position 8727: 0.0018702801042197903
Position 976: 0.0018544180956239918
Position 2345: 0.0018309056174589493
Position 5762: 0.0016036045444433324
Position 347: 0.001530518178961432
Position 2690: 0.0015184988028317317
Position 1031: 0.0014474174766418491
Position 294: 0.0014420035175807704
Position 6461: 0.0013335848122342227
Position 5916: 0.0011864027085319315
Position 506: 0.001038875952590522
Position 2866: 0.0009956015331862153
Position 3035: 0.0009283524589407934
Position 3508: 0.0008924631968705266
Position 7005: 0.0007840187205176832
Position 6945: 0.0007642624449260518
Position 5628: 0.0007378309956379579
Position 5878: 0.0006220736284884931
Position 4323: 0.000556122996186411
Position 2673: 0.0005166748075644111
Position 5622: 0.0004942617394872982
Position 3524: 0.00048415002425605043
Position 580: 0.0004659902489751641
Position 1383: 0.00044703907100978273
Position 1054: 0.0004280394233819779
Position 7681: 0.00041872691795081195
Position 5630: 0.00041088989835431206
Position 5735: 0.00040029726319775106
Position 3458: 0.00038262171800831
Position 5632: 0.00035778212991706713
Position 495: 0.0003195285113643747
