Gene = Strit1
index = 1038
Annotated 5SS: [  65 2594]
Annotated 3SS: [2497 2685]
SMsplice 5SS: [  65 2594]
SMsplice 3SS: [2497 2685]
top_k =  1000
Partition function (log Z): -7.5564866062564215

Sorted 5' Splice Sites (High to Low Probability):
Position 65: 0.9584475577104339
Position 2594: 0.5015703189282423
Position 1513: 0.24890588538817343
Position 1341: 0.18514018352832717
Position 410: 0.061435847303603255
Position 1664: 0.021730806738169482
Position 1880: 0.017356421524578215
Position 2263: 0.015088033294657827
Position 818: 0.01362972600833985
Position 234: 0.012994579563590916
Position 1528: 0.011972378420827937
Position 393: 0.0060149909619451065
Position 1928: 0.005576480300094222
Position 783: 0.005045725698331351
Position 1293: 0.002666818796099076
Position 1920: 0.0026226097876721295
Position 1972: 0.001741208344159343
Position 1494: 0.0014902475377491934
Position 898: 0.0014483245650863618
Position 2017: 0.0014459563299383483
Position 85: 0.0013441744260533298
Position 729: 0.0013398423257860012
Position 2113: 0.001044306305981073
Position 77: 0.0004704429827561778
Position 151: 0.00035898203022394616
Position 719: 0.00033712625578870926
Position 299: 0.0003329372873252208
Position 759: 0.00032882515437111413
Position 1803: 0.00028421116102454155
Position 914: 0.0002763839160640086
Position 948: 0.0002443556427344744
Position 376: 0.0002174784729553727
Position 1463: 0.00018064247573786543
Position 1232: 0.00016003332039099514
Position 1582: 0.0001435334824908538
Position 907: 0.00014306719850973237
Position 856: 0.00013550193354597515
Position 666: 0.00011544724258065201
Position 1249: 0.00010900818849163187
Position 2551: 0.00010646029806554803
Position 230: 9.050849883482324e-05
Position 2246: 8.559252844933979e-05
Position 2539: 7.908942839458993e-05
Position 790: 7.407215108533072e-05
Position 442: 7.071942829462624e-05
Position 1358: 6.387142488799012e-05
Position 741: 5.820059201764529e-05
Position 2028: 5.074648136951569e-05
Position 1731: 5.02367696934243e-05
Position 324: 3.5793846800074595e-05
Position 1570: 3.331978142443031e-05
Position 114: 2.1103014558143154e-05
Position 261: 1.624260285231755e-05
Position 733: 1.5256139742062048e-05
Position 780: 1.37590484674835e-05
