Gene = Cops9
index = 288
Annotated 5SS: [ 106 2299]
Annotated 3SS: [2225 4581]
SMsplice 5SS: [ 379 2299]
SMsplice 3SS: [2225 4581]
top_k =  1000
Partition function (log Z): -5.760727281019091

Sorted 5' Splice Sites (High to Low Probability):
Position 2299: 0.9668069089268589
Position 379: 0.522516731334089
Position 106: 0.3891890809687679
Position 662: 0.3066325697187567
Position 672: 0.10087119679268104
Position 597: 0.0479859307462144
Position 3301: 0.04707930959967039
Position 1364: 0.03212230300493239
Position 2583: 0.02837892580689177
Position 3713: 0.02628356590327954
Position 2447: 0.022129168783494236
Position 667: 0.021048995589294864
Position 2146: 0.020294338255084587
Position 389: 0.0191090371174838
Position 264: 0.017339172084455998
Position 396: 0.017193978761609705
Position 3296: 0.01484159682290071
Position 269: 0.013594305810219963
Position 691: 0.012687724860761957
Position 1271: 0.011072000928132215
Position 618: 0.008268028609113529
Position 4042: 0.007351356362812158
Position 1725: 0.0071573627344281255
Position 1742: 0.006534083542791584
Position 246: 0.006057791417377133
Position 4346: 0.005334632214785305
Position 140: 0.004812744520303628
Position 3838: 0.004734252613602429
Position 1013: 0.004213259357964313
Position 280: 0.003656181681649173
Position 3080: 0.0031250524372446777
Position 2654: 0.0031070548740161526
Position 3246: 0.0027585385833634062
Position 1798: 0.0025173971799445334
Position 18: 0.0023488301815591983
Position 4236: 0.001997088385608467
Position 622: 0.0018611154664252565
Position 2493: 0.00138144041309245
Position 2900: 0.001324784116076653
Position 2303: 0.0013175452050558378
Position 804: 0.0012335920539998954
Position 4167: 0.0012322472442312766
Position 3480: 0.0012042513808558839
Position 4616: 0.0011322773043406468
Position 2735: 0.0008860620412340103
Position 542: 0.0008583354219763882
Position 111: 0.0008272874064670376
Position 2359: 0.000730471819433561
Position 642: 0.0007216889450516338
Position 948: 0.0006851646174143988
Position 240: 0.0006760778645696607
Position 1299: 0.0005769320555648743
Position 579: 0.0005446028190949264
Position 4761: 0.00048082984589344915
Position 1764: 0.000475904851707647
Position 1383: 0.00043052965773209505
Position 2756: 0.0004115641756589797
Position 2854: 0.0004025864232549487
Position 3833: 0.00038402709675229205
Position 284: 0.0003249825243039911
Position 1572: 0.00031871063747809287
Position 4503: 0.00030835781020563944
Position 1308: 0.0002888359860545881
Position 114: 0.0002541111964986511
Position 3984: 0.00024535230577429304
Position 37: 0.00022859471785782704
Position 66: 0.0001947105434071745
Position 424: 0.00019443620749309292
Position 134: 0.00018144380164570768
