Gene = Zzz3
index = 1211
Annotated 5SS: [  136 24138 26769 32830 50935 52924 53126 53714 54709 55396 56141 59952
 61967]
Annotated 3SS: [24011 26614 31273 50795 52775 53009 53641 54606 55299 55987 59816 61865
 62250]
SMsplice 5SS: [  136 24138 29357 49700 50935 52924 53126 53714 54709 55396 56141 59952
 61967]
SMsplice 3SS: [24011 29247 49556 50795 52775 53009 53641 54606 55299 55987 59816 61865
 62250]
top_k =  1000
Partition function (log Z): -34.80526047211809

Sorted 5' Splice Sites (High to Low Probability):
Position 136: 0.9992508014310117
Position 5113: 0.2044782584030842
Position 3330: 0.17644201090568878
Position 6046: 0.09863324952852769
Position 2223: 0.042840274295096306
Position 1198: 0.04274170198942475
Position 3790: 0.038453518222165285
Position 1414: 0.034014452700548904
Position 8262: 0.027018696017329247
Position 1353: 0.0246091062733582
Position 3322: 0.021412269767427997
Position 1244: 0.017146463117008515
Position 645: 0.01014546752485704
Position 2930: 0.008933419420916595
Position 649: 0.006073592068677397
Position 4457: 0.004915457013315424
Position 3678: 0.00468321531606961
Position 3034: 0.004144619983822042
Position 683: 0.0022112271606569297
Position 1578: 0.0020858210943645737
Position 6167: 0.0018524962402202882
Position 4630: 0.001291269301155404
Position 7220: 0.0010117025835721099
Position 1455: 0.000992691905683752
Position 1757: 0.0008239702593355843
Position 6009: 0.0007927568658993213
Position 5012: 0.0005698272211577617
Position 4836: 0.0005141243773565755
Position 1240: 0.0004733629290581284
Position 4585: 0.00046913659998595896
Position 1979: 0.00040533465591756595
Position 4727: 0.00038404756621983116
Position 2268: 0.000383922589662522
Position 3462: 0.0003759316124104738
Position 6725: 0.00035523656116198655
Position 3409: 0.00026835394435076115
Position 1189: 0.00019352535171254115
Position 720: 0.0001672241340140966
Position 2468: 0.00014683153778953398
Position 3011: 0.00013143591745631077
Position 1147: 0.00011759363230367227
Position 695: 4.543453939304496e-05
Position 741: 4.184490821497134e-05
Position 1930: 3.7437263131393133e-05
Position 1549: 3.194670945736492e-05
Position 577: 2.483676841680472e-05
Position 1864: 2.2232464678413322e-05
Position 1080: 1.0273054718759366e-05
Position 285: 9.524105950644487e-06
Position 1269: 9.367019562172088e-06
Position 3089: 9.307788198493623e-06
Position 543: 8.421118858811673e-06
Position 1312: 7.831690322999969e-06
Position 839: 7.608984477774296e-06
Position 4219: 5.612288401256297e-06
Position 1220: 5.098411884981122e-06
Position 73: 4.24015667650476e-06
Position 1418: 3.727971582691965e-06
Position 1675: 3.5507596826379475e-06
Position 988: 3.4999815366431046e-06
Position 373: 3.4749326044603434e-06
Position 2418: 3.2172055511388285e-06
Position 1376: 2.8393708606836975e-06
Position 580: 2.7582055672554678e-06
Position 1308: 2.519519090380197e-06
Position 408: 2.4550170106860525e-06
Position 569: 2.3977935409956805e-06
Position 3956: 2.308333405581293e-06
Position 451: 2.252015733026773e-06
Position 1078: 2.1163056215538968e-06
Position 1838: 2.0895780058363044e-06
Position 1357: 1.859360881667267e-06
Position 1445: 1.8517939919954472e-06
Position 302: 1.8117621116616554e-06
Position 1049: 1.3811122144059548e-06
Position 606: 1.3685176458855914e-06
Position 763: 1.3585618177875654e-06
Position 562: 1.286991119517319e-06
Position 420: 1.1578828264230207e-06
Position 362: 9.010496743772022e-07
Position 1215: 8.730151599026578e-07
Position 158: 8.09465954672936e-07
Position 444: 6.693793157634256e-07
Position 1020: 6.26686355175407e-07
Position 1162: 5.357583813858852e-07
Position 852: 4.895753366408739e-07
Position 826: 3.296086878660175e-07
Position 1128: 3.244288189621523e-07
Position 1119: 2.97798434824162e-07
Position 810: 2.1210988940024184e-07
Position 524: 1.9071754972655668e-07
Position 1088: 1.761609063388228e-07
Position 1107: 1.1482420520569648e-07
Position 4639: 8.627687861948179e-08
Position 1160: 8.047612366334407e-08
Position 251: 7.487297822097047e-08
Position 1305: 4.385022193449941e-08
Position 1279: 2.2012204908407076e-08
Position 1285: 1.6748089622872038e-08
Position 1027: 1.3730000205212791e-08
Position 415: 5.728468297830497e-09
Position 39: 7.508069078199818e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5603: 0.2801737823980221
