Gene = Aasdhppt
index = 92
Annotated 5SS: [  214   774  6374  6998 10170]
Annotated 3SS: [  547  6251  6835 10097 12627]
SMsplice 5SS: [  176  6998 10170]
SMsplice 3SS: [ 6835 10097 12627]
top_k =  1000
Partition function (log Z): -6.248044846852668

Sorted 5' Splice Sites (High to Low Probability):
Position 6998: 0.9906313559848581
Position 10170: 0.6409947462930864
Position 326: 0.46258158627765045
Position 734: 0.32065792652414404
Position 12779: 0.23391290043699448
Position 180: 0.20167237591027848
Position 9980: 0.1586222616084929
Position 5371: 0.14275455227085307
Position 6374: 0.14175893025749373
Position 774: 0.1246196681563657
Position 740: 0.11857286019514919
Position 214: 0.08532780282397298
Position 2988: 0.08185523758720126
Position 12806: 0.0654381716712867
Position 301: 0.04433730436570606
Position 9366: 0.043296579805354306
Position 3301: 0.0425819197473648
Position 10292: 0.031123231933445544
Position 10682: 0.03075495675017207
Position 2174: 0.025991370534506963
Position 13307: 0.02488824374832275
Position 10271: 0.0248101205835742
Position 8298: 0.024254254836818263
Position 1232: 0.02391164235558941
Position 367: 0.023911287195619118
Position 9058: 0.02346389720094598
Position 54: 0.018661518235038234
Position 5254: 0.016718316619434744
Position 13704: 0.01371397168427279
Position 8231: 0.01246718567639935
Position 6387: 0.010192576690725633
Position 3124: 0.010030881375502636
Position 101: 0.00971566537046473
Position 7948: 0.009465533679534467
Position 265: 0.009227755624705023
Position 372: 0.009204744261558987
Position 1798: 0.009094270235930416
Position 838: 0.008028739110696813
Position 10581: 0.007987677703107104
Position 343: 0.005874722631203168
Position 12429: 0.005528159485855117
Position 10212: 0.005322705684974593
Position 12786: 0.004774392117922491
Position 14250: 0.004378087115547538
Position 8815: 0.0042990668307200846
Position 305: 0.0037346243274045316
Position 5570: 0.0034072889004760753
Position 1256: 0.002667119403621323
Position 10493: 0.002421305462132054
Position 79: 0.0023445247139471533
Position 2252: 0.002301525763236883
Position 6938: 0.0022562023653092448
Position 7049: 0.0022441013161895286
Position 2489: 0.0018802360294363613
Position 186: 0.0017894717456044004
Position 2682: 0.0016824726350103787
Position 4864: 0.0016571855906643619
Position 7265: 0.001306925160054877
Position 2558: 0.0012979156122367285
Position 10193: 0.001245440447956233
Position 7741: 0.0011607551920061617
Position 12828: 0.0011297647233979068
Position 7984: 0.0009894617320868372
Position 6933: 0.0008879417429347265
Position 9672: 0.0008533636795575938
Position 9349: 0.0008378579075164875
Position 10278: 0.0008373388690959426
Position 5089: 0.0007600722873089185
Position 1793: 0.0007085283832477715
Position 12326: 0.0005655825977122684
Position 420: 0.0005211463686664394
Position 641: 0.00047485987945833277
Position 116: 0.0004645304604958501
Position 10652: 0.00045401406604403
Position 7119: 0.00044853281787647767
Position 10251: 0.0004116546034546525
Position 7473: 0.00038800492463786883
Position 7956: 0.00038132350316083205
Position 8877: 0.00038089780936223126
Position 2163: 0.0003788471057231934
Position 144: 0.0003744713867404906
Position 1748: 0.0003620397984542563
Position 357: 0.00036081971688062427
Position 8953: 0.0003362837736838967
Position 8852: 0.00033611578324889267
Position 3555: 0.0003115125885131544
Position 4287: 0.0002834202352974433
Position 29: 0.00025691469009486197
Position 11681: 0.00023853110817800347
Position 284: 0.00023325764448213466
Position 8593: 0.00021887170506874415
Position 11725: 0.00019766768854403952
Position 6908: 0.00013723880377757816
Position 9917: 0.0001263427060886174
Position 9117: 0.00012510318856851822
Position 7145: 0.00011940173147028704
Position 8796: 0.00011671009564520028
Position 7830: 0.00011368322849215822
Position 8179: 0.00010142972555415145
Position 11825: 8.961024222098877e-05
Position 9572: 8.854137498137839e-05
Position 34: 8.758334506578453e-05
Position 444: 7.915903521972988e-05
Position 278: 7.842911246852389e-05
Position 9549: 7.115348947272932e-05
Position 8618: 7.012305582467345e-05
Position 313: 6.894664748726967e-05
Position 527: 6.225664304461628e-05
Position 26: 6.011758639159443e-05
Position 8610: 5.8691516309013905e-05
Position 426: 5.815072799104279e-05
Position 430: 5.797177362963602e-05
Position 7959: 4.944131702425115e-05
Position 2574: 4.862620524546844e-05
Position 61: 4.560003738081783e-05
Position 8895: 4.496291196798255e-05
Position 379: 4.1999146660612185e-05
Position 11556: 3.808731549884796e-05
Position 1463: 3.722317409938901e-05
Position 184: 3.550907745817223e-05
Position 1308: 2.9822397913828406e-05
Position 1829: 2.760969272030128e-05
Position 58: 2.4827186132819106e-05
Position 1126: 2.180276356488213e-05
Position 36: 2.1279110911764196e-05
Position 2168: 2.001783762022799e-05
Position 273: 1.2206530392218602e-05
Position 446: 8.47427427078804e-06
Position 83: 5.599753861671345e-06
Position 780: 4.164046205604316e-06
Position 493: 3.3509823791538414e-06
Position 983: 3.339106624111337e-06
Position 552: 1.6149459902898083e-06
Position 1403: 1.5088498361866446e-06
Position 508: 1.302948934615245e-06
Position 1268: 9.217323597251369e-07
