Gene = Yod1
index = 1196
Annotated 5SS: [485]
Annotated 3SS: [1388]
SMsplice 5SS: [485 777]
SMsplice 3SS: [ 718 1388]
top_k =  1000
Partition function (log Z): -7.215194611657477

Sorted 5' Splice Sites (High to Low Probability):
Position 485: 0.9760855249228245
Position 777: 0.7481745813839932
Position 286: 0.11854375898534442
Position 1083: 0.03816651839608748
Position 4540: 0.025010870530770522
Position 203: 0.01925179293994913
Position 121: 0.018047969546181295
Position 6051: 0.014353912182651309
Position 3336: 0.012517456769238027
Position 812: 0.009942075220411276
Position 1455: 0.009879516119040888
Position 1279: 0.009256644655383141
Position 6451: 0.009002737620458641
Position 190: 0.007474375569765627
Position 1620: 0.0071734718087122645
Position 548: 0.0068900687791767215
Position 784: 0.005728441965775948
Position 1536: 0.005514602230628609
Position 3120: 0.005429655150341882
Position 2824: 0.002801824901873425
Position 615: 0.0025522469211270928
Position 99: 0.002117453659445323
Position 217: 0.0016138935528393406
Position 159: 0.0013675867049226225
Position 1638: 0.0013166202677335087
Position 123: 0.0011245223532948287
Position 1115: 0.0009765781202197342
Position 1464: 0.0007676170049907426
Position 1863: 0.0007669866932589021
Position 803: 0.000699756633622163
Position 279: 0.0005875399391162924
Position 1469: 0.0005276178805830433
Position 1127: 0.0004150514507439363
Position 2422: 0.0003833036874654466
Position 816: 0.00038007356258926655
Position 1441: 0.0003607225391663325
Position 1674: 0.0003122849949425175
Position 1264: 0.0002852695663834763
Position 1389: 0.0002797333840208658
Position 5831: 0.0002656771847511306
Position 691: 0.00026127626078393493
Position 225: 0.00025427577290263283
Position 3258: 0.00022257185501849605
Position 2087: 0.00018206061418145345
Position 3657: 0.00017292282434793342
Position 1540: 0.00016888184097704547
Position 480: 0.00015642462281162476
Position 1016: 0.00013530028897183697
Position 750: 0.00012979868400855
Position 1241: 0.0001259903013230078
Position 429: 9.643250057653655e-05
Position 622: 7.65889848450609e-05
Position 1131: 7.575416181972729e-05
Position 1098: 7.432322408733876e-05
Position 398: 7.017537835708499e-05
Position 633: 6.700454975279439e-05
Position 1162: 5.578165435913944e-05
Position 837: 5.1300734848016916e-05
Position 305: 5.061788947341046e-05
Position 1154: 4.6230741236851605e-05
Position 3574: 4.4276146068184194e-05
Position 1562: 4.3551335824113625e-05
Position 76: 4.254616443930783e-05
Position 1075: 4.0591688513207444e-05
Position 512: 4.0556798864131506e-05
Position 326: 3.976897950734112e-05
Position 1547: 3.945647353361526e-05
Position 814: 3.2715794615579656e-05
Position 1487: 3.1089651603648026e-05
Position 539: 2.75148626418551e-05
Position 1699: 2.5116210359353215e-05
Position 1001: 2.263014851608702e-05
Position 412: 1.983634153873478e-05
Position 1187: 1.7695465586362896e-05
Position 524: 1.2417459932304495e-05
Position 566: 1.0592844002676865e-05
Position 558: 5.7660174389825975e-06
Position 655: 2.1054876390040744e-06
Position 2850: 2.0195495056738852e-06
Position 835: 1.4098370841144853e-06
Position 1633: 7.504881295069067e-07
Position 1613: 7.236380831549835e-07
Position 617: 4.540547644327559e-07
Position 1192: 3.0907355227931686e-07
Position 698: 2.566729150703278e-07
Position 1538: 1.5808947817015502e-07
Position 1578: 1.44710753695874e-07
Position 1255: 1.270940799461522e-07
Position 1505: 1.0354613473504361e-07
Position 1735: 1.0263409424162381e-07
Position 1269: 9.542271823214693e-08
Position 734: 7.330075621718366e-08
Position 663: 6.566513170185073e-08
Position 1729: 5.339523018100185e-08
Position 1022: 4.7922644118507834e-08
Position 952: 1.4502100969751915e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 718: 0.7098654517485631
Position 1388: 0.6704093962365706
Position 1362: 0.10304080848633777
Position 360: 0.0607234098126659
Position 398: 0.055220606339733296
Position 4438: 0.04932668049483193
Position 690: 0.04922434903680169
Position 6300: 0.04014758842441497
Position 324: 0.040098669912651715
Position 1000: 0.03013158627411997
Position 970: 0.027335024525393672
Position 5915: 0.021155846575430088
Position 641: 0.018693295093953264
Position 6304: 0.016387354007854096
Position 7009: 0.013408943265248554
Position 4908: 0.013204914176662814
Position 6627: 0.010238239487522144
Position 1057: 0.008989076405933667
Position 3065: 0.008845449209265763
Position 5515: 0.00879101828357279
Position 4890: 0.008014131390490231
Position 6853: 0.007858402777149725
Position 6333: 0.006096364348986928
Position 1805: 0.004940915441375946
Position 3227: 0.004731676234172446
Position 1536: 0.004569789026984056
Position 3156: 0.004538734026185721
Position 2707: 0.0036177086776361445
Position 2978: 0.0032485559888978566
Position 679: 0.0032340418920903343
Position 5263: 0.0032286296655786376
Position 335: 0.003058543405349982
Position 2961: 0.003047498002270634
Position 4121: 0.0030040282669129064
Position 4655: 0.0028710820347627197
Position 6217: 0.0025740925771685227
Position 4539: 0.0023987269342975524
Position 5278: 0.0022304829608909256
Position 3190: 0.0019127395654352207
Position 3531: 0.001900983991048443
Position 2823: 0.001891293725956366
Position 6940: 0.0017651505041202302
Position 5116: 0.001497365983480533
Position 3023: 0.0014746881489709734
Position 2677: 0.0014680322288697157
Position 5648: 0.001459081849712216
Position 723: 0.0014569089711638935
Position 5882: 0.001450600474135295
Position 1006: 0.0013988722182680905
Position 1497: 0.0013679211122817787
Position 5058: 0.0012678367183515372
Position 6819: 0.0011374394347582434
Position 1799: 0.0010746907773858342
