Gene = Traip
index = 1138
Annotated 5SS: [  217  4967  5474  7900  8611 10117 10700 11386 11965 12462 17794 19097
 19663 19803]
Annotated 3SS: [ 4908  5389  7859  8482 10021 10585 11297 11874 12372 17637 19047 19512
 19751 20017]
SMsplice 5SS: [  217  4967  5474  7900  8611 10117 11965 12462 17794 19097 19663]
SMsplice 3SS: [ 4908  5389  7859  8482 10021 11874 12372 17637 19047 19512 19751]
top_k =  1000
Partition function (log Z): 15.90904210596257

Sorted 5' Splice Sites (High to Low Probability):
Position 10117: 0.9932979319464196
Position 217: 0.9817030685751554
Position 17794: 0.9457560254730549
Position 8611: 0.9268038598736631
Position 11965: 0.9067277724666465
Position 7900: 0.9033699199357841
Position 12462: 0.8795804957230181
Position 19663: 0.7717132381647331
Position 19097: 0.771147038941907
Position 4967: 0.7095430182841929
Position 5474: 0.6989443915114009
Position 20093: 0.40989175664797795
Position 10704: 0.4046861328751475
Position 20508: 0.3586054286295368
Position 11386: 0.33778387896822565
Position 14928: 0.3257592561218864
Position 11419: 0.24506830405105529
Position 19865: 0.14315606599554886
Position 3976: 0.14098734693146958
Position 16731: 0.12353864977835188
Position 9890: 0.1101444037683735
Position 12439: 0.10362947523807974
Position 936: 0.09700739172460783
Position 10700: 0.09208359116353144
Position 5112: 0.08441009268165252
Position 12280: 0.08438324556342999
Position 5302: 0.0802611317371723
Position 2215: 0.07374995636837905
Position 20727: 0.07303876230098454
Position 8635: 0.06432710782670735
Position 11181: 0.0634030208947512
Position 2347: 0.05855167772967533
Position 19803: 0.05314314506312208
Position 9603: 0.05139588041607229
Position 14958: 0.050710397234344534
Position 402: 0.04311090348353209
Position 20513: 0.03768090736880049
Position 20078: 0.034484767768754115
Position 18819: 0.033293708654072524
Position 12237: 0.033124372368830333
Position 392: 0.030875806031108833
Position 20740: 0.030644904880132565
Position 20529: 0.0294252094346304
Position 6102: 0.027585234414687968
Position 7653: 0.023394827458290603
Position 19931: 0.023381991770985856
Position 20731: 0.020819099400669262
Position 12105: 0.01956525191047648
Position 3700: 0.018665296760963693
Position 11989: 0.01819536051488116
Position 19954: 0.017714399503277023
Position 4230: 0.017273501370333098
Position 9912: 0.01500390743236246
Position 3125: 0.014516554684875333
Position 16218: 0.0143006361200926
Position 11488: 0.013198247415704694
Position 18708: 0.012639489314505526
Position 12023: 0.0122629094042967
Position 9835: 0.01224193331218981
Position 11922: 0.010830703948725963
