Gene = Npsr1
index = 765
Annotated 5SS: [    49    329  36849 156686 188833 191984 202458 212078 215336]
Annotated 3SS: [   140  36715 156581 188738 191781 202380 211990 215154 215704]
SMsplice 5SS: [   329  33823  36088  36849  64442  99647 121598 127899 129194 153985
 156686 157197 187340 188833 191984 199532 202458 212078 215336]
SMsplice 3SS: [ 33697  35905  36715  64251  99525 121414 127735 129123 153891 156614
 157083 187169 188738 191781 199454 202380 211990 215154 215704]
top_k =  1000
Partition function (log Z): -102.0523272695493

Sorted 5' Splice Sites (High to Low Probability):
Position 329: 0.9255396799030216
Position 7934: 0.40887626915804737
Position 2999: 0.033404989969354384
Position 8864: 0.030178375616150978
Position 147: 0.02856594622162573
Position 360: 0.02827854816563593
Position 3740: 0.023468258266084965
Position 3953: 0.016832956449928053
Position 6451: 0.015471699743190502
Position 8711: 0.013838499168504713
Position 49: 0.012891224613711118
Position 158: 0.011364352029060634
Position 2871: 0.01104253140955561
Position 15: 0.009186103813022194
Position 1278: 0.008192089487346036
Position 7400: 0.008130571436089635
Position 602: 0.007406786679139737
Position 5908: 0.006828417256406059
Position 4623: 0.006673195439451673
Position 7936: 0.005239287963693933
Position 11908: 0.004621697515969865
Position 3122: 0.0029046427971175293
Position 7735: 0.0027445316897472998
Position 6859: 0.0026540884313890783
Position 2222: 0.0022040066086603644
Position 6789: 0.0021429826233905756
Position 7519: 0.0021268461581937527
Position 7407: 0.0018522826291773199
Position 7776: 0.0013586411585884955
Position 3771: 0.0012737111944021134
Position 5452: 0.001178361804260816
Position 7292: 0.0010092468160149957
Position 6221: 0.0009866776359330435
Position 1368: 0.0007749323984895263
Position 3569: 0.0007535376016431931
Position 7449: 0.0006778254997014841
Position 1037: 0.0005956204083320453
Position 3483: 0.0005557456132380332
Position 3882: 0.0005214429086269529
Position 5468: 0.0005047883936997652
Position 2608: 2.386856764220188e-05
Position 251: 1.4049049983098026e-05
Position 1052: 1.0850177116550992e-05
Position 669: 1.0220140165519796e-05
Position 2759: 9.462493680975298e-06
Position 4423: 9.335332598629166e-06
Position 1089: 6.53915942625611e-06
Position 1004: 4.7356748126392405e-06
Position 5417: 4.276177110163784e-06
Position 2797: 4.2626034972070385e-06
Position 2270: 4.105154665479045e-06
Position 5470: 3.5752767810398608e-06
Position 43: 2.3032531124640718e-06
Position 2832: 2.154988209580734e-06
Position 2606: 1.2423429970665679e-06
Position 290: 1.0661146969907738e-06
Position 1820: 1.0420019222423576e-06
Position 2816: 1.0405015462642719e-06
Position 2672: 9.808304618492715e-07
Position 2183: 8.670464449125639e-07
Position 1402: 8.303218985606506e-07
Position 227: 7.116748100460152e-07
Position 1022: 3.9396073733729507e-07
Position 1239: 2.164181759213732e-07
Position 1415: 2.127449308646613e-07
Position 2579: 2.1189922436036707e-07
Position 35: 1.33630308228826e-07
Position 333: 1.1266050237165234e-07
Position 2162: 5.190723285476715e-08
Position 864: 4.806388347876791e-08
Position 642: 4.126373944021954e-08
Position 274: 3.8565430921660394e-08
Position 269: 3.837901288720524e-08
Position 693: 2.813593409761979e-08
Position 612: 2.6848815926474988e-08
Position 712: 1.889838083107114e-08
Position 301: 6.919384152278221e-09
Position 780: 6.302159020791414e-09
Position 708: 5.97859294604261e-09
Position 794: 5.407834400996472e-09
Position 783: 4.575381969547745e-09
Position 384: 4.382334337702741e-09
Position 818: 3.363222707245709e-09
Position 570: 1.3392386397922954e-10
Position 768: 8.79950259844682e-12
Position 787: 8.465535101504975e-12
Position 647: 3.31764739628365e-14
Position 649: 2.213863245711267e-14
Position 606: 1.987041480221376e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 7854: 0.4646251970325343
Position 20446: 0.2565335033432231
Position 18323: 0.12985482725747222
Position 8307: 0.06171453319973934
Position 14098: 0.05942522284663445
Position 8578: 0.051546020872258534
Position 16801: 0.04618283338964081
Position 16887: 0.0344289768641053
Position 7129: 0.033039393734315435
Position 5712: 0.024753914624030475
Position 8750: 0.023422041110856058
Position 6147: 0.02322975387381284
Position 8082: 0.017654208104144593
Position 2758: 0.0173317416663521
Position 16902: 0.016908153604712414
Position 2706: 0.01661228446312862
Position 3881: 0.01444055212173188
Position 4545: 0.012810309165221714
Position 2938: 0.01260825301805283
Position 8358: 0.011844314052267648
Position 10836: 0.011573657306465767
Position 7801: 0.011467729264265413
Position 3528: 0.01099001461251272
Position 12672: 0.010878570680478974
Position 7573: 0.008907810051522176
Position 3562: 0.008812835488744026
Position 239: 0.008433335179649297
Position 9972: 0.008370681358833605
Position 2870: 0.008183026564267386
Position 10046: 0.007618106233467436
Position 3739: 0.007355237892891717
Position 8777: 0.007241822301941035
Position 10129: 0.007226859383335425
Position 7681: 0.007002975384670415
Position 8616: 0.006205874311868875
Position 2816: 0.0061867982972226825
Position 8817: 0.0060401623736882435
Position 13466: 0.005481489494658399
Position 11776: 0.0053986239064966815
Position 7472: 0.005011054084426581
Position 146: 0.005002130058963403
Position 13492: 0.0048286280602629905
Position 2732: 0.004742442478012764
Position 5313: 0.004184000254839226
Position 5382: 0.004046632766842414
Position 11058: 0.004000465263313428
Position 15408: 0.003936376406146321
Position 8257: 0.003884101087923527
Position 3671: 0.0038760311276547703
Position 140: 0.0037960953316765345
Position 2983: 0.0036003434384334993
Position 666: 0.0035997304608195667
Position 10020: 0.0033916131431816817
Position 5192: 0.003376763137688664
Position 6899: 0.003296067011124047
Position 1152: 0.003288281185613796
Position 14626: 0.002872063783260258
Position 5617: 0.0027748072312484217
Position 11771: 0.0025161627113882094
Position 1747: 0.002479687445331513
Position 7027: 0.0023181153741482032
Position 6702: 0.002106543607586676
Position 4278: 0.0020584794995414436
Position 6335: 0.002022741433898435
Position 3240: 0.0019823681084857854
Position 223: 0.0019572248291863954
Position 907: 0.0019204018103163403
Position 7291: 0.001849450852740491
Position 2464: 0.0018466112022579978
Position 200: 0.0018284922057326897
Position 6681: 0.0017682406319621908
Position 1160: 0.0017019114310132223
Position 1415: 0.0016661424847076265
Position 13556: 0.0016378667243449117
Position 1789: 0.0015464929295320796
Position 8391: 0.0015357773972370394
Position 4084: 0.0015340773739354672
Position 3402: 0.001501125477046248
Position 4969: 0.001480051377438745
Position 6211: 0.0014752064791561646
Position 9900: 0.0014288958357814479
Position 6254: 0.0013848046072517507
Position 9294: 0.0012373563606087015
Position 9333: 0.001222864054834716
Position 6827: 0.0011542327093872064
Position 10883: 0.0011139621804380135
Position 254: 0.0011088970627293492
Position 251: 0.0010717433695880251
Position 2098: 0.0010561888327671224
Position 2881: 0.0010415326754771817
Position 8931: 0.0010172751343146907
Position 1294: 0.001003526008372339
Position 5238: 0.0010025870619741076
Position 4122: 0.0009970745398873743
Position 9999: 0.000973906256975923
Position 1581: 0.0009263206454475629
Position 10177: 0.0009255635889993785
Position 1131: 0.0009224143043319875
Position 12217: 0.0009209468061140442
Position 7400: 0.0008686330341032321
Position 1089: 0.0008391405622339485
Position 8164: 0.0008275186376130698
Position 2028: 0.0008149282155328999
Position 7221: 0.0007848968090699959
Position 8863: 0.0007530642765081622
Position 328: 0.0007310092662494501
Position 7623: 0.0007175900229065571
Position 6853: 0.0007138525883272233
Position 4423: 0.000660499933122085
Position 5113: 0.0006337416440963821
Position 4511: 0.0005939226667747024
Position 3445: 0.0005899706436341819
Position 6971: 0.0005845246874696719
Position 756: 0.0005704715593653016
Position 2061: 0.0005623215920792524
Position 1718: 0.00048340663614863537
Position 6262: 0.0004714595369355201
Position 6647: 0.00046424805067666323
Position 2045: 0.0004445941721053614
Position 3022: 0.0004370462291683447
Position 5297: 0.0004233753822971968
Position 1807: 0.00041908124216567127
Position 6743: 0.0004137622091597302
Position 1136: 0.00040489369276634437
Position 1946: 0.0003585003062348765
Position 4907: 0.0003563202942177882
Position 3834: 0.0003352541077076941
Position 1482: 0.0003351233943566199
Position 3407: 0.00031867445773301227
Position 9695: 0.0003184986012826244
