Gene = Sprr2f
index = 1020
Annotated 5SS: [42]
Annotated 3SS: [688]
SMsplice 5SS: [42]
SMsplice 3SS: [688]
top_k =  1000
Partition function (log Z): -5.4126015109262084

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.6029987404865265
Position 97: 0.3399158522647164
Position 443: 0.2515773998351828
Position 799: 0.22394232894287372
Position 294: 0.12438563543643869
Position 589: 0.09188820659939455
Position 366: 0.01990501303945451
Position 774: 0.0172103902386274
Position 210: 0.016692498631501587
Position 757: 0.012521921355592706
Position 85: 0.004170893913687263
Position 93: 0.0022344199231679115
Position 761: 0.0019759416137795417
Position 759: 0.0014730594273789424
Position 570: 0.0014076035435351831
Position 936: 0.0012129888443376026
Position 9: 0.0011475506335884515
Position 801: 0.0007312231861097401
Position 828: 0.0004771646595776248
Position 539: 0.00032712686970537885
Position 402: 0.0002976193470291967
Position 1097: 0.0002847293901529976
Position 101: 0.00024905159980804923
Position 263: 0.00023444486777067877
Position 788: 0.0002205064475544965
Position 941: 0.00016590561247745706
Position 332: 0.00015786327204893154
Position 110: 0.00013723663552676506
Position 918: 0.00013290966641200691
Position 394: 0.00013205117981262014
Position 214: 0.00012510755851129942
Position 176: 0.00011712246907546839
Position 644: 0.00011208093247826895
Position 17: 9.361228330502892e-05
Position 115: 8.850297930732271e-05
Position 136: 7.76110833037995e-05
Position 594: 7.585465325362125e-05
Position 75: 6.815127339857553e-05
Position 1080: 3.243059012476291e-05
Position 453: 3.1519749156966484e-05
Position 183: 2.4976295012810987e-05
Position 842: 2.236262946477736e-05
Position 46: 1.9767705161228463e-05
Position 103: 1.846532384370527e-05
Position 434: 1.6900023233300525e-05
Position 297: 1.4972214521200803e-05
Position 488: 1.4117831992249347e-05
Position 1172: 1.3923283198817216e-05
Position 951: 1.3754234375354061e-05
Position 190: 1.0455158821072973e-05
Position 1132: 9.399874424060269e-06
Position 711: 8.580465968251623e-06
Position 990: 7.061489639308017e-06
Position 815: 6.5539085190473146e-06
Position 48: 3.3145451690942625e-06
Position 64: 2.956640869335841e-06
Position 217: 2.5690244931310416e-06
Position 729: 2.460386687679306e-06
Position 138: 1.7746526634945684e-06
Position 1025: 1.699291870061989e-06
Position 66: 1.6258729160126635e-06
Position 854: 1.768984459983838e-08
Position 889: 8.455632039966128e-09
Position 635: 1.8458382912130785e-09
Position 648: 4.729714486182188e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 688: 0.8991162646303549
Position 213: 0.2801540193664448
Position 873: 0.1584327538550876
Position 876: 0.11841633023333459
Position 343: 0.10592185513307668
Position 410: 0.07107415786405975
Position 276: 0.021045229117261116
Position 915: 0.011955337383939139
Position 1001: 0.009636071604210669
Position 293: 0.009625893783394188
Position 1025: 0.008359196994833328
Position 507: 0.006032701675249268
Position 912: 0.005270658658161983
Position 355: 0.002027957220461417
Position 381: 0.0015378852117466416
Position 1244: 0.0014628839041621131
Position 147: 0.0012023815088178917
Position 1208: 0.0010063687727545941
Position 828: 0.0009962068576846793
Position 418: 0.0009931113113844936
Position 442: 0.0008886703049735332
Position 290: 0.0006659013693849846
Position 1080: 0.00048699467470822677
Position 150: 0.00032902011889152994
Position 1172: 0.0002728170874563622
Position 84: 0.00024341679037722525
Position 534: 0.0002370753941686576
Position 558: 0.00021870344334274066
Position 721: 0.00021526581090225912
Position 726: 0.0001928502034620714
Position 774: 0.00017770429358511284
Position 918: 0.00017113697259589665
Position 176: 0.00015157857060122263
Position 1041: 8.933301103959683e-05
Position 115: 7.095181970686909e-05
Position 604: 6.209951084576501e-05
Position 512: 5.138281497030009e-05
Position 1137: 5.0283236117440954e-05
Position 539: 4.6241857479167146e-05
Position 703: 3.4444434880085845e-05
Position 225: 3.38059828438343e-05
Position 729: 3.360835437327884e-05
Position 520: 2.847318724851609e-05
Position 563: 2.6700236368287304e-05
Position 696: 2.5559174804201886e-05
Position 747: 2.4632800728272483e-05
Position 1044: 2.3526112065347566e-05
Position 547: 2.232912379148644e-05
Position 1205: 2.0765467408833228e-05
Position 1146: 1.4854290769155094e-05
Position 297: 9.773245887431851e-06
Position 936: 8.056072273547389e-06
Position 1114: 7.815089719868168e-06
Position 366: 7.3422318811274544e-06
Position 810: 6.97177011743837e-06
Position 930: 6.8638015407686344e-06
Position 963: 5.409472443908614e-06
Position 300: 4.363085512340619e-06
Position 523: 3.137365246024099e-06
Position 154: 2.892302885397658e-06
Position 932: 2.4059178171843257e-06
Position 227: 1.6085800136927564e-06
Position 587: 1.121960353425533e-06
Position 190: 1.1014800613062324e-06
Position 426: 9.159315881290937e-07
Position 610: 3.043732446374085e-07
Position 570: 2.723320733058451e-07
Position 93: 1.4331445818211632e-07
Position 618: 5.0186653269929267e-08
Position 735: 4.2762514385951285e-08
Position 110: 6.276402322077249e-09
Position 97: 7.508504264943041e-10
Position 101: 3.272389137651495e-11
Position 608: 7.274273226457477e-12
