Gene = Ilp4
index = 1227
Annotated 5SS: [316]
Annotated 3SS: [376]
SMsplice 5SS: [316]
SMsplice 3SS: [376]
Partition function (log Z): -4.622617798551937

Sorted 5' Splice Sites (High to Low Probability):
Position 316: 0.9991551591791701
Position 790: 0.003170571588329977
Position 462: 0.0004884797625650539
Position 326: 0.000482814370361242
Position 500: 0.0002861402160609197
Position 531: 0.0001885554385325649
Position 410: 0.00015122515510727948
Position 796: 0.00012170504773831157
Position 113: 0.00011720189441327437
Position 270: 0.00010150061969620173
Position 673: 9.037390304119408e-05
Position 313: 7.369675183383443e-05
Position 320: 7.215176630097368e-05
Position 705: 2.5736082721890304e-05
Position 57: 1.8673167134248965e-05
Position 514: 1.3037342449649207e-05
Position 239: 9.505562406019677e-06
Position 564: 9.438873981915673e-06
Position 37: 9.208081510246646e-06
Position 566: 8.308171714320955e-06
Position 816: 7.308240120078496e-06
Position 279: 6.278389570758389e-06
Position 521: 4.78193837220659e-06
Position 300: 3.7193459848040787e-06
Position 394: 3.539236577636307e-06
Position 206: 3.137737809945318e-06
Position 378: 1.8358177796827023e-06
Position 277: 1.737916526078693e-06
Position 707: 1.2269641892668584e-06
Position 298: 8.448662791093375e-07
Position 133: 5.196904385400059e-07
Position 502: 1.4566244528537336e-07
Position 198: 1.3482504044438793e-07
Position 11: 7.397970863974534e-08
Position 219: 6.094908907671006e-08
Position 200: 7.330153746036542e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9555793577609332
Position 828: 0.015353264198293921
Position 420: 0.009599854499371683
Position 414: 0.0084418183486721
Position 858: 0.006436872738598371
Position 384: 0.0046667891413823505
Position 423: 0.0016976507471754495
Position 444: 0.001069024091383893
Position 392: 0.0006198046050643264
Position 855: 0.0005934474667431305
Position 673: 0.00014748147114177211
Position 651: 0.00013545476049269754
Position 471: 3.839621614987856e-05
Position 861: 3.378319208980985e-05
Position 658: 3.335683729794311e-05
Position 163: 3.1390251939517984e-05
Position 461: 2.7178339507725362e-05
Position 215: 2.4710494496955603e-05
Position 206: 2.4211589069763602e-05
Position 117: 1.837545518375737e-05
Position 679: 1.2269157639068275e-05
Position 741: 1.1838952576207e-05
Position 622: 1.0454218381444486e-05
Position 498: 7.936598007253035e-06
Position 474: 3.290383545650882e-06
Position 304: 3.0841372560493345e-06
Position 468: 1.4789635533807347e-06
Position 843: 1.286642078251546e-06
Position 576: 9.618814991345516e-07
Position 148: 7.529610586281757e-07
Position 531: 5.514288550256275e-07
Position 224: 5.315369911276997e-07
Position 495: 4.849002719181848e-07
Position 573: 4.497342318872326e-07
Position 521: 2.545343018360576e-07
Position 236: 2.398327667004242e-07
Position 139: 1.4656908229395423e-07
Position 260: 1.38112689353067e-07
Position 83: 1.2594996312724966e-07
Position 91: 9.70020015811919e-08
Position 400: 3.7585183641477385e-08
Position 699: 3.5062617143570207e-08
Position 94: 3.431080599421976e-08
Position 313: 3.2222194451464496e-08
Position 310: 3.1122164048144815e-08
Position 394: 2.7555218767205976e-08
Position 432: 1.6914822825691068e-08
Position 145: 8.501818885566717e-09
Position 564: 6.6239400870254415e-09
Position 67: 3.854331672163082e-09
Position 833: 2.621763906688281e-09
Position 57: 9.95357570301919e-10
Position 74: 8.824503590789103e-10
Position 76: 8.779130713047308e-10
Position 85: 5.566479865641723e-10
Position 54: 3.788112253250817e-10
Position 133: 3.86220961316452e-11
Position 63: 3.495974247375075e-11
Position 320: 1.4069872654605338e-11
Position 248: 4.558697269468001e-12
Position 154: 3.7663616443534384e-12
Position 119: 1.397870975042044e-12
