Gene = CtIP
index = 1111
Annotated 5SS: [ 220  863 1626]
Annotated 3SS: [ 276 1003 1689]
SMsplice 5SS: [ 220  863 1626]
SMsplice 3SS: [ 276  947 1689]
Partition function (log Z): 0.8316753838621846

Sorted 5' Splice Sites (High to Low Probability):
Position 220: 0.9936632930755679
Position 1626: 0.9888372136622272
Position 863: 0.8440108633205025
Position 1331: 0.0581077806419179
Position 10: 0.05453837305929514
Position 1341: 0.03506854750222955
Position 648: 0.014393028104905827
Position 1386: 0.00829828631707003
Position 1162: 0.007133210474289102
Position 1191: 0.0036318575383430182
Position 1607: 0.002485083582520539
Position 1857: 0.0013361668911343215
Position 1251: 0.0010500316207195132
Position 997: 0.0007694487917592404
Position 1189: 0.0004319077595224764
Position 1630: 0.00041840472094366483
Position 891: 0.00038134173270228274
Position 658: 0.00024523688174087673
Position 599: 0.00023598622863470198
Position 639: 0.0002027193304829741
Position 1840: 0.0001781341961294546
Position 1616: 0.00015402482902836118
Position 1918: 0.00014030340074972145
Position 624: 0.00013183377504356788
Position 1194: 0.00012855184424666435
Position 592: 0.00012343966772073177
Position 1842: 9.694296856847447e-05
Position 1310: 8.889025457691699e-05
Position 1318: 7.382871008281591e-05
Position 1230: 6.998489237278102e-05
Position 522: 6.336305540561346e-05
Position 1910: 5.324317651672363e-05
Position 690: 5.109203603025164e-05
Position 792: 2.8067049736908264e-05
Position 1020: 2.651768174425936e-05
Position 2033: 2.40224940256818e-05
Position 893: 2.302880856910043e-05
Position 1065: 2.227355267292146e-05
Position 1594: 1.9539231573739582e-05
Position 1106: 1.9123813899999527e-05
Position 1395: 1.9087194532934194e-05
Position 1413: 1.6823299743399963e-05
Position 1807: 1.626684815270944e-05
Position 1584: 1.328960018127013e-05
Position 171: 1.2080348853987577e-05
Position 105: 1.1941368655533246e-05
Position 1948: 8.838722019341193e-06
Position 1084: 8.400786254767992e-06
Position 1091: 8.394983667701288e-06
Position 176: 7.005319576053902e-06
Position 1493: 6.783315978344321e-06
Position 781: 6.709268355608857e-06
Position 1522: 5.981421071304046e-06
Position 954: 5.71888522390941e-06
Position 1611: 5.279838817770205e-06
Position 387: 3.3575679240180146e-06
Position 1275: 3.05124460838982e-06
Position 1749: 2.7645816783635283e-06
Position 561: 2.521147211999211e-06
Position 301: 2.4603500819966836e-06
Position 805: 1.8291102642362559e-06
Position 1772: 1.8074807638361296e-06
Position 1416: 8.577247747480728e-07
Position 276: 5.532859955330526e-07
Position 2016: 4.366335715174363e-07
Position 413: 1.9191269956833e-07
Position 123: 1.3528460802300088e-07
Position 137: 7.437504128360012e-08
Position 1999: 6.326301382332137e-08
Position 1706: 6.12449600155735e-08
Position 1541: 3.737690365598343e-08
Position 2059: 3.516985449692422e-08
Position 1689: 2.92989973204341e-08
Position 1982: 2.5844925234239825e-08
Position 154: 2.509379935650194e-08
Position 120: 1.753894015113376e-08
Position 1952: 2.9597862010707553e-09
Position 261: 2.7987133059036984e-09
Position 148: 5.52523856050194e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 276: 0.9864136493957861
Position 1689: 0.8285835838006366
Position 947: 0.5339639354435369
Position 1720: 0.15951738451951378
Position 996: 0.1169395489600281
Position 1439: 0.05959447047893505
Position 1003: 0.0490023890255818
Position 1054: 0.04590883775996075
Position 1386: 0.04347473539899638
Position 87: 0.03363815175344979
Position 1413: 0.0328705255145796
Position 1091: 0.019791736043467286
Position 120: 0.017055807404003077
Position 1032: 0.01604065036307321
Position 927: 0.011907696727789541
Position 1248: 0.007792667076535484
Position 1008: 0.00668175094119175
Position 769: 0.0065340899160286235
Position 1515: 0.0060397392046567236
Position 1217: 0.005128281401333793
Position 1512: 0.004577495989232949
Position 1749: 0.0034991835336264728
Position 105: 0.0017694784645004926
Position 1060: 0.0016632303841936575
Position 341: 0.0015113691677224182
Position 1952: 0.0014772392694338524
Position 762: 0.0014135261319075975
Position 1449: 0.0012470179270664995
Position 131: 0.001177312069621779
Position 1161: 0.0008399287271168242
Position 1819: 0.0008196085619289517
Position 1443: 0.0006890249384515468
Position 1358: 0.0006677426983992753
Position 1982: 0.0005452617116228877
Position 740: 0.0005425630430357484
Position 1194: 0.0005418638257616124
Position 1120: 0.0005380603921541616
Position 1918: 0.0005219101258877215
Position 294: 0.0004933345634512184
Position 1541: 0.00047664995853364216
Position 1493: 0.0003699639355745593
Position 1728: 0.0003413019936066233
Position 2086: 0.00028661403084070616
Position 1084: 0.00027637994925550465
Position 483: 0.00024151029385362238
Position 1361: 0.00022744295887708403
Position 1772: 0.0002218548765493415
Position 719: 0.00020231672282581127
Position 1327: 0.0002000365307950116
Position 1295: 0.00018983898516250537
Position 288: 0.00016524834344722208
Position 1923: 0.00015174295737088543
Position 1565: 0.0001478213694146927
Position 490: 0.00014606269430684235
Position 1455: 0.00013794680397076248
Position 518: 0.00013140684178229
Position 1331: 0.00011614022959106656
Position 701: 0.00011425809494327529
Position 1189: 0.0001105922643907048
Position 1391: 0.00010728076481273649
Position 1891: 9.264664005284907e-05
Position 568: 7.461259940116352e-05
Position 1525: 6.029149274433051e-05
Position 315: 5.900453878691487e-05
Position 1517: 5.723449364755366e-05
Position 161: 5.4764663875196217e-05
Position 296: 5.045134386498918e-05
Position 498: 4.787912850973874e-05
Position 1822: 4.776731907733658e-05
Position 320: 3.687334221018597e-05
Position 658: 3.6730673221297275e-05
Position 326: 3.5704544798342455e-05
Position 1355: 3.4951565452605276e-05
Position 1910: 3.242330208891972e-05
Position 368: 3.0807398835502844e-05
Position 350: 3.0153183422498992e-05
Position 1568: 2.717412703166105e-05
Position 891: 2.6367132433320963e-05
Position 449: 2.4266677027868217e-05
Position 554: 2.350047399644943e-05
Position 1762: 2.1323691342651003e-05
Position 1318: 1.9324127869028198e-05
Position 1169: 1.900337705616496e-05
Position 1128: 1.792941859021896e-05
Position 1065: 1.7172866002722675e-05
Position 377: 1.2583709789053185e-05
Position 1735: 1.2252353804156764e-05
Position 899: 1.1761616893996175e-05
Position 1522: 9.06247794627372e-06
Position 2024: 8.76559726322216e-06
Position 1133: 8.38791679427609e-06
Position 1340: 7.89992408479717e-06
Position 301: 7.2410908621230875e-06
Position 860: 6.4500657389085075e-06
Position 186: 6.3823070665254e-06
Position 1481: 5.764905030480651e-06
Position 781: 5.144283474796184e-06
Position 830: 5.118955985513984e-06
Position 2095: 4.898663946164287e-06
Position 721: 4.786929093482648e-06
Position 798: 4.615096057217958e-06
Position 2092: 4.589914890463742e-06
Position 838: 4.097478210336867e-06
Position 671: 3.4398970518071206e-06
Position 1535: 3.363711678780049e-06
Position 1538: 3.229804884245435e-06
Position 307: 3.204832596718127e-06
Position 371: 2.9615106490560612e-06
Position 1070: 2.564891331296264e-06
Position 592: 2.3763172872235436e-06
Position 1337: 2.2811311846005604e-06
Position 1174: 2.137336933130915e-06
Position 392: 2.100003183959146e-06
Position 1849: 1.722146219311931e-06
Position 2033: 1.36772237108545e-06
Position 1725: 1.2661031065497929e-06
Position 792: 1.1832602618753595e-06
Position 2059: 1.0967884013150837e-06
Position 166: 1.0560554124344461e-06
Position 599: 1.0244851631591134e-06
Position 401: 9.248536716405008e-07
Position 425: 7.535298810458095e-07
Position 629: 6.568066335510828e-07
Position 788: 5.583721724886542e-07
Position 686: 5.520581996396647e-07
Position 207: 5.216281053495676e-07
Position 431: 4.5395046907012154e-07
Position 1869: 4.0179761809266027e-07
Position 1106: 3.978872142070277e-07
Position 1590: 1.7741257238410523e-07
Position 512: 1.763244569497813e-07
Position 398: 1.1523369844673144e-07
Position 457: 9.287997789557809e-08
Position 2101: 7.826579453559929e-08
Position 680: 4.186851336730228e-08
Position 620: 3.56707773736146e-08
Position 1616: 3.126077653138661e-08
Position 406: 3.1088911353941124e-08
Position 1018: 2.8591735157333545e-08
Position 176: 2.6849291029590376e-08
Position 775: 2.6599955212775486e-08
Position 2040: 2.2167596387012663e-08
Position 1840: 2.070938233354337e-08
Position 800: 1.1558721696641155e-08
Position 1607: 1.07167604669078e-08
Position 531: 9.396245007389192e-09
Position 862: 8.55801826374961e-09
Position 1871: 8.285104796459013e-09
Position 522: 7.648793883182249e-09
