Gene = r2d2
index = 1853
Annotated 5SS: [106 501]
Annotated 3SS: [198 573]
SMsplice 5SS: [501]
SMsplice 3SS: [573]
Partition function (log Z): -4.293594340010328

Sorted 5' Splice Sites (High to Low Probability):
Position 501: 0.7626115393156071
Position 106: 0.32894335182593004
Position 454: 0.23338200584912377
Position 774: 0.01625672414614648
Position 97: 0.008977139690519805
Position 1197: 0.008626481623847668
Position 1622: 0.007346984937623695
Position 672: 0.0049554502527136045
Position 1368: 0.004947911077070247
Position 89: 0.00469269531965206
Position 1871: 0.003203332633111812
Position 20: 0.0031602349442304274
Position 1405: 0.002464192678049179
Position 462: 0.0018044229712275862
Position 717: 0.0015653792972313788
Position 122: 0.0010853325410054545
Position 239: 0.00101924617701464
Position 840: 0.0007613342635685782
Position 951: 0.0005674821444279273
Position 367: 0.0004649530865722034
Position 1485: 0.0004604601132254153
Position 152: 0.0003997834045659011
Position 271: 0.00037512704806303234
Position 1355: 0.00035829399564963905
Position 320: 0.00034507213056993565
Position 1583: 0.00032981609915247695
Position 1250: 0.0003065640531935943
Position 1686: 0.00023716637888257245
Position 303: 0.00020860652294236494
Position 4: 0.00020614376144260037
Position 1592: 0.00016046033358211163
Position 1702: 0.00014595337680311276
Position 854: 0.00013193136982177824
Position 207: 0.00013190332611251853
Position 676: 0.00012747884914660285
Position 467: 9.761912462166584e-05
Position 1481: 9.139600238292719e-05
Position 374: 9.100244681694081e-05
Position 458: 8.91569005717996e-05
Position 1691: 8.837206431806526e-05
Position 975: 8.518779197920148e-05
Position 36: 7.680277841560675e-05
Position 741: 7.230024971346725e-05
Position 248: 7.058231650555416e-05
Position 1269: 6.317317645030311e-05
Position 1065: 6.205903571010926e-05
Position 228: 5.6662532881665356e-05
Position 1596: 5.544428669975347e-05
Position 877: 4.9133033054504147e-05
Position 1296: 4.215527840626609e-05
Position 1514: 3.653770390648064e-05
Position 730: 3.431752628255302e-05
Position 777: 3.202945393397184e-05
Position 1669: 2.283558712967928e-05
Position 1231: 2.232782294715483e-05
Position 1282: 2.1998501802051468e-05
Position 622: 2.1393801338017115e-05
Position 1293: 1.6258400724092336e-05
Position 9: 1.4901527423614438e-05
Position 1236: 1.3974251106464163e-05
Position 11: 1.1105728817442067e-05
Position 1254: 9.864999283704289e-06
Position 201: 9.59521743811576e-06
Position 429: 9.341416834276701e-06
Position 1562: 9.316526037986748e-06
Position 1560: 8.156318800761105e-06
Position 116: 7.797579307663948e-06
Position 1413: 7.450667771775451e-06
Position 1715: 5.641653617363921e-06
Position 1046: 5.618779001984464e-06
Position 934: 5.296119987097036e-06
Position 328: 5.093911113664728e-06
Position 1816: 4.611414025276451e-06
Position 1763: 4.402622697931381e-06
Position 1522: 3.298236785497115e-06
Position 335: 2.0375466282443357e-06
Position 820: 1.9123415575479513e-06
Position 391: 1.5218250102450255e-06
Position 978: 1.2960568549255592e-06
Position 396: 7.427962379659334e-07
Position 1773: 6.673498172941977e-07
Position 313: 6.052007567389537e-07
Position 1543: 4.920257022563301e-07
Position 586: 3.9450654284375854e-07
Position 813: 2.4825617165590034e-07
Position 828: 1.9369986107313186e-07
Position 577: 1.4643372863433614e-07
Position 1534: 4.5219281111953803e-08
Position 540: 6.851121316955421e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 573: 0.9965931875642257
Position 198: 0.30705235566570405
Position 271: 0.020790323328689415
Position 1484: 0.012493071624060974
Position 324: 0.009536121298607654
Position 1430: 0.007840827026119655
Position 1267: 0.007469671118908352
Position 840: 0.007306228579867361
Position 174: 0.0072758043456178575
Position 1936: 0.004249489575090431
Position 1513: 0.00340435614002049
Position 1773: 0.002969021877704437
Position 1691: 0.002808544961011348
Position 1807: 0.0016167447194752188
Position 429: 0.0015191122225348302
Position 1393: 0.0008636561279690085
Position 1927: 0.0008488852233436308
Position 1746: 0.000823419441773344
Position 388: 0.0008088844840094307
Position 89: 0.0006295025449070763
Position 279: 0.0005866368435680213
Position 1522: 0.0005354236461272507
Position 1559: 0.0004452121332132155
Position 367: 0.00044048954153893903
Position 1904: 0.0004085728651732694
Position 1214: 0.00031319610240186494
Position 409: 0.00030029151460922026
Position 916: 0.0002870856385316628
Position 1021: 0.00023636252379545338
Position 1136: 0.00021631894665482962
Position 1161: 0.0002121354373730366
Position 212: 0.00020896793670409743
Position 1112: 0.00014571169883319043
Position 371: 0.00012947340948793232
Position 1575: 0.00012219394803715473
Position 1555: 0.00012168957908614849
Position 391: 8.947324673914489e-05
Position 1621: 7.227118996951974e-05
Position 1231: 6.435472765648052e-05
Position 773: 4.476062763801573e-05
Position 1338: 4.137176111818976e-05
Position 610: 3.33977887977698e-05
Position 777: 3.0512643801442257e-05
Position 1310: 2.9952139082283932e-05
Position 782: 2.6846505400756083e-05
Position 1274: 2.2278118371908015e-05
Position 1139: 1.9063298899663108e-05
Position 725: 1.898161066909183e-05
Position 64: 1.0976429886720249e-05
Position 990: 1.0448237735149531e-05
Position 722: 9.993039486063473e-06
Position 662: 8.588867654522013e-06
Position 1052: 8.497000392571094e-06
Position 446: 6.703984886758703e-06
Position 954: 5.189496383763216e-06
Position 1077: 5.139572133131349e-06
Position 1405: 3.4151791495068133e-06
Position 584: 3.1216135696011396e-06
Position 1046: 3.0811936341915174e-06
Position 1236: 2.775099637263035e-06
Position 1816: 2.6812852413574612e-06
Position 1825: 2.4429137712264594e-06
Position 1010: 2.3231169841178697e-06
Position 1001: 1.857584117652243e-06
Position 854: 1.8197894228084615e-06
Position 881: 1.6590170666953615e-06
Position 799: 1.5646078381581335e-06
Position 869: 1.2634417139316082e-06
Position 787: 1.245064538197272e-06
Position 1583: 9.886888185287955e-07
Position 866: 9.205097552159456e-07
Position 975: 9.029708410183423e-07
Position 1587: 8.099382364836453e-07
Position 1313: 6.139471882830664e-07
Position 1056: 6.101397735746686e-07
Position 752: 6.056870331306749e-07
Position 1025: 5.959041312144078e-07
Position 1187: 4.1976403301226426e-07
Position 1618: 3.825073948134505e-07
Position 1068: 3.606579042118698e-07
Position 964: 2.9949884054147214e-07
Position 1181: 2.543236793683537e-07
Position 951: 2.0028917144222612e-07
Position 102: 1.9819257403984432e-07
Position 97: 1.3438752534850588e-07
Position 105: 5.0380616343107235e-08
Position 485: 4.375295069215593e-08
Position 467: 3.6972331740599305e-08
Position 1592: 7.751399446754497e-09
Position 452: 6.39479985056998e-09
Position 1172: 5.7165251874134155e-09
Position 885: 5.07810277046858e-09
Position 481: 3.05057096094484e-09
Position 1148: 9.990967422867025e-10
Position 689: 7.621438405895325e-10
Position 958: 1.8854943460088476e-10
Position 487: 1.3910771049951644e-10
Position 1174: 6.99031638514976e-12
Position 1204: 3.070190573288185e-12
Position 1063: 2.4230092897799547e-12
