Gene = KdelR
index = 1243
Annotated 5SS: [122]
Annotated 3SS: [188]
SMsplice 5SS: [122]
SMsplice 3SS: [188]
Partition function (log Z): -8.17386234013874

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.5036768209420198
Position 117: 0.459075643564324
Position 1663: 0.10872233352597589
Position 517: 0.03610971823613513
Position 449: 0.018579848064549855
Position 108: 0.012637209425437489
Position 790: 0.009682384689983677
Position 476: 0.006807701919047212
Position 1251: 0.0033866206661961325
Position 695: 0.0033117210864245157
Position 1086: 0.003038561181525561
Position 1457: 0.0030067011783200823
Position 467: 0.001867146187040041
Position 1165: 0.0018413239616103516
Position 853: 0.0011307318600411221
Position 257: 0.0011099727762408675
Position 995: 0.0010250972308168036
Position 1452: 0.0009029522258166645
Position 1520: 0.0008476019741120367
Position 265: 0.0007723095058510816
Position 1375: 0.0005310130937612773
Position 1152: 0.0005123765861562105
Position 1174: 0.00041423848257374316
Position 1341: 0.00036035326091380873
Position 410: 0.0003574381185099801
Position 797: 0.00035533537042691074
Position 605: 0.00035265171751089087
Position 1122: 0.00033010720429683173
Position 508: 0.0003193911555834797
Position 1427: 0.0002829844488129356
Position 457: 0.0002602049930034753
Position 989: 0.00025082484416003974
Position 1422: 0.00024599038483364127
Position 1033: 0.00021492981988039653
Position 626: 0.00021468883925359928
Position 498: 0.0001835867675865477
Position 224: 0.00016726179393816812
Position 521: 0.00015191927549701608
Position 49: 0.00011718608440765376
Position 782: 9.558284451466703e-05
Position 132: 9.507092578341352e-05
Position 493: 9.090203070988536e-05
Position 191: 9.052350722526399e-05
Position 948: 8.739990108770858e-05
Position 754: 7.563974160459387e-05
Position 165: 7.043347378884923e-05
Position 1083: 6.957284028991543e-05
Position 1040: 6.365437626554803e-05
Position 526: 6.042930296239983e-05
Position 581: 5.612198786581132e-05
Position 1021: 5.503640648780343e-05
Position 506: 5.421418286685384e-05
Position 1327: 5.390481055554197e-05
Position 586: 5.2193989079548115e-05
Position 478: 4.993056379987395e-05
Position 88: 3.9335175019954023e-05
Position 388: 3.3155081972333635e-05
Position 367: 3.05550588021641e-05
Position 836: 2.9234463645068134e-05
Position 320: 2.8252055653351112e-05
Position 1432: 2.583647294534796e-05
Position 887: 2.54653883445042e-05
Position 938: 2.394725101757549e-05
Position 407: 2.3411336547806737e-05
Position 1263: 2.0500146177267353e-05
Position 619: 2.042571073589299e-05
Position 1186: 1.9839321424659896e-05
Position 481: 1.9055390147585875e-05
Position 322: 1.54206943627405e-05
Position 635: 1.4819333727849888e-05
Position 1356: 1.4133207627570153e-05
Position 400: 1.166038127856524e-05
Position 848: 1.0989180930276608e-05
Position 1440: 1.0547113775859447e-05
Position 436: 9.612471093642276e-06
Position 27: 9.193871427661246e-06
Position 668: 8.426008867272031e-06
Position 1405: 8.050930443359379e-06
Position 21: 5.320921181158988e-06
Position 802: 5.040762729441621e-06
Position 1687: 4.442618191296851e-06
Position 759: 4.169632964389599e-06
Position 1533: 4.088782086154607e-06
Position 961: 2.426946120446813e-06
Position 1398: 1.9147656799210145e-06
Position 959: 1.8998076604920322e-06
Position 640: 9.995264276762607e-07
Position 313: 9.936799718683155e-07
Position 718: 6.982139142613995e-07
Position 839: 6.455036702338915e-07
Position 1596: 6.274997466747817e-07
Position 1442: 5.587981486972845e-07
Position 1288: 5.492024512040448e-07
Position 1538: 5.467653634457852e-07
Position 688: 4.555100501205787e-07
Position 966: 4.4971194428216873e-07
Position 200: 2.9390315367926945e-07
Position 1618: 2.739003797163237e-07
Position 1473: 1.3360614870434063e-07
Position 559: 4.0215241426642906e-08
Position 195: 3.566139534886679e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9667938398311272
Position 1719: 0.14452452732492965
Position 1508: 0.025641757836930817
Position 526: 0.008357165176453867
Position 1452: 0.0060548924952090796
Position 1618: 0.005980590281257498
Position 208: 0.003545964088673976
Position 1214: 0.0033337210813070765
Position 1569: 0.003187800730586935
Position 887: 0.0031310843462508875
Position 1390: 0.0028214013707922323
Position 532: 0.0026053972119699405
Position 1739: 0.0021793220769830046
Position 165: 0.0015145664941085518
Position 1251: 0.0008054952826970116
Position 1327: 0.000794949855056677
Position 349: 0.00045568713458035313
Position 1366: 0.0004318947235646382
Position 895: 0.0004010762715542998
Position 685: 0.0003528157918171754
Position 1122: 0.0002979145006384499
Position 214: 0.0002528270052228488
Position 695: 0.0001778620081671284
Position 844: 0.00016863135802751026
Position 993: 0.00012557826857256138
Position 702: 0.00010804030223631752
Position 729: 9.926637782562764e-05
Position 394: 8.226038081714482e-05
Position 1057: 7.441743228633022e-05
Position 1427: 5.069317273063161e-05
Position 1255: 4.255559825950849e-05
Position 252: 4.074073538883001e-05
Position 945: 4.063183104134451e-05
Position 901: 4.048417994981386e-05
Position 1627: 3.436160008334862e-05
Position 1515: 3.301378394320654e-05
Position 910: 2.648087631330517e-05
Position 240: 2.6075925563492558e-05
Position 904: 2.191399815976381e-05
Position 1375: 2.0649830852014204e-05
Position 1432: 1.2342475040616623e-05
Position 475: 1.1184167015462847e-05
Position 1398: 1.0963805228912286e-05
Position 1338: 9.302070789644762e-06
Position 1457: 9.068864313611025e-06
Position 1307: 8.431913220279865e-06
Position 100: 3.196340262565315e-06
Position 1523: 2.4428697130289517e-06
Position 358: 2.0170268524251613e-06
Position 1335: 1.7493130499176396e-06
Position 938: 1.7147069985599257e-06
Position 1422: 1.6257347589054924e-06
Position 619: 1.4895427396354573e-06
Position 995: 1.44907872870045e-06
Position 277: 1.4290982751409518e-06
Position 388: 1.4255413785174278e-06
Position 635: 1.2777879884695518e-06
Position 129: 1.2423670499742325e-06
Position 220: 5.06917632611323e-07
