Gene = dib
index = 1670
Annotated 5SS: [ 598 1340 1597]
Annotated 3SS: [ 737 1398 1682]
SMsplice 5SS: [ 598 1340 1597 1818]
SMsplice 3SS: [ 737 1398 1682 1939]
Partition function (log Z): 0.14514430496483

Sorted 5' Splice Sites (High to Low Probability):
Position 1340: 0.9824300854046099
Position 1597: 0.9316075474305995
Position 598: 0.8607205588245013
Position 1818: 0.6382016039108517
Position 641: 0.06853720985608681
Position 971: 0.041068014686375616
Position 1046: 0.03891624880190758
Position 1804: 0.032344687339835226
Position 622: 0.029615968559872953
Position 148: 0.019570536928814428
Position 1013: 0.011997176959303128
Position 2037: 0.010917194472336045
Position 1346: 0.009866539867165902
Position 1812: 0.00895756803718593
Position 221: 0.005810990479252793
Position 676: 0.004565922247076979
Position 447: 0.0044029699602715485
Position 2078: 0.003981135553763827
Position 986: 0.002949530355342081
Position 1043: 0.0024953475914927616
Position 1493: 0.0020334078136227327
Position 1629: 0.0017457830627279562
Position 981: 0.0010075990944580597
Position 942: 0.0007707988360543589
Position 959: 0.0006464986400572109
Position 1863: 0.000629614502778832
Position 602: 0.0005518682423255833
Position 1876: 0.0005113943091736846
Position 1344: 0.0004890597231191452
Position 1038: 0.0004408821443694314
Position 284: 0.0003257323194136914
Position 550: 0.0003098173661556856
Position 1792: 0.0003007571903088185
Position 475: 0.00029621540392083315
Position 498: 0.00025522033679058176
Position 1529: 0.00024162422105488372
Position 1317: 0.00023803651810966027
Position 1423: 0.0001713143969643704
Position 281: 0.00017109879971580587
Position 1822: 0.0001679198608161432
Position 243: 0.00015648853599857954
Position 553: 0.0001461924043423524
Position 433: 0.0001415395048016592
Position 1328: 0.00012422298406472224
Position 418: 0.00011773264134296134
Position 2134: 0.0001045219751736907
Position 1283: 0.00010341422359503796
Position 1093: 0.00010242137008385473
Position 477: 9.82930063022206e-05
Position 107: 8.89340161520761e-05
Position 428: 8.815553220156935e-05
Position 1921: 7.953919729294744e-05
Position 1139: 7.249048091775231e-05
Position 35: 6.76903293692169e-05
Position 1732: 6.60623268742561e-05
Position 1277: 6.04475655811661e-05
Position 1496: 5.580447619342772e-05
Position 1516: 5.3265343366655285e-05
