Gene = Blos4
index = 52
Annotated 5SS: [229]
Annotated 3SS: [282]
SMsplice 5SS: [229]
SMsplice 3SS: [282]
Partition function (log Z): -4.260404784180399

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.9972927869193604
Position 751: 0.2164946601142583
Position 618: 0.0021827421723851505
Position 737: 0.0017442567576969221
Position 391: 0.0013551839449506451
Position 510: 0.001191819988647623
Position 400: 0.0005775163806306254
Position 248: 0.00042182243005952285
Position 25: 0.00039073243517803025
Position 874: 0.0003665788013075079
Position 637: 0.00031990148970518036
Position 717: 0.00024121981405999618
Position 219: 0.00019951060969727682
Position 283: 0.000163046848176693
Position 377: 0.00012323151737316348
Position 44: 0.00011139643934299202
Position 233: 0.00010932967602450307
Position 967: 6.417134319708621e-05
Position 1029: 5.744999173089689e-05
Position 18: 5.6047615698861084e-05
Position 389: 5.2055273342440014e-05
Position 395: 4.2264722396269317e-05
Position 397: 3.201986035416418e-05
Position 37: 2.4498747368359292e-05
Position 682: 1.4537426722028521e-05
Position 562: 1.2841804117359161e-05
Position 515: 1.2019497333172245e-05
Position 335: 9.972768198069725e-06
Position 9: 6.538271993769265e-06
Position 977: 6.377762912049977e-06
Position 987: 4.582765962025186e-06
Position 347: 2.7216841671625016e-06
Position 421: 2.3573213438122986e-06
Position 168: 2.2868038127215883e-06
Position 1032: 1.7922676659969579e-06
Position 970: 1.6745020729147955e-06
Position 707: 1.579555594982252e-06
Position 583: 1.4805075950628812e-06
Position 433: 1.0954320119315642e-06
Position 106: 9.681033448094128e-07
Position 267: 6.405967227224418e-07
Position 287: 5.081079440261153e-07
Position 793: 5.057649129188723e-07
Position 236: 2.433123915338943e-07
Position 898: 2.4109675247316423e-07
Position 404: 1.2002509562136925e-07
Position 414: 1.1940680291480247e-07
Position 995: 1.0245658489415194e-07
Position 907: 9.224037721614621e-08
Position 460: 7.931276438970188e-08
Position 252: 7.10583268736804e-08
Position 319: 3.12225046807786e-08
Position 254: 2.1523091055660013e-08
Position 1047: 2.0086758936000727e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 282: 0.9942705518479423
Position 805: 0.19490612512672192
Position 922: 0.011564614946372856
Position 935: 0.0075494183189555334
Position 888: 0.003156028460826546
Position 334: 0.0025345638261396685
Position 869: 0.0024572763766485947
Position 849: 0.0014967460769614814
Position 1027: 0.0008928660749836427
Position 343: 0.0007111460230479713
Position 671: 0.0006107202707042494
Position 1076: 0.0005480266742906804
Position 1087: 0.0005077757177788562
Position 442: 0.0004722989861106852
Position 682: 0.0002573031866480554
Position 135: 0.00023167877235297395
Position 774: 0.00021044976763226014
Position 126: 0.00019173564843625454
Position 347: 0.00018308748327898946
Position 987: 0.00017220666591378638
Position 495: 0.00014841274257039173
Position 939: 0.00011688646528820325
Position 702: 6.278297870919122e-05
Position 692: 5.736912550955502e-05
Position 61: 4.958118729560126e-05
Position 855: 4.819428485555679e-05
Position 1047: 3.810041605594885e-05
Position 1044: 3.6854622573268136e-05
Position 734: 2.6073323963530528e-05
Position 567: 2.1605860616543695e-05
Position 504: 2.156202068552505e-05
Position 1032: 1.9438367759363258e-05
Position 530: 1.7311723588302226e-05
Position 714: 1.6352591774625093e-05
Position 466: 1.5696725707997395e-05
Position 473: 1.3176102183106959e-05
Position 400: 8.348434987567034e-06
Position 404: 7.824788130880603e-06
Position 363: 7.382889102565765e-06
Position 717: 7.158941353577083e-06
Position 453: 5.4438505863018146e-06
Position 1092: 4.793679579508324e-06
Position 539: 4.333722603043846e-06
Position 750: 3.235624049971756e-06
Position 579: 2.7376200351416826e-06
Position 428: 2.7002901231015894e-06
Position 450: 1.8487636010519275e-06
Position 102: 1.8167689005167468e-06
Position 1094: 1.3059100949458381e-06
Position 955: 1.1102948593087497e-06
Position 521: 9.032289148549434e-07
Position 267: 8.73068871469647e-07
Position 510: 7.859327162761401e-07
Position 368: 5.429008511025544e-07
Position 354: 5.074642853561576e-07
Position 421: 4.428598113666798e-07
Position 480: 2.2639006202161942e-07
Position 704: 2.200264333294737e-07
Position 515: 2.081537830447067e-07
Position 252: 1.9698397298865833e-07
Position 618: 1.891269791119501e-07
Position 153: 1.326605393599993e-07
Position 1029: 1.0369799990994162e-07
Position 1051: 8.980403249710967e-08
Position 570: 8.965658634377948e-08
Position 248: 8.187648678526667e-08
Position 624: 5.8169836388022363e-08
Position 447: 5.3404200545714784e-08
Position 150: 3.0192034564829827e-08
Position 233: 2.1333357664919965e-08
Position 137: 9.428149840611995e-09
Position 197: 4.180053060448278e-09
Position 156: 3.2878229238287516e-09
Position 723: 3.09446739490306e-09
Position 721: 3.004196404992392e-09
Position 183: 2.7466202426805425e-09
Position 384: 2.3970603027778864e-09
Position 588: 1.730883224592551e-09
Position 640: 6.318497140218456e-10
Position 630: 5.546491602274082e-10
Position 213: 7.381649974874915e-11
Position 627: 7.052250123217009e-11
