Gene = Use1
index = 1587
Annotated 5SS: [430 881]
Annotated 3SS: [ 523 1279]
SMsplice 5SS: [430 881]
SMsplice 3SS: [ 523 1279]
Partition function (log Z): -0.3398226170922538

Sorted 5' Splice Sites (High to Low Probability):
Position 881: 0.968853668852398
Position 430: 0.9352210247177288
Position 456: 0.055071549558922954
Position 1209: 0.019480080466168864
Position 630: 0.0069217307097407315
Position 25: 0.0049418280225619615
Position 238: 0.003756927345229733
Position 451: 0.003657717737511314
Position 605: 0.0013834088240575783
Position 739: 0.0013453175100573412
Position 862: 0.001043200299769774
Position 1280: 0.0009732272189094184
Position 231: 0.0008086125141425868
Position 1224: 0.0004412921446414952
Position 891: 0.00024105008846829034
Position 14: 0.00021342483530695998
Position 1170: 0.0001636112350343891
Position 96: 0.00012776772250639064
Position 1232: 0.00010069528281243689
Position 1177: 8.70074442116593e-05
Position 339: 6.038861733455049e-05
Position 1185: 5.435951106238104e-05
Position 834: 4.229632269843484e-05
Position 304: 2.9780914703173495e-05
Position 1113: 2.680500640291293e-05
Position 904: 2.6618017047876323e-05
Position 170: 2.2725240820815204e-05
Position 1034: 2.1088621130000242e-05
Position 976: 1.9140368781687855e-05
Position 885: 1.8844472276525546e-05
Position 1285: 1.8709934864867024e-05
Position 45: 1.5798839721956717e-05
Position 1008: 1.3395547728389218e-05
Position 229: 1.0803434754524288e-05
Position 909: 1.0761484132256719e-05
Position 1021: 9.883639894354384e-06
Position 297: 9.800981667462221e-06
Position 1320: 6.420460350243852e-06
Position 1356: 6.317867845531889e-06
Position 1317: 6.25013111154703e-06
Position 1404: 3.6954413560574397e-06
Position 179: 3.584721336864903e-06
Position 589: 2.51130926401514e-06
Position 898: 2.0389349238318404e-06
Position 1143: 1.7802460147514234e-06
Position 749: 1.5373072337210857e-06
Position 489: 1.280867480086374e-06
Position 843: 1.1188943645704067e-06
Position 52: 8.425894384070875e-07
Position 744: 4.560462313986554e-07
Position 742: 2.9467007867214727e-07
Position 1395: 1.8546094869348847e-07
Position 572: 1.0970647101264858e-07
Position 1382: 4.465277561005707e-08
Position 495: 3.012771062147386e-08
Position 545: 2.5299415272638575e-08
Position 1256: 2.5204693688802393e-08
Position 63: 1.969672650233995e-08
Position 55: 9.032974284970726e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 523: 0.9857531261119942
Position 1279: 0.9520997036018362
Position 1224: 0.01849646389696208
Position 495: 0.009811304464321916
Position 1021: 0.00603493212002816
Position 976: 0.005033821439291638
Position 1066: 0.004626382624560308
Position 693: 0.004324245893376232
Position 1299: 0.003479449273610041
Position 336: 0.0030391949600900455
Position 699: 0.002667840430160733
Position 294: 0.001652523522632522
Position 1342: 0.0015076406710105414
Position 89: 0.0012093678012870383
Position 1077: 0.001199020390533088
Position 572: 0.0010554439293508882
Position 787: 0.0006117221825182568
Position 1387: 0.00038518125731800833
Position 317: 0.0003190485916631152
Position 1365: 0.0002726887124678834
Position 1092: 0.0002512638249436313
Position 654: 0.000202628705754691
Position 1157: 0.0001416342663387811
Position 542: 0.00010804071139609586
Position 648: 0.00010732163377322799
Position 1170: 9.57597979391796e-05
Position 1429: 8.260578736161197e-05
Position 1185: 7.919962566269167e-05
Position 1352: 7.622651522508163e-05
Position 1085: 7.38989910223472e-05
Position 793: 5.035591081436275e-05
Position 266: 4.719135571214553e-05
Position 1403: 4.4612764423723836e-05
Position 1311: 3.8936306128506037e-05
Position 926: 3.6364100025483264e-05
Position 227: 3.61249444937422e-05
Position 1369: 3.09595775103845e-05
Position 149: 2.7024469707237817e-05
Position 1451: 2.3682829343438686e-05
Position 915: 1.5156473343611921e-05
Position 880: 1.4822651780286809e-05
Position 1426: 1.3388789301494831e-05
Position 1308: 1.2436809399062379e-05
Position 716: 1.2265599638311436e-05
Position 651: 1.2265182887304656e-05
Position 705: 1.091731380222489e-05
Position 594: 1.0707291685014498e-05
Position 1314: 1.0348984188894317e-05
Position 728: 5.994755346363574e-06
Position 621: 4.730652538310523e-06
Position 142: 4.304568265430103e-06
Position 209: 3.958625452007115e-06
Position 1317: 2.777097919073554e-06
Position 556: 2.717005034835061e-06
Position 553: 1.8154386746687665e-06
Position 1459: 1.4754593002179605e-06
Position 369: 1.3109838888989658e-06
Position 826: 9.284702192343876e-07
Position 581: 8.156720962623031e-07
Position 1401: 8.048363082597015e-07
Position 550: 7.316374823574242e-07
Position 170: 7.055328751049229e-07
Position 1323: 6.965206093378047e-07
Position 1256: 6.550783277729615e-07
Position 343: 4.030753789848376e-07
Position 376: 3.6724628111560874e-07
Position 167: 3.503109373571767e-07
Position 738: 2.825435618621691e-07
Position 391: 2.333612534221828e-07
Position 179: 2.0330715287855991e-07
Position 380: 2.0013174378832256e-07
Position 160: 1.8698975717588787e-07
Position 630: 1.6240112639780477e-07
Position 795: 1.4255502292341266e-07
Position 904: 1.082365387976463e-07
Position 128: 1.0029946236592084e-07
Position 451: 9.039551012687317e-08
Position 257: 9.007424589425137e-08
Position 834: 8.339343738117463e-08
Position 1143: 7.748922179175768e-08
Position 1395: 4.932921506579055e-08
Position 416: 4.542201330495726e-08
Position 663: 3.551213326154271e-08
Position 203: 3.1963431723039144e-08
Position 810: 5.7550501794277795e-09
Position 229: 3.149123791872489e-09
Position 428: 2.6010396175656007e-09
Position 801: 1.1530445953406765e-09
Position 730: 2.0160821779677705e-11
Position 885: 7.575870220225282e-12
Position 438: 7.575130045209087e-12
