Gene = Nuf2
index = 1334
Annotated 5SS: [373 806]
Annotated 3SS: [432 862]
SMsplice 5SS: [373 806]
SMsplice 3SS: [432 862]
Partition function (log Z): -0.26294469461022285

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.9943025064705238
Position 806: 0.9894425036971721
Position 561: 0.010997101274891695
Position 1017: 0.0018669902490311737
Position 99: 0.0010194486300838872
Position 1151: 0.0007434391945456547
Position 618: 0.0007283043519173625
Position 789: 0.00047144458688549453
Position 574: 0.0002837571247175699
Position 733: 0.00023033909404282854
Position 344: 0.0001543916038225742
Position 1194: 0.00014845891617442264
Position 507: 0.00013295209473098826
Position 28: 0.00011059772615700299
Position 927: 9.708580085813221e-05
Position 1221: 6.358590558030314e-05
Position 519: 3.0460496930353952e-05
Position 306: 1.8731380674326304e-05
Position 388: 1.5436015400776567e-05
Position 492: 1.5036385390132584e-05
Position 916: 1.25750498506007e-05
Position 192: 1.071000677894032e-05
Position 810: 8.21198528911976e-06
Position 774: 7.292603245966336e-06
Position 784: 5.670823230677206e-06
Position 771: 4.7151820424472385e-06
Position 1078: 4.665124224735115e-06
Position 294: 3.718544941429081e-06
Position 256: 3.4765390244988683e-06
Position 1227: 2.815694570264141e-06
Position 1083: 2.5545994476346554e-06
Position 84: 1.8313894003444017e-06
Position 263: 1.5018681637126952e-06
Position 815: 1.164119857221954e-06
Position 961: 1.1326083149617225e-06
Position 435: 9.88490873876663e-07
Position 1056: 8.685670113897705e-07
Position 859: 8.666770551650248e-07
Position 318: 8.271312618133992e-07
Position 77: 7.71780313032499e-07
Position 999: 7.241427013334578e-07
Position 688: 6.566606828067818e-07
Position 683: 5.91393198940797e-07
Position 754: 4.2914857344594264e-07
Position 208: 4.1588387016721425e-07
Position 296: 3.7005820758179165e-07
Position 1010: 3.6048203875858353e-07
Position 494: 1.6969336860041726e-07
Position 279: 1.6358104596939458e-07
Position 1246: 4.751393900609459e-08
Position 1141: 4.539035343112467e-08
Position 1067: 1.3924876844172268e-08
Position 849: 6.277469659893452e-09
Position 888: 3.872954732844208e-09
Position 835: 3.697984477571225e-09
Position 177: 1.4554737988337156e-09
Position 881: 8.520472721336898e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 862: 0.9889653776802976
Position 432: 0.9819135018801194
Position 491: 0.007617131819978244
Position 725: 0.006542123740033005
Position 680: 0.0037849124659684987
Position 683: 0.0033850917610913273
Position 650: 0.002280027747266705
Position 1097: 0.0009138329741170827
Position 1094: 0.000827702315149504
Position 148: 0.0007969206496693319
Position 872: 0.0005540166368465209
Position 1214: 0.0004912113628476685
Position 1106: 0.00045241075186080196
Position 731: 0.0003259115669440774
Position 1281: 0.00030069655273438076
Position 1220: 0.00029225563177946316
Position 728: 0.00018757439302034297
Position 926: 0.00017071655517191258
Position 691: 0.00011714204616567724
Position 185: 0.0001085990948205055
Position 1083: 0.00010129889269584389
Position 972: 9.947321034564847e-05
Position 638: 8.601464687845238e-05
Position 506: 7.837910406522008e-05
Position 170: 7.191728314827846e-05
Position 503: 6.520791004196525e-05
Position 84: 5.638576661265986e-05
Position 97: 4.836488702722787e-05
Position 1046: 4.605653628228142e-05
Position 1016: 4.3418005844007376e-05
Position 989: 4.152028796480683e-05
Position 1361: 3.118754446761118e-05
Position 961: 2.9480825769766008e-05
Position 642: 2.357827793914825e-05
Position 665: 1.3109800497676769e-05
Position 522: 9.767628016660004e-06
Position 323: 8.950579958912464e-06
Position 560: 8.74834150216566e-06
Position 239: 7.959715940121675e-06
Position 581: 7.590301725771676e-06
Position 1241: 4.806946653918658e-06
Position 1193: 4.0959773336315716e-06
Position 1162: 3.369153732297467e-06
Position 767: 3.1149433043573856e-06
Position 566: 3.0398364745831488e-06
Position 227: 3.01934043480879e-06
Position 1277: 2.582058224282242e-06
Position 1157: 2.404090163451114e-06
Position 306: 2.396244448276786e-06
Position 1340: 2.0142082179629708e-06
Position 110: 2.001005113733494e-06
Position 372: 1.8648237620870889e-06
Position 608: 1.5415314514266274e-06
Position 1169: 1.1180143229481405e-06
Position 1113: 8.281723423167811e-07
Position 208: 8.267157156385583e-07
Position 660: 6.429019385652419e-07
Position 536: 6.376166769622575e-07
Position 986: 5.848648241718616e-07
Position 460: 5.352331354096985e-07
Position 542: 4.7430617864972406e-07
Position 341: 4.4413627286893757e-07
Position 1127: 3.931964899660372e-07
Position 1232: 3.6299231914865565e-07
Position 893: 3.5693712498030825e-07
Position 574: 2.823548191782602e-07
Position 587: 2.7922072654410344e-07
Position 1043: 2.5945237224334683e-07
Position 595: 2.2565975285134379e-07
Position 1184: 2.1274707154268288e-07
Position 618: 1.9796650610494958e-07
Position 1302: 1.7892396336878048e-07
Position 328: 1.7821661904997583e-07
Position 1286: 1.7317295524753993e-07
