Gene = Cpr23B
index = 1091
Annotated 5SS: [75]
Annotated 3SS: [145]
SMsplice 5SS: [75]
SMsplice 3SS: [145]
Partition function (log Z): -2.2965248639799536

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9997441230676726
Position 231: 0.004686883834751929
Position 680: 0.002303481132548624
Position 541: 0.0007115416205261562
Position 363: 0.0005490898772109522
Position 749: 0.00047205090848688593
Position 479: 0.00036158462017593375
Position 548: 0.00032056061578418537
Position 79: 0.00023539015505285584
Position 770: 0.00023226441587987647
Position 672: 0.0002303711101898318
Position 767: 0.0001912476122494229
Position 584: 0.00017184596755035443
Position 639: 0.00012334232950592675
Position 346: 0.00010714094896938196
Position 728: 8.51177070150605e-05
Position 677: 8.38897422136318e-05
Position 518: 4.135647205392456e-05
Position 545: 2.5936581712283534e-05
Position 374: 1.871482692012505e-05
Position 82: 8.112529964786925e-06
Position 326: 6.877605452231457e-06
Position 532: 6.589301714576967e-06
Position 482: 4.821532820788665e-06
Position 800: 2.828061496465613e-06
Position 779: 2.379251209599789e-06
Position 903: 2.1441234245815082e-06
Position 408: 2.018647117143256e-06
Position 7: 1.8574165790507444e-06
Position 620: 9.745980075453073e-07
Position 1029: 9.464088979579584e-07
Position 240: 6.188545431564347e-07
Position 235: 4.75288319684706e-07
Position 965: 4.570222867167707e-07
Position 193: 4.364714329418316e-07
Position 372: 4.1005949671946235e-07
Position 1043: 3.8137416087935057e-07
Position 865: 3.809697975202238e-07
Position 22: 3.087667546127861e-07
Position 1052: 2.92624828422153e-07
Position 821: 2.493717093625362e-07
Position 136: 1.8255468308037384e-07
Position 927: 1.5300080459011963e-07
Position 803: 1.2132134961423349e-07
Position 428: 1.2003715823406747e-07
Position 869: 5.190095378077139e-08
Position 452: 2.4919295839073965e-08
Position 945: 2.111475894930335e-08
Position 922: 1.585581806854163e-08
Position 950: 1.5540700445367327e-08
Position 557: 1.0204956092241724e-08
Position 886: 9.631215030904726e-09
Position 160: 5.293633842011063e-09
Position 842: 1.5188364817099938e-09
Position 875: 5.870162707888021e-10
Position 917: 4.0160719398766156e-10
Position 145: 2.387226900557189e-10
Position 806: 9.052218711095491e-11
Position 812: 2.049320884511815e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 145: 0.9986369779012616
Position 820: 0.006117923404281363
Position 397: 0.0024829690590663016
Position 183: 0.0010364006270292346
Position 600: 0.0009082806865221773
Position 469: 0.0002960120076793932
Position 606: 0.00023108729126118457
Position 279: 0.00021715299760815263
Position 360: 0.0001804881231134507
Position 301: 0.0001780892434682543
Position 796: 0.00012736812284590472
Position 696: 8.970592340534803e-05
Position 829: 3.569249132860387e-05
Position 499: 2.7320775532675747e-05
Position 339: 2.3854700946596182e-05
Position 1103: 1.740265027346364e-05
Position 721: 1.4404363243069615e-05
Position 568: 1.339178162531612e-05
Position 496: 1.2952494082246202e-05
Position 502: 1.242489415317439e-05
Position 214: 1.1001251999624303e-05
Position 552: 9.266638080876025e-06
Position 574: 9.158185050388649e-06
Position 188: 8.167432927508409e-06
Position 211: 5.9754420044773995e-06
Position 408: 5.227948795464053e-06
Position 649: 4.8158405892415444e-06
Position 865: 4.575405174553939e-06
Position 990: 4.501067215450895e-06
Position 652: 4.3648435433223886e-06
Position 899: 2.283746735328054e-06
Position 379: 2.264606433775131e-06
Position 532: 2.2428597765591666e-06
Position 466: 2.208305385122378e-06
Position 1010: 1.0779707342801812e-06
Position 657: 6.709839861267483e-07
Position 985: 4.3578252164484564e-07
Position 902: 4.147421117904417e-07
Position 505: 3.016717194634897e-07
Position 529: 2.8193252891998244e-07
Position 193: 2.3388581606447176e-07
Position 583: 1.7817046736367205e-07
Position 231: 1.184085083645645e-07
Position 240: 1.109810396882673e-07
Position 372: 1.0314230561209599e-07
Position 220: 8.54877336877595e-08
Position 346: 7.510784355812531e-08
Position 208: 3.7931383666056844e-08
Position 856: 2.9042750836405285e-08
Position 69: 2.8590870268290036e-08
Position 911: 2.7707955414612517e-08
Position 508: 2.229965034360492e-08
Position 478: 1.3585864729399961e-08
Position 577: 9.334662406744072e-09
Position 893: 8.528504481452098e-09
Position 62: 3.2256856330478785e-09
Position 511: 2.7662329613870167e-09
Position 250: 9.382854396206045e-10
Position 514: 7.683846307000465e-10
Position 661: 7.030757823606476e-10
Position 523: 4.6452691937903275e-10
Position 633: 1.6054544526163855e-10
Position 261: 1.4630028047546986e-10
Position 74: 1.4474350330601942e-10
Position 89: 1.3240271242929207e-10
Position 969: 1.2385804157541514e-10
Position 1043: 5.09991486258051e-11
Position 518: 3.1677541442913125e-11
Position 97: 8.361041144210498e-13
Position 79: 5.843530586154952e-14
