Gene = eIF3i
index = 1685
Annotated 5SS: [ 85 752]
Annotated 3SS: [261 806]
SMsplice 5SS: [ 85 752]
SMsplice 3SS: [261 806]
Partition function (log Z): -2.482621127518301

Sorted 5' Splice Sites (High to Low Probability):
Position 752: 0.9962002244349117
Position 85: 0.5341779162968352
Position 452: 0.06918348876877202
Position 171: 0.05700264226010742
Position 179: 0.012096131925001474
Position 131: 0.010035568335182762
Position 473: 0.009171487153374226
Position 173: 0.006671807005442271
Position 184: 0.002890165612842119
Position 504: 0.002603628928129811
Position 15: 0.002169861089916823
Position 1082: 0.002132808849992487
Position 96: 0.0018683656309279055
Position 1111: 0.0018462338291775104
Position 182: 0.0014345892859930916
Position 843: 0.0009438031660510924
Position 544: 0.0009127040126680069
Position 416: 0.0008557174075107081
Position 111: 0.0008073187388369128
Position 1244: 0.0007881345703555972
Position 925: 0.0003672057042110522
Position 857: 0.00035237001295054284
Position 756: 0.00026282575787530673
Position 1013: 0.0002535619226078047
Position 961: 0.00025092213628902466
Position 31: 0.00022868305332725999
Position 369: 0.0001725048791522665
Position 227: 0.00013356904145977495
Position 514: 0.00013227327903285444
Position 904: 0.00012398874045617641
Position 426: 0.00011682932740877902
Position 421: 8.788127224200721e-05
Position 1266: 7.505046679736154e-05
Position 725: 6.62685847537864e-05
Position 13: 5.7633296565756336e-05
Position 1316: 5.127774306920955e-05
Position 364: 4.369016884224673e-05
Position 849: 3.928275143366377e-05
Position 617: 3.778879498650357e-05
Position 720: 3.299224113463105e-05
Position 25: 3.295063715016308e-05
Position 499: 3.0709848513852564e-05
Position 49: 3.0088664457666156e-05
Position 241: 2.8079587686719154e-05
Position 717: 2.7816449381830348e-05
Position 263: 2.4920767855237288e-05
Position 89: 2.241467439377366e-05
Position 1305: 1.741807226177326e-05
Position 309: 1.61018703843948e-05
Position 366: 1.2492410814730373e-05
Position 537: 1.1955028418413495e-05
Position 1291: 8.670662944023062e-06
Position 1294: 8.084177542687264e-06
Position 1308: 8.028388424441677e-06
Position 982: 7.49455940927489e-06
Position 290: 7.1114860736455935e-06
Position 1215: 7.071020956409063e-06
Position 624: 6.590360307812502e-06
Position 929: 6.3155200037206825e-06
Position 1239: 6.093914080411875e-06
Position 18: 5.702170938822882e-06
Position 436: 5.5440768972559085e-06
Position 1298: 5.484385078443595e-06
Position 1093: 5.429973195124379e-06
Position 1008: 4.746268884961087e-06
Position 711: 4.413291633185521e-06
Position 1065: 3.762760834467336e-06
Position 860: 2.3372292291876304e-06
Position 973: 2.3123656076345415e-06
Position 1188: 1.8192548432965546e-06
Position 1052: 1.7677573480191464e-06
Position 34: 1.6350953389864087e-06
Position 389: 1.5887170895497978e-06
Position 758: 1.5444857904057723e-06
Position 251: 1.3057371578605474e-06
Position 807: 1.179029275191436e-06
Position 699: 9.926041630100765e-07
Position 407: 7.35451648286201e-07
Position 797: 4.812046596118966e-07
