Gene = GXIVsPLA2
index = 1178
Annotated 5SS: [214 452]
Annotated 3SS: [291 514]
SMsplice 5SS: [214 452]
SMsplice 3SS: [291 514]
Partition function (log Z): -5.20408954000344

Sorted 5' Splice Sites (High to Low Probability):
Position 452: 0.8099029662973777
Position 214: 0.5879976568870684
Position 219: 0.11065878488412054
Position 233: 0.0949215401237931
Position 457: 0.08485750811408897
Position 476: 0.03179048266052724
Position 498: 0.02910576057428208
Position 244: 0.02074697477657409
Position 6: 0.009169988759991551
Position 454: 0.007357212301221479
Position 1031: 0.0030014829028246013
Position 58: 0.0028055037367484222
Position 890: 0.0027537132854311922
Position 980: 0.002348992994248099
Position 1048: 0.0014294654585615847
Position 696: 0.0012217010494117216
Position 145: 0.0006887327021447088
Position 996: 0.0005510548307719938
Position 1238: 0.00047580030068979036
Position 1010: 0.00039949669592878855
Position 708: 0.0002205849039820334
Position 1092: 0.00017784701897157585
Position 957: 0.00015695903346544634
Position 63: 0.00014388485940850998
Position 1269: 0.00012831063408310232
Position 358: 0.00011708556932120525
Position 1026: 9.5336787778482e-05
Position 254: 9.42216160353262e-05
Position 902: 9.338316653336565e-05
Position 385: 8.441707652522881e-05
Position 675: 8.081114716984004e-05
Position 208: 8.03077777172446e-05
Position 1017: 6.408506740829252e-05
Position 702: 5.2014045862703284e-05
Position 46: 3.935448395118905e-05
Position 500: 2.7189172503222336e-05
Position 1024: 2.505637680268279e-05
Position 1127: 2.3797499320852405e-05
Position 269: 2.303359521819589e-05
Position 1035: 1.7925757256634638e-05
Position 1220: 1.4526221238120593e-05
Position 1183: 1.181481438788493e-05
Position 260: 8.639418426413535e-06
Position 502: 6.589670143669641e-06
Position 1104: 5.964851663605748e-06
Position 1273: 5.753006540687324e-06
Position 423: 4.264364861663275e-06
Position 1118: 4.074572543804046e-06
Position 1217: 4.047604931414543e-06
Position 329: 3.9786402714217085e-06
Position 1029: 3.6869443729278626e-06
Position 376: 3.490599918099391e-06
Position 1202: 2.3567538570539715e-06
Position 729: 2.1904580881974697e-06
Position 563: 2.1071438734125037e-06
Position 29: 1.9616227019372e-06
Position 129: 1.6039447985131523e-06
Position 165: 1.081076720886025e-06
Position 566: 1.0614285136251488e-06
Position 526: 8.084772668023124e-07
Position 623: 4.600054581593631e-07
Position 352: 4.300947005737966e-07
Position 400: 2.469900483054094e-07
Position 1056: 1.7385798747182665e-07
Position 334: 1.1172206084352737e-07
Position 1271: 1.0050270328830723e-07
Position 336: 9.331907555335716e-08
Position 1301: 4.248169169685929e-08
Position 537: 3.659406354996762e-08
Position 1312: 6.423205135472372e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 514: 0.8962964896936803
Position 291: 0.7555628322886555
Position 556: 0.08315277532803263
Position 310: 0.031574078383015514
Position 342: 0.007554878426249201
Position 58: 0.007407821538111728
Position 1104: 0.007119066159708365
Position 296: 0.0026379793041479555
Position 1291: 0.0025715140311874827
Position 118: 0.0021857973512648303
Position 1160: 0.0019493168811940459
Position 1035: 0.0013054472426148136
Position 63: 0.000974703792349212
Position 129: 0.0007587182945604232
Position 1051: 0.0004926873082530351
Position 187: 0.0004303902848887686
Position 352: 0.00039250640710221217
Position 834: 0.00022348778172543766
Position 719: 0.0001972686337997022
Position 756: 0.00018199513922222802
Position 1317: 0.00016731396915124782
Position 384: 0.00011736488516929452
Position 318: 0.00010635856704399498
Position 765: 7.290876833976002e-05
Position 1343: 6.225981486498118e-05
Position 91: 6.103678913914787e-05
Position 537: 6.0042167326977305e-05
Position 884: 5.956846966033021e-05
Position 521: 5.2380023648967635e-05
Position 587: 4.8621176421093264e-05
Position 662: 3.4061431920103685e-05
Position 831: 2.5610382660876226e-05
Position 423: 2.3943002928224707e-05
Position 1232: 2.0907047553777276e-05
Position 1331: 1.4584118551353028e-05
Position 609: 1.290287679791844e-05
Position 488: 1.1885641255555953e-05
Position 861: 1.0256023349352833e-05
Position 736: 9.592412126724746e-06
Position 962: 9.339949646646977e-06
Position 888: 8.599523873719236e-06
Position 1123: 8.031073867537878e-06
Position 1269: 6.857682201376548e-06
Position 236: 6.7476690726495915e-06
Position 939: 4.4363615776755124e-06
Position 144: 4.077531516760611e-06
Position 612: 3.0724624713635204e-06
Position 200: 3.043395720120867e-06
Position 905: 3.0005318752415967e-06
Position 592: 2.7929032579372193e-06
Position 531: 2.561988490030251e-06
Position 740: 2.321477764125292e-06
Position 693: 1.959923194544975e-06
Position 957: 1.8854179193382576e-06
Position 729: 1.6838572227352736e-06
Position 672: 1.4010637499148188e-06
Position 208: 1.1868800513768966e-06
Position 912: 9.146866732269149e-07
Position 218: 8.872844665185141e-07
Position 708: 6.32521278863796e-07
Position 896: 6.290326776668151e-07
Position 451: 5.52306378467617e-07
Position 1362: 5.156159398301042e-07
Position 915: 4.82161136823015e-07
Position 618: 4.438305470623037e-07
Position 248: 4.3581408953732657e-07
Position 581: 4.0897758564147084e-07
Position 777: 3.9180601068441855e-07
Position 695: 3.404582509267927e-07
Position 902: 2.963149180420021e-07
Position 1008: 2.610757565827783e-07
Position 918: 1.7929689510308943e-07
Position 254: 1.3307813891098737e-07
Position 669: 9.334079682283728e-08
Position 445: 6.699979300703268e-08
Position 836: 2.9337842562488326e-08
Position 909: 2.5663012465022706e-08
Position 978: 2.3271854339315537e-08
Position 726: 1.503149244019614e-08
Position 951: 7.852719213048573e-09
Position 924: 3.140081348006324e-09
Position 523: 1.8254765053223455e-09
Position 408: 4.454213961397512e-10
Position 863: 4.9904170253596755e-11
Position 250: 6.775104100584244e-14
