Gene = Ostgamma
index = 1350
Annotated 5SS: [ 210 1046 1287]
Annotated 3SS: [ 318 1123 1351]
SMsplice 5SS: [ 210 1046 1287]
SMsplice 3SS: [ 318 1123 1351]
Partition function (log Z): 1.1669046010532445

Sorted 5' Splice Sites (High to Low Probability):
Position 1046: 0.9964481472007454
Position 1287: 0.9458718946726045
Position 210: 0.7528419800835516
Position 817: 0.09180143079269795
Position 411: 0.013999676004260855
Position 162: 0.006351717783148597
Position 214: 0.0014592567462141937
Position 66: 0.0011729244405181108
Position 491: 0.0008185990254346796
Position 1274: 0.0007014987551314932
Position 824: 0.0005824400191595894
Position 237: 0.000397254304634524
Position 577: 0.0003265887917497315
Position 1057: 0.0003154470688167303
Position 601: 0.0003029552310124613
Position 1248: 0.0002833990175280194
Position 154: 0.00026897953396172117
Position 75: 0.0002628859613403
Position 402: 0.00026282021346970446
Position 1064: 0.00025420863667367663
Position 1291: 0.00023667939486557337
Position 91: 0.00020564428090546593
Position 448: 0.00018322397846410557
Position 1211: 0.0001786512189230902
Position 415: 0.00017761157554253577
Position 808: 0.00013597311415819153
Position 1259: 9.15557256442667e-05
Position 1015: 8.702061320188042e-05
Position 343: 7.386258051824321e-05
Position 94: 6.653985228318293e-05
Position 1018: 6.292430220242038e-05
Position 170: 6.049816594461094e-05
Position 301: 5.317227414596776e-05
Position 226: 4.255791575456739e-05
Position 1050: 4.2354200663105986e-05
Position 1038: 3.0878211316419995e-05
Position 1216: 2.861247054292203e-05
Position 102: 2.576742447529971e-05
Position 1252: 2.419343346054134e-05
Position 1033: 2.3176513018903383e-05
Position 510: 1.9399868446952794e-05
Position 1228: 1.6908846334700965e-05
Position 422: 1.4144858724768369e-05
Position 7: 1.3125236201432395e-05
Position 1076: 1.0756142123684696e-05
Position 520: 8.448800431958522e-06
Position 697: 7.652795640243182e-06
Position 290: 5.145684071209897e-06
Position 165: 4.64066110050844e-06
Position 730: 4.417324593555782e-06
Position 974: 4.2735267516234145e-06
Position 1230: 3.905114300804917e-06
Position 861: 3.42965913034032e-06
Position 920: 3.3048970660138474e-06
Position 85: 2.406891696674209e-06
Position 790: 2.296894080650592e-06
Position 355: 2.2700224380076027e-06
Position 1245: 2.2177587269275686e-06
Position 218: 2.186354377410197e-06
Position 892: 1.7368157916820174e-06
Position 634: 1.5703005543785874e-06
Position 876: 1.5052931066146088e-06
Position 927: 1.4814975908908032e-06
Position 881: 1.325938813274472e-06
Position 963: 9.957855977097446e-07
Position 767: 9.394192628693503e-07
Position 333: 8.462946899177594e-07
Position 1358: 7.444396224060099e-07
Position 955: 5.480859545006635e-07
Position 1351: 4.727540502736287e-07
Position 636: 4.0808775995451287e-07
Position 1329: 3.71086908135535e-07
Position 855: 1.371224248082036e-07
Position 1081: 1.3524345863460395e-07
Position 941: 4.195350948733328e-08
Position 1135: 3.864623670038054e-08
Position 979: 3.2566062913537125e-08
Position 1384: 6.563594809314047e-10
Position 1390: 4.21556334867557e-10
Position 1379: 3.279060777879023e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1123: 0.9996053777606297
Position 1351: 0.9386215139799842
Position 318: 0.7159956712755061
Position 892: 0.12161085259587316
Position 262: 0.01576651596778145
Position 1367: 0.007133967845170364
Position 870: 0.003016643082036729
Position 1005: 0.0021105966795860517
Position 657: 0.0019059413330314082
Position 266: 0.0015804227572283553
Position 121: 0.001409758143479393
Position 343: 0.0013508152647456193
Position 486: 0.0013203163731704461
Position 476: 0.0010234945360824855
Position 494: 0.0009743657377158019
Position 1419: 0.0009566288970090982
Position 402: 0.0006338759687659561
Position 1329: 0.0004167417689782693
Position 1379: 0.0002878978004894683
Position 963: 0.000287418170823738
Position 286: 0.0001496132328197724
Position 375: 9.409350358669686e-05
Position 1176: 7.66108836048454e-05
Position 1390: 6.536655510445666e-05
Position 249: 5.2928416892368065e-05
Position 274: 4.532746284305614e-05
Position 663: 3.946405601682667e-05
Position 1266: 3.794140143810154e-05
Position 1272: 3.4522505955106214e-05
Position 824: 1.3637163865753018e-05
Position 209: 1.145825821889585e-05
Position 1193: 1.0448568934026263e-05
Position 600: 8.53025958549241e-06
Position 1432: 7.974041543998365e-06
Position 669: 6.809900130951574e-06
Position 189: 6.405563037814493e-06
Position 420: 5.291504118822324e-06
Position 1011: 4.294357564966053e-06
Position 1188: 3.738945585933867e-06
Position 1286: 2.850150183237712e-06
Position 1309: 2.8070811252721036e-06
Position 140: 2.269288628269968e-06
Position 151: 2.160488756714416e-06
Position 855: 1.573864663896276e-06
Position 276: 1.5291436967008224e-06
Position 1396: 9.50742863558916e-07
Position 411: 6.719038962436088e-07
Position 510: 3.1084901887393783e-07
Position 165: 2.140382329923533e-07
Position 1076: 1.9294831722738385e-07
Position 94: 1.3661388318571323e-07
Position 91: 1.1783327716492517e-07
Position 1291: 1.1390848046565805e-07
Position 673: 4.03603821366892e-08
Position 127: 3.661155009980461e-08
Position 1064: 7.535485409920793e-09
Position 738: 6.182702076921225e-09
Position 1436: 3.1760959765218086e-09
Position 422: 2.2042067219868532e-10
Position 1050: 1.177254480853738e-10
Position 1046: 1.532133979827631e-11
Position 1023: 7.549215102334307e-12
Position 98: 9.447012693365825e-13
Position 1057: 1.3233619891522957e-16
