Gene = thoc7
index = 1912
Annotated 5SS: [ 70 243]
Annotated 3SS: [127 307]
SMsplice 5SS: [ 70 243]
SMsplice 3SS: [127 307]
Partition function (log Z): 2.5945392095211335

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.9974975347689679
Position 243: 0.9949191197962944
Position 397: 0.06329807383500574
Position 804: 0.040086466435810014
Position 442: 0.0023809320354561247
Position 259: 0.002153183384081346
Position 403: 0.00017435151203866372
Position 216: 0.00011567063826936597
Position 475: 0.00010169674051259587
Position 372: 9.350659889117975e-05
Position 224: 8.056134792317892e-05
Position 190: 7.794928801513497e-05
Position 423: 5.320566748135131e-05
Position 848: 4.6027272426564934e-05
Position 524: 3.893083726632753e-05
Position 568: 3.296299241596518e-05
Position 447: 3.1098506429354926e-05
Position 683: 2.9498695100975193e-05
Position 618: 2.8223477607238403e-05
Position 647: 2.2117508904044104e-05
Position 930: 1.9910444398503427e-05
Position 74: 1.9679559937597593e-05
Position 317: 1.7641475753153343e-05
Position 42: 9.009367692724609e-06
Position 362: 7.463533748464979e-06
Position 263: 6.344025261109153e-06
Position 54: 4.393569957417886e-06
Position 195: 1.8471272674571346e-06
Position 207: 1.5709617170599676e-06
Position 261: 1.2488454478394302e-06
Position 77: 5.645835859179171e-07
Position 13: 3.533080315323826e-07
Position 193: 2.7626687737559466e-07
Position 277: 2.4290864767913647e-07
Position 279: 1.900528949314842e-07
Position 83: 1.673978587485063e-07
Position 911: 1.262946867998817e-07
Position 347: 1.1394792175231979e-07
Position 915: 6.579467571089325e-08
Position 746: 4.93652179679453e-08
Position 11: 5.97857844314675e-09
Position 885: 5.205927173151488e-09
Position 307: 2.462324652707829e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 307: 0.9971991430655422
Position 127: 0.8383576984554796
Position 130: 0.15785886367140067
Position 459: 0.048416665135015496
Position 848: 0.020582451776995667
Position 885: 0.015808280286402982
Position 503: 0.006380467245506091
Position 475: 0.003869875614602457
Position 551: 0.0032427748762315868
Position 918: 0.0023839248094311696
Position 921: 0.0014505756457060422
Position 751: 0.0012538986880568897
Position 144: 0.0008632720257393158
Position 483: 0.00041954597099057235
Position 707: 0.00038584392308906246
Position 653: 0.0003724490456998298
Position 500: 0.00035308239457724485
Position 906: 0.0003391070689554396
Position 989: 0.00029860445088902024
Position 710: 0.0002931178567913138
Position 518: 0.0001941174415270556
Position 629: 0.00017473521544779993
Position 141: 0.00015346540040951748
Position 347: 0.00011116959144585996
Position 598: 0.00010739706023914144
Position 568: 9.058839307338075e-05
Position 698: 7.643621328878988e-05
Position 386: 4.7371124008384044e-05
Position 835: 4.698366726255332e-05
Position 578: 2.974428724266849e-05
Position 626: 2.786660655872279e-05
Position 442: 2.701263895639591e-05
Position 512: 2.229868810166367e-05
Position 423: 2.0546023265084608e-05
Position 207: 1.8902693425359745e-05
Position 485: 1.1718679305045598e-05
Position 783: 1.0963219112087417e-05
Position 943: 8.121350322822684e-06
Position 994: 5.3152561584481475e-06
Position 368: 5.279811711324878e-06
Position 438: 3.732955238585335e-06
Position 635: 3.0757471982941842e-06
Position 106: 2.8278243156335727e-06
Position 808: 2.803126228608889e-06
Position 353: 2.7583355877407404e-06
Position 858: 2.522218487558542e-06
Position 1003: 2.439647580281393e-06
Position 647: 2.409432956994473e-06
Position 954: 2.385438189937098e-06
Position 896: 1.785771307247395e-06
Position 803: 1.753220482369197e-06
Position 997: 1.4927583082737423e-06
Position 975: 8.894696268805127e-07
Position 719: 4.693613379370365e-07
Position 590: 2.8244768307106273e-07
Position 724: 1.8523814539261402e-07
Position 216: 1.6423662869503396e-07
Position 641: 1.3281597056898352e-07
Position 938: 1.0574671069785591e-07
Position 524: 8.227494469461098e-08
Position 816: 8.075857063557618e-08
Position 175: 7.648725643521722e-08
Position 601: 7.196522287134512e-08
Position 239: 5.984013897078327e-08
Position 773: 4.4832236547607895e-08
Position 193: 2.7387163808037984e-08
Position 605: 2.259371858539385e-08
Position 177: 9.216633579268524e-09
Position 224: 6.210626214858082e-09
Position 190: 5.309173863169038e-09
Position 923: 1.5190397241368843e-09
Position 959: 1.2126234574606575e-09
Position 243: 7.520755548714846e-10
Position 185: 3.231259925069727e-11
Position 54: 2.0718197192022296e-11
Position 247: 1.924815692872591e-11
Position 74: 8.128398023961255e-12
Position 869: 9.222726517948739e-13
Position 401: 3.474460536624067e-13
Position 59: 1.6121851806894586e-13
