Gene = Orc5
index = 1345
Annotated 5SS: [1298]
Annotated 3SS: [1350]
SMsplice 5SS: [1298]
SMsplice 3SS: [1350]
Partition function (log Z): -3.921333572887677

Sorted 5' Splice Sites (High to Low Probability):
Position 1298: 0.9994008902633577
Position 794: 0.03258853558197988
Position 288: 0.023601771350838237
Position 658: 0.019753622123182147
Position 1594: 0.007927565150111792
Position 860: 0.007268523051268048
Position 54: 0.006890637025476313
Position 1591: 0.0066071586309844705
Position 84: 0.0036415806357233517
Position 1441: 0.0006732606316401093
Position 817: 0.0006024933091468337
Position 477: 0.0004652425168508581
Position 1642: 0.00037477153304586643
Position 611: 0.00029856833778717516
Position 1445: 0.0002949611190036767
Position 1133: 0.0002330575306207746
Position 451: 0.00020960433176939303
Position 960: 0.0002020903478944406
Position 1606: 0.00019396007811584508
Position 1302: 0.0001651084190182077
Position 662: 0.00015225644473891166
Position 491: 0.00013708062077715986
Position 1535: 0.00012737971013344497
Position 372: 0.00012169806777563324
Position 998: 0.00011185938402433874
Position 1483: 0.00010851225550446354
Position 118: 0.00010447189846504127
Position 163: 0.00010288533926893662
Position 389: 9.583066231931209e-05
Position 694: 9.402190224587641e-05
Position 1569: 7.052243422770169e-05
Position 167: 6.157038755118504e-05
Position 745: 6.004965050002376e-05
Position 1280: 5.0684427182131246e-05
Position 545: 4.913139142401192e-05
Position 837: 4.5121489857768095e-05
Position 572: 4.4302230018057414e-05
Position 327: 3.90546742142859e-05
Position 717: 2.3080029829101804e-05
Position 983: 2.279894828886397e-05
Position 1632: 2.1103043402663253e-05
Position 1100: 1.5636188942850878e-05
Position 1237: 1.0565672597063278e-05
Position 240: 9.744640507385462e-06
Position 1403: 9.072992482872539e-06
Position 725: 8.58981792596585e-06
Position 1050: 8.380616710818331e-06
Position 97: 7.82843337378519e-06
Position 958: 6.326258750673918e-06
Position 28: 6.285251620897743e-06
Position 1150: 5.492614328282764e-06
Position 620: 5.014846050225038e-06
Position 525: 5.004047366671076e-06
Position 905: 4.766166205454221e-06
Position 1551: 1.9597396026497814e-06
Position 1655: 1.8215083203373783e-06
Position 1365: 1.0669934200462442e-06
Position 1645: 9.678507980553925e-07
Position 512: 7.655443780533268e-07
Position 613: 5.077339283006196e-07
Position 1507: 4.193270305077461e-07
Position 1183: 3.941943376395103e-07
Position 929: 3.6009129913412056e-07
Position 140: 1.0421667488828936e-07
Position 232: 9.361467343897428e-08
Position 921: 7.601048358637723e-08
Position 964: 2.838078547121845e-08
Position 1241: 2.183636889361851e-08
Position 1573: 8.69509109644044e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1350: 0.9685689105170385
Position 1202: 0.044948846752389436
Position 1394: 0.017727617414328482
Position 1432: 0.011486163175971094
Position 1066: 0.01061452643360428
Position 1679: 0.008694218702441223
Position 935: 0.007222758038530131
Position 1655: 0.00559262817628584
Position 717: 0.004586421501527437
Position 136: 0.004454014799639798
Position 917: 0.004028565945563552
Position 790: 0.0023192441641403396
Position 1714: 0.0019600217690753266
Position 745: 0.0017736382055222137
Position 1121: 0.001594683094445116
Position 637: 0.001543989471452046
Position 793: 0.0014856893204991447
Position 679: 0.0014775715764472116
Position 1470: 0.001463609410674431
Position 1124: 0.0013197876023093825
Position 170: 0.0012649409515082212
Position 1206: 0.0011090713203163896
Position 398: 0.0009107365813334909
Position 476: 0.0007697202304105622
Position 455: 0.0007682290013956402
Position 433: 0.000542798647341549
Position 1097: 0.0004766013176894848
Position 1502: 0.00041966155728576185
Position 1225: 0.00039728351730867914
Position 520: 0.0002929599725394564
Position 344: 0.0002823353946711805
Position 354: 0.0002630342080996033
Position 817: 0.00025636192334154654
Position 190: 0.00023836424218564626
Position 954: 0.00022653428644928833
Position 706: 0.00022460454753962905
Position 853: 0.0002182674310136473
Position 1544: 0.00019860049081165217
Position 327: 0.00014828678506125577
Position 1581: 0.00011011019785442296
Position 490: 9.933309660185734e-05
Position 640: 9.893463296175828e-05
Position 937: 9.75015730657769e-05
Position 694: 8.66057538098442e-05
Position 1246: 8.467486264281312e-05
Position 1037: 6.54671209754773e-05
Position 1635: 6.233175756227465e-05
Position 114: 5.66820600116361e-05
Position 1141: 5.100386333031008e-05
Position 1261: 5.02856992787458e-05
Position 368: 4.2347190120755564e-05
Position 1534: 3.526235568218544e-05
Position 1222: 3.081644562606963e-05
Position 1100: 2.865985376214556e-05
Position 1150: 2.828378901398104e-05
Position 754: 2.576548381320522e-05
Position 857: 2.4535864990600388e-05
Position 187: 2.3061113500295796e-05
Position 943: 2.273422111370101e-05
Position 766: 2.240190211857342e-05
Position 569: 2.0550293946260925e-05
Position 826: 1.8182065380897693e-05
Position 118: 1.7727412216564734e-05
Position 1434: 1.2827629527310095e-05
Position 1129: 1.2561684675030015e-05
Position 1359: 1.0427680254341133e-05
Position 869: 7.0446733520435896e-06
Position 1569: 6.625302306677797e-06
Position 532: 4.158351623931115e-06
Position 197: 2.6349473539297386e-06
Position 1551: 2.196574273297396e-06
Position 1106: 1.933354254151332e-06
Position 556: 1.7800586450139802e-06
Position 958: 1.7095510119274892e-06
Position 832: 1.6780432975176918e-06
Position 1231: 1.6139193853508028e-06
Position 226: 1.0412105536330927e-06
Position 356: 9.337518211480048e-07
Position 445: 8.036329223114587e-07
Position 835: 7.970268995679068e-07
Position 588: 6.120494769479072e-07
Position 1276: 4.249919515292974e-07
Position 1159: 3.6123021120192745e-07
Position 1267: 2.8639672621442417e-07
Position 278: 2.2275012827064693e-07
Position 691: 2.0381581997352425e-07
Position 517: 1.8328732861475273e-07
Position 1290: 1.2986197504397156e-07
Position 247: 8.9247663299822e-08
Position 550: 6.910446896640536e-08
Position 288: 4.8959483555683697e-08
Position 1590: 3.3728027334591065e-08
Position 979: 3.172884922489383e-08
Position 903: 1.918028376118225e-08
Position 281: 1.9057565617911592e-08
Position 844: 1.7750102706633014e-08
Position 1441: 1.667638254854606e-08
Position 1131: 1.2820091628820496e-08
Position 206: 6.9825448174789815e-09
Position 175: 5.891912651325258e-09
Position 1292: 1.4643067968373802e-10
Position 1297: 7.044062575373728e-11
Position 271: 1.706722009183761e-11
Position 292: 8.639888153080187e-12
Position 760: 6.363870558484468e-12
Position 1437: 3.957090293682832e-12
