Gene = Grip71
index = 1202
Annotated 5SS: [ 282  636 1540]
Annotated 3SS: [ 340  697 1594]
SMsplice 5SS: [282 636]
SMsplice 3SS: [ 340 1594]
Partition function (log Z): 0.030560673800825833

Sorted 5' Splice Sites (High to Low Probability):
Position 636: 0.9830596638194017
Position 282: 0.982459585112442
Position 1544: 0.3106675864159022
Position 4: 0.09672552570478277
Position 844: 0.039222429067549754
Position 1550: 0.030810696203763196
Position 1228: 0.01689495361721536
Position 1986: 0.014031476188546771
Position 1497: 0.010011214230640579
Position 293: 0.008442602563319324
Position 2205: 0.007241396483146843
Position 1529: 0.005462562414955368
Position 985: 0.005047883415686892
Position 873: 0.004841144173611458
Position 427: 0.004313604623318038
Position 1805: 0.003739256901371478
Position 2225: 0.0026376008259896976
Position 1348: 0.0023055039309635528
Position 1147: 0.0019174564355732466
Position 590: 0.00185699312227806
Position 1126: 0.0017991266258307243
Position 1223: 0.0012887062349937355
Position 975: 0.001159646670714492
Position 1969: 0.0008005223001303424
Position 431: 0.0007941209325344155
Position 1753: 0.0007562555063087087
Position 2330: 0.0007165915867531071
Position 1200: 0.0007098020437099156
Position 1207: 0.0004912388988093854
Position 66: 0.0004896714243095737
Position 2247: 0.00045516266994023583
Position 546: 0.0004310877934347502
Position 1177: 0.0004259367826873051
Position 2256: 0.00042370681908525024
Position 879: 0.00040682616281034463
Position 1071: 0.00040284826321479054
Position 227: 0.0003933067174874389
Position 2050: 0.0003114482005514985
Position 1775: 0.00029101392739382283
Position 1095: 0.00028876438942053987
Position 1509: 0.0002635584437325484
Position 1796: 0.00021727897019252777
Position 1080: 0.00021698511127281932
Position 1402: 0.00021101953895283275
Position 314: 0.00015745447053314954
Position 1462: 0.00014657584649115197
Position 362: 0.0001454049185419547
Position 1051: 0.00013692843349389372
Position 1948: 0.00010629216281986298
Position 991: 9.973266242732934e-05
Position 35: 9.859909558173122e-05
Position 640: 8.451476282259877e-05
Position 581: 7.926392951499231e-05
Position 559: 7.536515611571402e-05
Position 2314: 7.262842609735572e-05
Position 655: 7.086296366833739e-05
Position 1250: 6.778994921618581e-05
Position 848: 6.292237666055876e-05
Position 1102: 5.837034284490213e-05
Position 2148: 5.728079831002519e-05
Position 780: 4.565248556136006e-05
Position 1689: 4.550337811793496e-05
Position 2166: 4.433751021116425e-05
Position 2306: 4.342707137460595e-05
Position 1331: 4.281885100230379e-05
Position 765: 4.1982987218984484e-05
Position 1359: 3.865112611908569e-05
Position 160: 3.6895671798800364e-05
Position 1282: 3.6878621114625323e-05
Position 1198: 3.278257333186549e-05
Position 440: 3.273663303817237e-05
Position 445: 3.149476684159115e-05
Position 251: 2.912925375896671e-05
Position 708: 2.7623755841696174e-05
Position 823: 2.615154507219415e-05
Position 1456: 2.5183114064443183e-05
Position 687: 2.1787709931784678e-05
Position 1308: 1.7721286380937704e-05
Position 509: 1.7488903671422864e-05
Position 925: 1.7205018681421816e-05
Position 1881: 1.666908631369348e-05
Position 1064: 1.4645572467562821e-05
Position 1078: 1.3090720404864223e-05
Position 2287: 1.2534168505731023e-05
Position 1006: 1.2232962985084192e-05
Position 1481: 1.1317770740060609e-05
Position 2270: 1.0258563181913916e-05
Position 64: 9.793830882898604e-06
Position 98: 9.152412388236547e-06
Position 154: 7.861287521643448e-06
Position 396: 7.3741516601947244e-06
Position 318: 4.468887930467962e-06
Position 1290: 4.014713878648005e-06
Position 1104: 3.986718005255982e-06
Position 2375: 3.739237388398526e-06
Position 1476: 3.489844511477572e-06
Position 1370: 3.3674290429516053e-06
Position 1866: 3.234819347984749e-06
Position 2344: 3.1468690914532856e-06
Position 771: 3.0183432217715152e-06
Position 215: 2.677880131225112e-06
Position 2323: 2.345860215976366e-06
Position 1113: 2.2279360524743137e-06
Position 1276: 2.20805138916872e-06
Position 1990: 1.9356522768504817e-06
Position 443: 1.924623828449946e-06
Position 1292: 1.654476258554708e-06
Position 389: 1.281536181177661e-06
Position 109: 1.1462093767257425e-06
Position 2118: 1.0479929166287664e-06
Position 358: 9.655984467152185e-07
Position 221: 8.645061293834847e-07
Position 1119: 6.101340519164645e-07
Position 740: 5.157907233022164e-07
Position 122: 4.75221248518147e-07
Position 485: 3.5981215009826933e-07
Position 1705: 3.221538774202532e-07
Position 514: 3.0757431015714236e-07
Position 1570: 2.0814818652167288e-07
Position 1468: 1.8938740727280255e-07
Position 196: 1.6587877942270985e-07
Position 164: 6.081579272072267e-08
Position 391: 3.6529824738132006e-08
Position 2395: 3.2013474224450135e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 340: 0.9920473363666011
Position 1594: 0.958937993566903
Position 697: 0.30629213434036145
Position 79: 0.0772560816998649
Position 785: 0.03555330202227143
Position 1396: 0.035323728503639795
Position 1476: 0.03356934520962924
Position 759: 0.023860463145731283
Position 196: 0.01450478018500903
Position 1308: 0.013607763440444641
Position 2381: 0.007510577837434327
Position 2049: 0.007217726157817405
Position 1857: 0.005340972968296689
Position 2305: 0.004170257968686197
Position 474: 0.0038157050360690383
Position 2430: 0.0032351573942010947
Position 762: 0.003043410466849927
Position 811: 0.0028367302268490807
Position 2046: 0.0022454208078522145
Position 154: 0.001961099805396103
Position 2361: 0.0017116460553368083
Position 2287: 0.0016066850197155361
Position 1462: 0.001481567785347979
Position 1107: 0.0012435329176728842
Position 823: 0.0010565463173571534
Position 172: 0.0010497269535612347
Position 2098: 0.0005770212791544002
Position 932: 0.0005119466452767201
Position 1912: 0.0005043536880957889
Position 2007: 0.0004680630722992086
Position 1268: 0.00039228518162016913
Position 1863: 0.00038002612934944717
Position 1866: 0.00033195473241724775
Position 148: 0.0002861613908615492
Position 1022: 0.0002755332751155945
Position 506: 0.00023285974348160284
Position 661: 0.00023117698529827633
Position 1126: 0.00023015746654061982
Position 896: 0.00022544831242290553
Position 1347: 0.0001986284899638739
Position 1203: 0.00019417267923276787
Position 1570: 0.0001700042985441055
Position 179: 0.00016950854591619234
Position 1617: 0.00014111676076426885
Position 47: 0.0001399783225718738
Position 2442: 0.0001316343689691498
Position 1048: 0.00011193121518321621
