Gene = Membrin
index = 1276
Annotated 5SS: [281]
Annotated 3SS: [349]
SMsplice 5SS: [281]
SMsplice 3SS: [349]
Partition function (log Z): -3.8568062860880903

Sorted 5' Splice Sites (High to Low Probability):
Position 281: 0.9998489524698745
Position 36: 0.0012078133572947368
Position 44: 0.0011085155630466798
Position 613: 0.0004850948569430011
Position 384: 0.0004011567896846691
Position 134: 0.00011125615719567733
Position 285: 5.526516543123667e-05
Position 9: 5.1862540946072935e-05
Position 177: 4.122030092218864e-05
Position 628: 3.9275841136657145e-05
Position 362: 3.8947227318597266e-05
Position 136: 2.2868519160559993e-05
Position 211: 1.3965754226627719e-05
Position 240: 7.139539127240176e-06
Position 155: 7.137378725331731e-06
Position 377: 5.392886847554816e-06
Position 739: 4.973152757912e-06
Position 321: 4.729355662515552e-06
Position 317: 3.8114195390188506e-06
Position 29: 3.792909160378716e-06
Position 810: 3.0868646221241863e-06
Position 790: 2.9829791135579855e-06
Position 174: 2.6656200712520414e-06
Position 4: 2.582100168240053e-06
Position 220: 1.8229566908400953e-06
Position 369: 1.4337832590256665e-06
Position 813: 8.780106405682845e-07
Position 418: 4.947327887188966e-07
Position 374: 4.232250902948531e-07
Position 780: 3.471373358495257e-07
Position 420: 1.065878193317111e-07
Position 344: 5.366541200277178e-08
Position 816: 5.337084999489478e-08
Position 630: 3.211272378497972e-08
Position 342: 2.627116310353799e-08
Position 743: 1.0417817865554557e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 349: 0.9955879091019862
Position 133: 0.0022869700091277694
Position 398: 0.0014924813251716554
Position 455: 0.0011855191399870572
Position 428: 0.0011276745259826803
Position 683: 0.0005245396546316932
Position 383: 0.00043107290147017244
Position 467: 0.00034487348708295225
Position 203: 0.00017475026921714502
Position 596: 0.0001451827328526756
Position 550: 4.3360502089394466e-05
Position 182: 2.9379628213848523e-05
Position 535: 2.6963564702770882e-05
Position 855: 2.048551134801261e-05
Position 406: 1.7696561915293573e-05
Position 149: 1.4088377975350811e-05
Position 608: 7.295007698065632e-06
Position 655: 6.325497741249815e-06
Position 263: 3.954676785073834e-06
Position 521: 2.0263963793325827e-06
Position 883: 1.4056232347917057e-06
Position 500: 1.20154625607806e-06
Position 272: 1.1836960792659134e-06
Position 227: 5.428744906004055e-07
Position 668: 4.598211394752346e-07
Position 870: 4.1791693256253095e-07
Position 488: 3.379946387985298e-07
Position 807: 3.1061751538087974e-07
Position 191: 3.0397526389545197e-07
Position 215: 2.6305298193818336e-07
Position 726: 2.1796251649322228e-07
Position 557: 2.0665442529774833e-07
Position 685: 1.440163765730615e-07
Position 484: 1.2444036730103189e-07
Position 445: 1.0761563094138811e-07
Position 730: 9.209701216068814e-08
Position 220: 9.133431511022345e-08
Position 719: 4.397524003426897e-08
Position 563: 4.293584251585487e-08
Position 888: 3.9574524170566e-08
Position 317: 2.528726287401822e-08
Position 312: 2.0205621090471696e-08
Position 503: 1.4022372405903958e-08
Position 710: 8.81920342089534e-09
Position 48: 1.9237039583019667e-09
Position 702: 1.5133469935001386e-09
Position 785: 1.2092013121670568e-09
Position 314: 1.1494232839598998e-09
Position 810: 4.4277330970221335e-10
Position 712: 4.2737799265405084e-10
Position 512: 2.317311459621393e-11
Position 285: 1.1124415197489388e-11
Position 514: 6.561752289996118e-12
Position 211: 6.20748483603817e-12
Position 151: 3.5827384294800067e-14
Position 670: 1.574579594332992e-15
