Gene = crim
index = 1658
Annotated 5SS: [166 379]
Annotated 3SS: [237 434]
SMsplice 5SS: [166 379]
SMsplice 3SS: [237 434]
Partition function (log Z): 0.5193806985019843

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.9907336977763385
Position 379: 0.9904103334512693
Position 173: 0.004977154803930451
Position 668: 0.0037234500920723377
Position 360: 0.002330355975465941
Position 30: 0.0012479039418037694
Position 675: 0.0009434643202547886
Position 53: 0.0005240859730273297
Position 661: 0.00024296973084112988
Position 48: 6.624946332625988e-05
Position 59: 5.032084023147278e-05
Position 551: 4.061251202478439e-05
Position 578: 2.8756984192039695e-05
Position 10: 2.804710944286874e-05
Position 68: 2.696678158576948e-05
Position 51: 1.9503076619081623e-05
Position 61: 1.3893359669620347e-05
Position 585: 7.469923289307062e-06
Position 731: 7.459681799545921e-06
Position 612: 2.094390181622149e-06
Position 207: 1.9012095329077542e-06
Position 726: 1.5603829411812447e-06
Position 453: 1.5146017638839395e-06
Position 739: 1.1192774103445595e-06
Position 354: 6.884949367675978e-07
Position 607: 8.339016036297877e-08
Position 293: 7.91553708522094e-08
Position 396: 7.132011455448642e-08
Position 516: 5.2020097316698856e-08
Position 513: 5.160735909804747e-08
Position 251: 2.911416701241901e-08
Position 211: 1.3563952027912088e-08
Position 198: 1.0695137858534834e-08
Position 774: 9.968193633410646e-09
Position 283: 7.385067872219654e-09
Position 230: 5.0263154274483983e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 237: 0.9956354704912199
Position 434: 0.9780822359678136
Position 438: 0.010886126305735247
Position 731: 0.005273917736150496
Position 135: 0.0014202522342659128
Position 509: 0.001299312148651339
Position 465: 0.0009976447762869553
Position 83: 0.0005343900169506846
Position 485: 0.0004586485408309989
Position 568: 0.00030665455680765506
Position 712: 0.000218113229462753
Position 819: 0.0001821036971131034
Position 293: 3.924090061554222e-05
Position 542: 2.6788559496030264e-05
Position 571: 1.9908857952524325e-05
Position 312: 1.9681137002643524e-05
Position 538: 1.8511598725699318e-05
Position 739: 6.618149453561106e-06
Position 726: 3.2774929455849217e-06
Position 826: 1.3958182026022654e-06
Position 648: 1.3045048097061285e-06
Position 150: 1.0129498854318324e-07
Position 290: 9.852997990136104e-08
Position 359: 7.706314139818732e-08
Position 198: 7.614023413338759e-08
Position 474: 2.335415765551653e-08
Position 828: 4.380624498358426e-09
Position 405: 1.9538895052272715e-09
Position 170: 1.8351493606646994e-09
Position 173: 7.907220951593126e-10
Position 368: 1.9213764182424696e-10
Position 164: 1.2656185141721823e-10
Position 383: 4.153618378254463e-11
Position 326: 2.2197729499412587e-13
