Gene = PIG-U
index = 1358
Annotated 5SS: [ 187  872 1206]
Annotated 3SS: [ 246  933 1265]
SMsplice 5SS: [ 187  872 1206]
SMsplice 3SS: [ 246  933 1265]
Partition function (log Z): 4.337496827111881

Sorted 5' Splice Sites (High to Low Probability):
Position 1206: 0.9967013047490672
Position 872: 0.990661096137748
Position 187: 0.9858619801429105
Position 476: 0.04997340056323716
Position 303: 0.03885903498344792
Position 603: 0.020265111131213407
Position 1516: 0.00877873036943813
Position 191: 0.0044858883397259075
Position 645: 0.003472365806358611
Position 1449: 0.0020672734221595483
Position 540: 0.001601519745543874
Position 573: 0.00153796820059426
Position 865: 0.0010812003930762433
Position 503: 0.0006989080201233951
Position 1068: 0.000433537452419766
Position 546: 0.00039124010226750236
Position 344: 0.00028729721900781964
Position 200: 0.000274807977907066
Position 792: 0.00024376947940789542
Position 362: 0.00018401614122064296
Position 756: 0.00017036831212233788
Position 860: 0.00016973338901036592
Position 424: 0.00016652701550088478
Position 1106: 0.00015643018735674976
Position 976: 9.59206817533315e-05
Position 714: 9.074053838200638e-05
Position 901: 8.995351458884297e-05
Position 1046: 7.704076798459387e-05
Position 617: 6.973136331572447e-05
Position 1210: 6.918900674321847e-05
Position 562: 6.291965819794302e-05
Position 1197: 5.891427243546151e-05
Position 766: 4.633370042127753e-05
Position 675: 4.454096021514876e-05
Position 1535: 4.240011100836461e-05
Position 693: 4.238133873501421e-05
Position 1470: 3.68248597810585e-05
Position 1562: 2.8994628454142236e-05
Position 994: 2.445436157004494e-05
Position 1508: 2.0015138700793144e-05
Position 223: 1.9203989777151765e-05
Position 435: 1.920010457840497e-05
Position 738: 1.9009752173260458e-05
Position 1339: 1.7939165817545288e-05
Position 905: 1.7783760758131264e-05
Position 150: 1.6746088761510913e-05
Position 1138: 1.4805150068489739e-05
Position 155: 1.1932536008529745e-05
Position 1058: 8.186726858455302e-06
Position 683: 7.956118358524255e-06
Position 1286: 6.789842245955134e-06
Position 813: 6.3529399866261655e-06
Position 894: 6.1193140070349135e-06
Position 99: 5.758532863625832e-06
Position 1380: 4.531049930584339e-06
Position 1252: 3.1870064712637445e-06
Position 799: 2.912207453539873e-06
Position 25: 2.59954197964743e-06
Position 1186: 2.4722790624976756e-06
Position 274: 2.076866573560077e-06
Position 1015: 1.9826789028000743e-06
Position 807: 1.6571410233648694e-06
Position 828: 1.4529766969852188e-06
Position 1294: 1.3221452356967067e-06
Position 1157: 1.280847245430343e-06
Position 1529: 1.2519268360873164e-06
Position 234: 9.189735852590145e-07
Position 796: 8.474329068487351e-07
Position 1224: 6.864249751876814e-07
Position 1112: 5.776842818356377e-07
Position 1393: 5.634255340376503e-07
Position 1442: 5.616988447560727e-07
Position 966: 3.9795371174105743e-07
Position 68: 3.65093000148542e-07
Position 1462: 2.8869130804024413e-07
Position 1304: 2.1438150673140644e-07
Position 915: 1.1089591643009907e-07
Position 29: 8.791158564084112e-08
Position 246: 8.286519646350314e-08
Position 1283: 7.783134884848178e-08
Position 1432: 7.650087031786053e-08
Position 115: 7.26493064103715e-08
Position 1127: 7.008612216662368e-08
Position 1453: 6.38944587996608e-08
Position 1227: 4.401896905686002e-08
Position 768: 3.784466238069711e-08
Position 1265: 3.431431852919666e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1265: 0.9966232914326285
Position 933: 0.9801788364183692
Position 246: 0.8565927994835157
Position 723: 0.13806931890662288
Position 362: 0.039248509512724884
Position 272: 0.033592945413320904
Position 675: 0.02500263924879595
Position 955: 0.013887712506598003
Position 700: 0.006972874445724148
Position 1567: 0.006843567256942666
Position 562: 0.004703045356135439
Position 1635: 0.0018928717423695757
Position 760: 0.0010406610848860574
Position 1134: 0.0007724356552086511
Position 1593: 0.0007717932927876357
Position 650: 0.0006861374427811803
Position 1529: 0.0006634339598319479
Position 1573: 0.0006614972436257527
Position 1408: 0.00034884178213372054
Position 328: 0.00020801028777117845
Position 440: 0.0001478650128613591
Position 252: 9.305820744191368e-05
Position 1352: 9.276572127362253e-05
Position 838: 8.494649768714757e-05
Position 796: 6.061005741096472e-05
Position 1535: 5.913134449888149e-05
Position 1516: 5.0534326539021064e-05
Position 813: 4.434012636339772e-05
Position 1100: 2.955710819865719e-05
Position 1520: 2.883281757702213e-05
Position 610: 2.769007098529003e-05
Position 1068: 2.7454862185155486e-05
Position 449: 2.219925445755848e-05
Position 424: 2.0282891342262562e-05
Position 446: 1.5320258798743963e-05
Position 1474: 1.1592942686014092e-05
Position 1477: 7.539220151282705e-06
Position 1547: 7.178160321742186e-06
Position 1610: 6.983101236591221e-06
Position 1146: 6.256371422898613e-06
Position 430: 3.936949185226404e-06
Position 1075: 3.772049905885321e-06
Position 1554: 3.4541382863790547e-06
Position 455: 3.1379809788481206e-06
Position 1499: 2.9133317576186695e-06
Position 1084: 2.2011257253435816e-06
Position 1508: 2.1238738189468903e-06
Position 1194: 1.9316418009890036e-06
Position 1615: 1.0032763988073e-06
Position 234: 9.294212185237685e-07
Position 777: 9.236772132337242e-07
Position 458: 5.067472821569392e-07
Position 254: 4.093084848034402e-07
Position 521: 3.111691601951733e-07
Position 763: 3.020442134125175e-07
Position 1227: 2.625518030504358e-07
Position 1495: 1.4840181741443324e-07
Position 580: 1.3125174509021953e-07
Position 1000: 1.1976563237746978e-07
Position 68: 1.1599876141082986e-07
Position 894: 1.0575260654398876e-07
Position 1087: 9.444319313395136e-08
Position 214: 6.94868141815492e-08
Position 503: 4.107909908921787e-08
Position 464: 3.969743188266739e-08
Position 1453: 3.717800957206213e-08
Position 485: 3.326406726768519e-08
Position 1503: 2.2765573150946002e-08
Position 223: 2.059408501399234e-08
Position 876: 1.8361663621128176e-08
Position 473: 1.1258760972020091e-08
Position 1244: 9.370146264439503e-09
Position 274: 5.360493264071447e-09
Position 880: 4.726871848206739e-09
Position 495: 4.285159834567649e-09
Position 182: 2.8859926392532293e-09
Position 187: 1.5909473003173308e-09
Position 1210: 1.3866670426123114e-09
Position 467: 7.09014559900468e-10
Position 203: 7.042515001485176e-10
Position 155: 6.529020603109101e-10
Position 497: 1.4213495124903231e-10
Position 476: 1.1451835144583814e-10
Position 1598: 7.78649372166361e-11
Position 200: 4.490496679285839e-11
Position 1325: 7.84480445862307e-12
Position 191: 1.4807340839054176e-12
Position 150: 1.52397769209938e-13
