Gene = Naa60
index = 1309
Annotated 5SS: [ 675 1013 1255 1539 1720]
Annotated 3SS: [ 891 1089 1317 1608 1817]
SMsplice 5SS: [ 675 1013 1539]
SMsplice 3SS: [ 891 1317 1608]
Partition function (log Z): -3.525317582751345

Sorted 5' Splice Sites (High to Low Probability):
Position 1013: 0.899612001070555
Position 1539: 0.8812416681918943
Position 675: 0.4911686813513978
Position 1255: 0.429116733019829
Position 191: 0.3869254937399121
Position 375: 0.12640830810299336
Position 4: 0.07804959964505903
Position 1755: 0.062123684672803284
Position 798: 0.050398875111008073
Position 188: 0.021674941746828248
Position 1679: 0.012917547875134237
Position 1140: 0.009529564924103813
Position 1471: 0.008241623182162946
Position 2034: 0.00551327438993457
Position 1897: 0.003364906416657354
Position 985: 0.0024069594038123024
Position 1947: 0.0018793393235632032
Position 381: 0.0016259865262089636
Position 1905: 0.0013760845627869757
Position 2283: 0.0013605797279517794
Position 2109: 0.0012017472132188661
Position 1900: 0.0011773649495588885
Position 685: 0.0010854314490418922
Position 820: 0.0010358802997952406
Position 305: 0.000703278052471913
Position 1086: 0.0006788142319977351
Position 2286: 0.0006271753341703356
Position 2550: 0.0006219520662842021
Position 1017: 0.0005748993468701123
Position 679: 0.0005339618476691056
Position 1186: 0.0005276739691390748
Position 1908: 0.0004999061095928667
Position 1090: 0.000460341856871281
Position 1026: 0.0004597712963206463
Position 23: 0.00042604092033688107
Position 500: 0.0004068316101235302
Position 2644: 0.000393874083730339
Position 1243: 0.00038714272889442706
Position 2305: 0.0003705316601065413
Position 2294: 0.00036179161977531324
Position 1208: 0.0002956479313091544
Position 2651: 0.00021809412267519544
Position 2348: 0.0001927334911639124
Position 2441: 0.00018932405732153678
Position 1581: 0.00016350347270427344
Position 2218: 0.00015655842988353068
Position 927: 0.0001395657670041796
Position 2303: 0.00013892547223464457
Position 1558: 0.0001322218142906138
Position 308: 0.00012404914597787193
Position 2038: 0.00011921745219716481
Position 28: 9.620777500439486e-05
Position 1360: 9.221570327954838e-05
Position 2657: 7.205407005730278e-05
Position 1080: 7.198803509176275e-05
Position 1555: 7.001862510897308e-05
Position 2160: 6.330559223734458e-05
Position 1846: 6.294644818763576e-05
Position 1569: 6.256012287157457e-05
Position 8: 4.946975079529087e-05
Position 524: 3.9976695006205844e-05
Position 992: 3.9676722594207456e-05
Position 950: 3.520235114685076e-05
Position 527: 3.315479325652557e-05
Position 2276: 3.137465627698894e-05
Position 518: 2.902746419564323e-05
Position 594: 2.6987289424550126e-05
Position 1364: 2.3648610404173172e-05
Position 474: 2.216204562788635e-05
Position 1271: 2.2066492595700112e-05
Position 1082: 2.088220350617545e-05
Position 906: 1.9910135513412904e-05
Position 2628: 1.9764076896796804e-05
Position 2392: 1.9345386138956864e-05
Position 346: 1.9112542567615686e-05
Position 1561: 1.9024791187458518e-05
Position 1071: 1.755841282518248e-05
Position 974: 1.7358022697798704e-05
Position 702: 1.4623110944497418e-05
Position 1216: 1.4156541174223659e-05
Position 1425: 1.251070786668827e-05
Position 247: 1.1417480265593519e-05
Position 2315: 1.1224079860260843e-05
Position 772: 1.057975405320632e-05
Position 2437: 1.0484538849847334e-05
Position 2060: 9.1550973624715e-06
Position 2384: 8.62645512713861e-06
Position 709: 7.859331988928214e-06
Position 1391: 7.655592247482634e-06
Position 1592: 6.7639063474242974e-06
Position 2370: 5.500196426812007e-06
Position 1583: 5.35692045614474e-06
Position 253: 4.960980150476564e-06
Position 2036: 3.4033556774722365e-06
Position 2488: 3.2637811645211703e-06
Position 2355: 2.806459547091162e-06
Position 2591: 2.750543269248716e-06
Position 1888: 2.160516389192475e-06
Position 1277: 2.128564559418125e-06
Position 2635: 2.084581335376247e-06
Position 918: 1.855783297708913e-06
Position 1113: 1.738036394883448e-06
Position 958: 1.7004132101154276e-06
Position 1792: 1.5706984446117642e-06
Position 2052: 1.3870802297498653e-06
Position 119: 1.3472438571272694e-06
Position 2430: 1.3281511699904837e-06
Position 755: 1.283436641651085e-06
Position 1287: 1.2511953218355305e-06
Position 1346: 9.373050304885007e-07
Position 1384: 8.671690099501578e-07
Position 2480: 7.508873697800927e-07
Position 2365: 7.046393768476146e-07
Position 933: 5.959056726650844e-07
Position 2189: 5.458408199795753e-07
Position 1084: 4.88350797608296e-07
Position 1304: 4.233014853606929e-07
Position 1284: 3.605988516982554e-07
Position 2456: 2.9927297645699307e-07
Position 588: 2.5410977641181516e-07
Position 47: 2.5316180256137304e-07
Position 2463: 1.611683687599591e-07
Position 582: 1.5310858067641657e-07
Position 2335: 1.0713876708317684e-07
Position 1839: 8.458173529894207e-08
Position 1599: 6.877663054580725e-08
Position 2445: 5.7477898214418186e-08
Position 1374: 5.5987231318680014e-08
Position 1101: 5.053958531553439e-08
Position 2439: 3.523322146688389e-08
Position 1349: 2.3996886439536103e-08
Position 935: 9.939803575572774e-09
Position 2674: 3.4012581649134205e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1317: 0.8648160042867842
Position 1608: 0.7850788922815638
Position 891: 0.661441775829947
Position 1089: 0.39958085020532036
Position 1819: 0.26516493338745273
Position 505: 0.1343482161288205
Position 565: 0.09936212950712238
Position 276: 0.06327525534839123
Position 247: 0.0530049547782686
Position 84: 0.049660089390981065
Position 1098: 0.019098093857909625
Position 709: 0.01890143428296275
Position 2164: 0.006975365224086776
Position 1323: 0.006637248092501396
Position 906: 0.006515644464026731
Position 468: 0.005543351256736813
Position 1183: 0.005162636496741506
