Gene = Ilp3
index = 1226
Annotated 5SS: [246]
Annotated 3SS: [317]
SMsplice 5SS: [246]
SMsplice 3SS: [317]
Partition function (log Z): -3.9775270275477337

Sorted 5' Splice Sites (High to Low Probability):
Position 246: 0.8495783122241621
Position 250: 0.14829301631490283
Position 502: 0.006751173929500328
Position 211: 0.0012935820623734557
Position 511: 0.0012319574499038304
Position 207: 0.0007575252567449107
Position 470: 0.0006239333827229032
Position 588: 0.0005479428806453113
Position 660: 0.00032711565078927046
Position 597: 8.290818525570544e-05
Position 600: 2.972639784428881e-05
Position 483: 2.4723387409863853e-05
Position 88: 2.2751688976898627e-05
Position 166: 2.2328546730089458e-05
Position 605: 2.1409959742936438e-05
Position 282: 1.5198054677548519e-05
Position 169: 5.199934214401274e-06
Position 451: 3.5597822735692457e-06
Position 376: 3.065305520273726e-06
Position 392: 2.5093336171603473e-06
Position 209: 2.453044861688486e-06
Position 428: 2.0268347429576388e-06
Position 671: 1.721526266150986e-06
Position 387: 1.4595660851417294e-06
Position 381: 1.1897054345669846e-06
Position 147: 1.1065692609022794e-06
Position 90: 1.0848422297840666e-06
Position 439: 6.790591676907414e-07
Position 454: 5.910955083874186e-07
Position 608: 3.603292542532866e-07
Position 414: 1.0478196375776143e-07
Position 149: 7.517042697466059e-08
Position 441: 3.6318714970878684e-08
Position 357: 2.4361712220326174e-08
Position 323: 1.802361118859777e-08
Position 314: 4.112033332626359e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 317: 0.8557522268465809
Position 337: 0.14237792216280937
Position 563: 0.004277825290368221
Position 597: 0.003068682244115785
Position 700: 0.0011943565977183138
Position 706: 0.000972093231121238
Position 664: 0.0005165638322036033
Position 397: 0.0004761191087093375
Position 353: 0.00041869671237341935
Position 372: 0.00031037004568327354
Position 387: 6.467674536234945e-05
Position 271: 4.948683806119085e-05
Position 748: 4.718213397392792e-05
Position 605: 3.6728877149854356e-05
Position 617: 2.95713070578211e-05
Position 154: 1.965374913931544e-05
Position 406: 1.4471473154260234e-05
Position 580: 5.0767523989210515e-06
Position 451: 4.751082889137903e-06
Position 702: 4.631551965761085e-06
Position 772: 4.024204502116968e-06
Position 282: 3.137564556850259e-06
Position 493: 1.1366590936192633e-06
Position 381: 6.109922646179745e-07
Position 202: 5.722315156015711e-07
Position 498: 7.598605051981362e-08
Position 469: 6.417689431524914e-08
Position 249: 5.979661494378029e-08
Position 166: 5.3793732353108096e-08
Position 428: 1.8136501808721368e-08
Position 235: 1.787363321568191e-08
Position 666: 8.585580249608442e-09
Position 439: 4.760551546289563e-09
Position 477: 2.076600128527141e-09
Position 237: 1.6483539151263642e-09
