Gene = ms(3)76Ba
index = 1798
Annotated 5SS: [192 287]
Annotated 3SS: [253 346]
SMsplice 5SS: [192]
SMsplice 3SS: [346]
Partition function (log Z): -6.227437386770245

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.945236209675491
Position 287: 0.18636857498238268
Position 385: 0.007494602690088254
Position 768: 0.005833987656782212
Position 119: 0.0031461658223619357
Position 905: 0.0018253870948845268
Position 1121: 0.0016602808156936848
Position 390: 0.0012010482561075812
Position 1916: 0.0005923411906507645
Position 267: 0.0003088016544958094
Position 1552: 0.0002893360260510602
Position 1872: 0.00022139388023859302
Position 1108: 0.00021959383136206363
Position 918: 0.00019679607371251074
Position 1456: 0.00014150874106184024
Position 435: 0.00012763592810641016
Position 735: 0.00012165480796370028
Position 593: 0.00010113207904273986
Position 438: 9.295106381216073e-05
Position 1706: 9.193061209383664e-05
Position 702: 8.72034352915102e-05
Position 1754: 7.926040439206305e-05
Position 691: 5.56300906442119e-05
Position 1221: 4.82763377501028e-05
Position 451: 4.494948846451669e-05
Position 1175: 4.074831136733556e-05
Position 2270: 3.928730591003838e-05
Position 2359: 3.3511534907541226e-05
Position 911: 3.0031582265908002e-05
Position 1401: 2.6501232924903434e-05
Position 1742: 2.4684269725625467e-05
Position 2018: 2.4534935733119844e-05
Position 1893: 2.345225076021321e-05
Position 540: 1.6494105113427072e-05
Position 818: 1.5183276322873127e-05
Position 902: 1.4212481602869015e-05
Position 891: 1.2123347805739376e-05
Position 1299: 1.138708425243979e-05
Position 1020: 1.0966127399268511e-05
Position 1519: 9.81735738849727e-06
Position 1962: 8.452230054244546e-06
Position 746: 6.714182396046307e-06
Position 555: 6.670811668311767e-06
Position 1855: 5.411103479766665e-06
Position 1232: 5.31871647729909e-06
Position 1659: 5.211878987358671e-06
Position 1686: 4.226797684509313e-06
Position 1766: 4.222211506012854e-06
Position 89: 3.5035321894516183e-06
Position 60: 3.358669050013359e-06
Position 1474: 3.162083311920022e-06
Position 39: 2.82637337149323e-06
Position 596: 2.2762440934070024e-06
Position 246: 2.0912780479336576e-06
Position 374: 1.710883956722886e-06
Position 1275: 1.5159791676103854e-06
Position 642: 1.1215145362894468e-06
Position 2048: 1.1192499682997976e-06
Position 2340: 9.794214321052364e-07
Position 1789: 6.767924525660933e-07
Position 2004: 6.374249043983514e-07
Position 393: 5.576346134527988e-07
Position 607: 3.6177095677306004e-07
Position 1289: 2.8176674317233934e-07
Position 748: 2.3211253992053267e-07
Position 2307: 2.1552743630975327e-07
Position 75: 1.863826733092204e-07
Position 343: 1.4007723252296353e-07
Position 2061: 1.3676256977092274e-07
Position 1946: 1.340666429149837e-07
Position 1948: 1.3404478762835895e-07
Position 1623: 1.2270946968989605e-07
Position 2059: 9.076249883709591e-08
Position 2304: 7.761123718897752e-08
Position 1791: 6.60269696293856e-08
Position 2385: 6.51889813458059e-08
Position 1812: 5.784585270184754e-08
Position 1389: 4.732966416922654e-08
Position 2387: 4.627167660652967e-08
Position 379: 4.308285104523408e-08
Position 349: 4.002726473244931e-08
Position 1599: 2.5597672796337903e-08
Position 2194: 2.2989671732953376e-08
Position 2182: 1.679302215908048e-08
Position 2228: 1.3091464358980271e-08
Position 1826: 1.2108709700650314e-08
Position 1983: 8.60113270258999e-09
Position 2237: 4.733339598723288e-09
Position 620: 4.631757564912321e-09
Position 2342: 2.3506367814762525e-09
Position 2283: 1.5366003033499042e-09
Position 2274: 9.53553858650241e-10
Position 2316: 8.62167444317494e-10
Position 2314: 7.482767206942014e-10
Position 2251: 1.4979499992842096e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 346: 0.6951798362452157
Position 253: 0.1875197272963834
Position 343: 0.06840777307134073
Position 634: 0.0433417597687234
Position 1430: 0.03836572164131967
Position 1262: 0.02408279928483042
Position 267: 0.020993357923441546
Position 374: 0.017418755859203557
Position 359: 0.009432758897669513
Position 389: 0.008383254250685753
Position 1812: 0.006590830871584701
Position 1211: 0.0024448951147035877
Position 1196: 0.0019617231181153043
Position 291: 0.0017199704491162088
Position 1993: 0.0016010992791354803
Position 564: 0.0015897692981264935
Position 1400: 0.001449437804441168
Position 995: 0.0013944041238342602
Position 660: 0.0013751894263881717
Position 1576: 0.0013645684355898353
Position 191: 0.0013537555957982153
Position 470: 0.0012801303916250286
Position 818: 0.0011275721024086478
Position 1008: 0.0011064728008561664
Position 2059: 0.0010556581274499262
Position 1053: 0.000979789221744853
Position 272: 0.0008204358191290142
Position 1995: 0.0008176342735730036
Position 2256: 0.0007993491354867999
Position 1975: 0.000743082607522159
Position 1138: 0.0006210223286074438
Position 1313: 0.0005779583040205917
Position 1058: 0.0004806146782196088
Position 451: 0.00047397015250979954
Position 537: 0.0004551069602473433
Position 1108: 0.0004486152834711387
Position 2125: 0.0004386181921538963
Position 435: 0.00041013860201188093
Position 865: 0.0003996202290474643
Position 1864: 0.0003806869606443898
Position 1519: 0.0003357554980510763
Position 1939: 0.0003024018732478259
Position 1542: 0.00029751816910166657
Position 869: 0.00029273610773702735
Position 2151: 0.00029065298805413224
Position 1646: 0.0002893623122648509
Position 1434: 0.00028195622567049345
Position 1232: 0.00027026191112429585
Position 1742: 0.00026901221073721577
Position 968: 0.00024908663234687455
Position 1766: 0.00022741388711883034
Position 1466: 0.00022213113759872195
Position 1704: 0.00019739985302030143
Position 1835: 0.00016819735841255184
Position 1340: 0.0001668375423312306
Position 722: 0.00016304532738840223
Position 2013: 0.00015697730731583078
Position 1217: 0.00014314543175532877
Position 447: 0.00014191461074241547
Position 2339: 0.0001380402806008327
Position 1020: 0.00012841576081082682
Position 1436: 0.0001245727273638186
Position 1525: 0.0001237868132548211
Position 547: 9.982720954633709e-05
Position 1612: 9.251121029874495e-05
Position 507: 8.884222181927747e-05
Position 1380: 8.206000092886584e-05
Position 2310: 7.182081196465312e-05
Position 2001: 6.696410108588556e-05
Position 1116: 6.379570372207621e-05
Position 1269: 6.223772735201642e-05
Position 2024: 5.105540759169624e-05
Position 691: 5.042041095674225e-05
Position 1659: 4.978483318905614e-05
Position 1385: 4.8524406997384604e-05
Position 1085: 4.634655815630995e-05
Position 963: 4.631952448680587e-05
Position 2413: 4.5843689197345076e-05
Position 1514: 4.522262418622929e-05
Position 1826: 4.438052606166484e-05
Position 2168: 4.1680716010628955e-05
Position 707: 3.925600988867449e-05
Position 1786: 3.741239882930846e-05
Position 1143: 3.569881540803329e-05
Position 902: 3.466312752742801e-05
Position 1623: 2.8761420728820508e-05
Position 948: 2.8132659546904343e-05
Position 1651: 2.7077830918815648e-05
Position 1454: 2.4476455285189395e-05
Position 1407: 2.334529182570878e-05
Position 2100: 2.334203036511993e-05
Position 1571: 1.857289041382132e-05
Position 2270: 1.6328549971385107e-05
Position 973: 1.617059736605512e-05
Position 1580: 1.6115386637515146e-05
Position 2438: 1.5010956459853317e-05
Position 1711: 1.3845831715137849e-05
Position 1722: 1.2369260642771207e-05
Position 2080: 1.0569507656120296e-05
Position 165: 9.21934826341157e-06
Position 2291: 7.96652001441631e-06
Position 509: 6.898871098079294e-06
Position 637: 6.889291804009725e-06
Position 2448: 6.4594228836543385e-06
Position 2138: 6.3281599556845444e-06
Position 2424: 6.302194040064792e-06
Position 978: 4.9942912875676646e-06
Position 1474: 4.756078193436118e-06
Position 1017: 4.694476992287949e-06
Position 1533: 3.7510022404815275e-06
Position 1446: 3.1470192578177125e-06
Position 108: 3.067808233753364e-06
Position 1852: 2.6311679592226357e-06
Position 2324: 2.5593728058517348e-06
Position 2363: 2.4075530044319985e-06
Position 1727: 2.2324262676309346e-06
Position 909: 2.119258789484226e-06
Position 1751: 1.964251534750556e-06
Position 1599: 1.6712120166902143e-06
Position 1679: 1.5667671466344658e-06
Position 2381: 1.4083761775861868e-06
Position 917: 1.3657329375142302e-06
Position 1055: 1.3080264480075827e-06
Position 2385: 1.1228095187991848e-06
Position 1160: 1.074959190497946e-06
Position 1089: 9.090611244775764e-07
Position 2228: 7.491777910979613e-07
Position 1843: 7.39280112879765e-07
Position 478: 7.352450573026143e-07
Position 1670: 5.323954965354097e-07
Position 2445: 4.77411856961999e-07
Position 767: 4.602481953944214e-07
Position 1147: 4.339153743270017e-07
Position 1070: 3.743457041601425e-07
Position 1096: 3.2363796386526764e-07
Position 1347: 3.2136312408427095e-07
Position 1155: 3.011936630149739e-07
Position 1353: 2.5622081714089853e-07
Position 911: 2.3636537344303298e-07
Position 488: 2.2477290115229566e-07
Position 2237: 2.247472684959148e-07
Position 1729: 2.2336868117490182e-07
Position 1149: 2.1844774259263308e-07
Position 1706: 1.843931816552782e-07
Position 889: 1.4127364811515875e-07
Position 1286: 9.164012238630478e-08
Position 123: 8.844072231567194e-08
Position 1121: 8.147334579689922e-08
Position 1310: 6.708356551706989e-08
Position 1837: 6.576763582837733e-08
Position 677: 6.485543272084179e-08
Position 153: 5.634698764343659e-08
Position 1370: 4.0904729651401004e-08
Position 1898: 3.4262584830135136e-08
Position 549: 2.580582419915344e-08
Position 129: 1.775366221089862e-08
Position 136: 1.589249415377805e-08
Position 876: 1.3491529268568199e-08
Position 1608: 1.1195241693961601e-08
Position 1783: 8.090956030318886e-09
Position 1550: 7.480964535283427e-09
Position 884: 4.34034942379249e-09
Position 1442: 2.445583238238191e-09
Position 1871: 1.1470972231685088e-09
Position 2082: 9.301846461665644e-10
Position 150: 8.972816791275927e-10
Position 1775: 4.93151398535841e-10
Position 878: 3.536091111636215e-10
Position 125: 1.865364306237761e-10
