Gene = Srp19
index = 1519
Annotated 5SS: [178]
Annotated 3SS: [249]
SMsplice 5SS: [178]
SMsplice 3SS: [249]
Partition function (log Z): -6.243747008099285

Sorted 5' Splice Sites (High to Low Probability):
Position 178: 0.8450376496616131
Position 225: 0.1282260267105366
Position 211: 0.022958405691339685
Position 327: 0.012504206299703006
Position 329: 0.012102647733989199
Position 26: 0.008494398962397133
Position 465: 0.0012718070989075295
Position 237: 0.00019109360537514534
Position 303: 0.00016343925082223064
Position 484: 0.00011031586455047383
Position 470: 6.72066351308745e-05
Position 4: 4.939534170239918e-05
Position 449: 3.368924081291517e-05
Position 367: 2.4503121143568256e-05
Position 64: 2.2689255168750586e-05
Position 35: 1.1408406481472872e-05
Position 447: 8.53021118234601e-06
Position 406: 7.194221677112211e-06
Position 441: 6.626115592825327e-06
Position 240: 5.454865223511453e-06
Position 455: 3.2911345163118707e-06
Position 371: 1.846139659531439e-06
Position 436: 1.8323015039065278e-06
Position 362: 1.6981718883274242e-06
Position 125: 6.101378041947336e-07
Position 444: 4.5875823884014035e-07
Position 385: 1.1193383378485942e-07
Position 411: 1.5772733390308556e-08
Position 627: 1.2382641387054235e-08
Position 511: 4.315582341505381e-09
Position 630: 3.6895783789510235e-09
Position 604: 5.843604175060066e-10
Position 633: 4.693802337256602e-10
Position 580: 7.239629985663843e-11
Position 592: 7.98691717364725e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 249: 0.5596235504353261
Position 385: 0.28058734776083527
Position 282: 0.18085609649020992
Position 76: 0.006864408151829532
Position 534: 0.0016801612568784067
Position 98: 0.001205172833869718
Position 397: 0.00014980469732207594
Position 298: 5.4919600644092136e-05
Position 342: 4.628775263386708e-05
Position 111: 3.545992228212255e-05
Position 423: 2.6082087112984946e-05
Position 322: 2.5270735189096142e-05
Position 592: 2.4715407164166413e-05
Position 426: 2.470652986751543e-05
Position 538: 2.01703343348095e-05
Position 332: 1.4654558270319917e-05
Position 460: 1.2964682671836573e-05
Position 403: 1.0976007327771168e-05
Position 125: 8.56172060203212e-06
Position 406: 7.16951570088816e-06
Position 289: 6.643691373532753e-06
Position 319: 6.338219198383342e-06
Position 589: 5.430256172670175e-06
Position 562: 3.485921858426945e-06
Position 547: 2.0266932348916862e-06
Position 122: 1.471303596525225e-06
Position 301: 8.872878028575375e-07
Position 604: 4.912231410031475e-07
Position 511: 4.857244576542857e-07
Position 553: 2.9215635099047516e-07
Position 598: 1.2024136663909655e-07
Position 676: 8.002694760374436e-08
Position 418: 7.786976532734057e-08
Position 53: 7.255568945569898e-08
Position 153: 6.697752332783494e-08
Position 352: 6.578883358533866e-08
Position 181: 2.482569726430625e-08
Position 175: 1.1673628260157946e-08
Position 211: 9.655497460369733e-09
Position 147: 8.029923164499377e-09
Position 646: 2.3737708566384053e-09
Position 652: 3.2931521682700627e-10
Position 643: 2.9069800509319606e-10
Position 658: 2.431170915894564e-10
Position 430: 1.7511861355155145e-10
Position 436: 8.149872240754106e-11
Position 188: 6.980429082331891e-11
