Gene = bora
index = 1632
Annotated 5SS: [373]
Annotated 3SS: [430]
SMsplice 5SS: [373]
SMsplice 3SS: [430]
Partition function (log Z): -5.551440462844403

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.999639614398321
Position 1798: 0.009666020329467052
Position 1185: 0.006145403358036437
Position 729: 0.00423384391154691
Position 948: 0.003185777709869941
Position 1455: 0.002227544888555782
Position 110: 0.0014861381804509833
Position 980: 0.0011030792019393642
Position 633: 0.0009221325881946068
Position 498: 0.0006250637318879701
Position 621: 0.0005931335577266593
Position 628: 0.0005306254729018631
Position 1314: 0.00047009321780663074
Position 1084: 0.0004450986846575972
Position 841: 0.00040559003276797675
Position 1927: 0.00039056883960225414
Position 1018: 0.0003166153664814231
Position 704: 0.00030162901473328434
Position 787: 0.00024060793555439746
Position 1347: 0.00018747005940135874
Position 595: 0.00017189589926043498
Position 836: 0.00016046332454416697
Position 314: 0.00015491473241023264
Position 611: 0.00013897814154137158
Position 1585: 0.00011318606064562907
Position 1623: 9.203532739339109e-05
Position 584: 9.114606645098451e-05
Position 522: 8.225481262546777e-05
Position 1955: 6.506723723812947e-05
Position 995: 5.4768139637849936e-05
Position 1967: 5.117080135821575e-05
Position 1588: 4.87653679715772e-05
Position 941: 3.670077167864668e-05
Position 180: 3.3882299333110285e-05
Position 1915: 3.319323894603552e-05
Position 958: 3.240058990505163e-05
Position 1329: 3.138106191582435e-05
Position 1173: 2.8791704446901e-05
Position 844: 2.634772866850416e-05
Position 865: 2.4440495120098583e-05
Position 152: 2.3497659698630493e-05
Position 1162: 2.0721114810968916e-05
Position 1672: 1.960325188172221e-05
Position 791: 1.9064048326008636e-05
Position 476: 1.8517576610576386e-05
Position 1921: 1.8079448285949293e-05
Position 542: 1.6927062808233284e-05
Position 1241: 1.6423920922323617e-05
Position 281: 1.579931497765743e-05
Position 97: 1.0396399176046677e-05
Position 1788: 8.35614789651418e-06
Position 1148: 7.686123830203867e-06
Position 1733: 4.066160210070006e-06
Position 1217: 3.931209453249838e-06
Position 906: 3.665597940151157e-06
Position 1327: 2.778515186856743e-06
Position 1220: 2.4599187052323754e-06
Position 482: 2.347209195402041e-06
Position 63: 2.012060330155822e-06
Position 1197: 1.976899258187989e-06
Position 82: 1.7250836343113659e-06
Position 1731: 1.6463837077480778e-06
Position 821: 1.6183198915750056e-06
Position 1964: 1.5552707393680924e-06
Position 348: 1.5460287519912434e-06
Position 900: 1.4674689385959723e-06
Position 847: 1.444321652612581e-06
Position 1258: 1.3944879125492938e-06
Position 1318: 1.3446975547251392e-06
Position 1900: 9.533239753720979e-07
Position 377: 7.02907446298691e-07
Position 1873: 6.928316478321969e-07
Position 1133: 5.775647620383575e-07
Position 1813: 5.046436459924906e-07
Position 208: 4.917600472705241e-07
Position 271: 4.792557602488007e-07
Position 1350: 4.099288169141366e-07
Position 217: 3.955052799301358e-07
Position 166: 3.4955372514571266e-07
Position 51: 3.1977524752585556e-07
Position 384: 2.562535530288859e-07
Position 467: 2.2258232247914203e-07
Position 1931: 1.4337191090406176e-07
Position 283: 1.0960062440822672e-07
Position 33: 8.797956704614563e-08
Position 1971: 6.6657990075283e-08
Position 1549: 6.27304239871741e-08
Position 1541: 5.204417928144841e-08
Position 1977: 4.256390997317753e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 430: 0.9420977790922835
Position 476: 0.019786858345575302
Position 676: 0.012619836420990856
Position 1853: 0.011014895565951132
Position 1824: 0.006407544804416867
Position 1788: 0.0061529776195797204
Position 1715: 0.005322165014974442
Position 800: 0.003923746054332054
Position 1045: 0.003573780054313919
Position 1541: 0.00338215397337401
Position 991: 0.002877557970458617
Position 656: 0.00262548247689724
Position 920: 0.002144123005009483
Position 569: 0.001927567324903532
Position 1549: 0.0016786490379289822
Position 1940: 0.0012669508508080672
Position 2011: 0.0012072730037087265
Position 865: 0.0011633056157162786
Position 166: 0.0010303089744869577
Position 704: 0.0006002769882904055
Position 2016: 0.0005245047388829178
Position 1300: 0.00044456310793248704
Position 1794: 0.000320657544031734
Position 1471: 0.00023379396918362148
Position 198: 0.00022144959112895506
Position 1251: 0.00021588399040449994
Position 1346: 0.0001867567475486502
Position 201: 0.00015360545577720473
Position 1529: 0.00015026507272716144
Position 608: 0.00014479800004084007
Position 566: 0.00012349801457380092
Position 1255: 0.00011593445483652359
Position 829: 0.00010200889870931673
Position 2031: 8.324969918886077e-05
Position 186: 7.813562576890303e-05
Position 1507: 6.837537460574456e-05
Position 1637: 6.084806102707186e-05
Position 1955: 5.857385104910662e-05
Position 482: 5.430347985695011e-05
Position 542: 4.990179976503563e-05
Position 1184: 4.7974320812779755e-05
Position 1485: 4.5021922043531886e-05
Position 628: 4.4100156014113623e-05
Position 712: 4.337899868846555e-05
Position 774: 4.04170956014946e-05
Position 1241: 3.602513613191325e-05
Position 768: 2.867619083009617e-05
Position 1604: 2.7567347006008823e-05
Position 1568: 2.667146613426909e-05
Position 1208: 2.474500492197855e-05
Position 1021: 2.1988493037099757e-05
Position 261: 2.1016692632485397e-05
Position 1224: 1.961536477597132e-05
Position 1611: 1.9348921453725834e-05
Position 1102: 1.8944378980771726e-05
Position 1188: 1.7274315133164614e-05
Position 1100: 1.3159980998026978e-05
Position 1121: 1.2274449497894548e-05
Position 372: 1.022897911664266e-05
Position 1693: 9.655289805817768e-06
Position 965: 8.365820416182917e-06
Position 1362: 7.522252140062812e-06
Position 1562: 6.959679353580635e-06
Position 303: 6.868121141203327e-06
Position 595: 5.705018454042477e-06
Position 332: 5.340663534038568e-06
Position 1430: 5.191157718069193e-06
Position 578: 4.757231341822878e-06
Position 1310: 4.42804400607069e-06
Position 268: 4.113828288849335e-06
Position 1608: 3.4702619748585606e-06
Position 1370: 3.2802033555937946e-06
Position 1403: 3.0094198614525687e-06
Position 1864: 2.8530635937899804e-06
Position 1860: 2.66216985635078e-06
Position 1168: 2.5786422907605213e-06
Position 1336: 2.389372550048996e-06
Position 1127: 2.3521828490493694e-06
Position 1258: 2.286217901774258e-06
Position 1672: 2.094196021881578e-06
Position 1401: 1.784205477505313e-06
Position 1162: 1.7383525938592546e-06
Position 1018: 1.6384519054593358e-06
Position 1964: 1.3119227960549983e-06
Position 1419: 1.296661288140067e-06
Position 611: 1.2498040570008761e-06
Position 1358: 1.1953486134720592e-06
Position 1382: 1.1501133713577326e-06
Position 245: 1.0017485578101624e-06
Position 680: 9.870924264281488e-07
Position 958: 9.675222095832834e-07
Position 1867: 5.403102512193663e-07
Position 584: 5.378583017004983e-07
Position 1195: 4.188568549458147e-07
Position 832: 3.5074120956878143e-07
Position 1427: 3.392343407658383e-07
Position 527: 2.5639430151162396e-07
Position 1641: 2.501383671009872e-07
Position 930: 2.420312488593054e-07
Position 133: 1.2352291932375318e-07
Position 971: 1.0586948184816111e-07
Position 313: 9.510904467466975e-08
Position 728: 9.379793132478092e-08
Position 94: 7.612745038391478e-08
Position 1577: 5.939494188639371e-08
Position 776: 5.788500920034103e-08
Position 1205: 3.741495809855195e-08
Position 1565: 3.289456066910126e-08
Position 1685: 2.8496469262454578e-08
Position 125: 2.792035024647727e-08
Position 1801: 2.3809290716902652e-08
Position 1584: 2.2548504928121525e-08
Position 335: 1.2938887165099999e-08
Position 836: 1.0381833707581032e-08
Position 1406: 9.536735132955454e-09
Position 497: 9.389500347467556e-09
Position 1154: 8.17670132832561e-09
Position 377: 5.1719862732690874e-09
Position 841: 3.48879919744236e-09
Position 1391: 3.435270712543669e-09
Position 82: 3.1783340886570073e-09
Position 109: 2.915904807093529e-09
Position 1644: 1.8492044230234136e-09
Position 1312: 1.7048996804501085e-09
Position 1397: 1.0909377835141749e-09
Position 1648: 8.206181805762004e-10
Position 1226: 7.429720601866528e-10
Position 940: 1.4918274402145017e-10
Position 1286: 9.790347267987409e-11
Position 1190: 4.6512580626961486e-11
Position 932: 4.5829060900713226e-11
Position 1314: 2.8734934667828176e-11
Position 1459: 1.4746933733428813e-11
Position 1613: 4.715472567155473e-12
