Gene = Gem2
index = 1186
Annotated 5SS: [ 20 310]
Annotated 3SS: [ 86 360]
SMsplice 5SS: [310]
SMsplice 3SS: [360]
Partition function (log Z): -3.5526432467345708

Sorted 5' Splice Sites (High to Low Probability):
Position 310: 0.9990844693676623
Position 20: 0.01556955718057768
Position 461: 0.00973679869874776
Position 965: 0.00937611839443898
Position 883: 0.0032102378491621524
Position 649: 0.0027926387943713418
Position 847: 0.002127741174230672
Position 48: 0.001881857460327664
Position 88: 0.0018173338069285244
Position 1140: 0.0007111189520381735
Position 687: 0.0006258437546409632
Position 244: 0.00031724198440248813
Position 300: 0.0003156881170772563
Position 799: 0.0002880367959811652
Position 448: 0.00026781011007459267
Position 25: 0.00023331641499595867
Position 1041: 0.00019349320299978965
Position 700: 6.722282198405034e-05
Position 86: 6.671694350638418e-05
Position 146: 6.486082685458271e-05
Position 314: 5.9887002736501785e-05
Position 418: 2.6596212327890815e-05
Position 1113: 2.620495927361714e-05
Position 241: 2.3254656459303696e-05
Position 897: 1.9794545526772644e-05
Position 624: 1.5722155059363634e-05
Position 198: 1.564939881916051e-05
Position 1126: 1.369158441597242e-05
Position 937: 1.0965088387315195e-05
Position 454: 1.0459377551391193e-05
Position 381: 1.0245069394520564e-05
Position 732: 8.187032515260818e-06
Position 186: 7.784089067448133e-06
Position 1089: 6.701738600377077e-06
Position 213: 4.664175161631322e-06
Position 730: 4.376981485109668e-06
Position 841: 4.024128810065309e-06
Position 492: 3.431514494280531e-06
Position 667: 3.277909893923114e-06
Position 468: 3.2049300298485614e-06
Position 973: 2.736241642273935e-06
Position 992: 7.750273557642221e-07
Position 233: 2.1584227443679575e-07
Position 338: 1.7664537179109992e-07
Position 161: 1.0932691162165194e-07
Position 375: 6.857386225994409e-08
Position 1012: 3.788086206600522e-08
Position 1019: 1.936385762713764e-08
Position 366: 1.6135125256029217e-08
Position 354: 6.608185008387742e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 360: 0.9952076368889827
Position 1045: 0.010164459404438149
Position 522: 0.00938597283577111
Position 99: 0.007194498395212206
Position 86: 0.007055858479651451
Position 132: 0.004565370280298164
Position 381: 0.002301916378325976
Position 997: 0.001521180669587668
Position 1012: 0.0014528918763159172
Position 1197: 0.0014333625493198406
Position 436: 0.0013285842118781544
Position 902: 0.0010794083097381121
Position 1109: 0.0008321566639676691
Position 846: 0.0008258456044124004
Position 949: 0.0006664211994002576
Position 737: 0.000625407596753189
Position 174: 0.0004887148985652905
Position 918: 0.0004267332847589031
Position 858: 0.00040453654868665003
Position 366: 0.00039013746608746955
Position 897: 0.00038338069122494675
Position 789: 0.0003532240711314763
Position 1052: 0.0002828613898228434
Position 161: 9.792032540054943e-05
Position 1168: 7.925993522313747e-05
Position 177: 5.9848149406028185e-05
Position 158: 5.467116338146417e-05
Position 555: 5.106001752527878e-05
Position 433: 3.239621092050366e-05
Position 1140: 3.233684116554052e-05
Position 1171: 2.819433747461708e-05
Position 882: 2.7028106577675826e-05
Position 1076: 2.4670950699829722e-05
Position 620: 2.1657749051498575e-05
Position 492: 2.0811913145504128e-05
Position 447: 1.9742065728285473e-05
Position 1126: 1.9597298162901326e-05
Position 295: 1.8766849407999432e-05
Position 525: 1.1354225266620595e-05
Position 792: 9.159364890532122e-06
Position 652: 8.031461612674814e-06
Position 465: 6.970703930236705e-06
Position 956: 5.930599834394891e-06
Position 269: 5.1927593879465185e-06
Position 338: 4.375954237041701e-06
Position 870: 2.9087088762868598e-06
Position 552: 2.8954305662247267e-06
Position 141: 2.702512958885634e-06
Position 117: 2.5620752117981384e-06
Position 633: 2.5001676697338263e-06
Position 811: 2.164577402798292e-06
Position 254: 1.1163581979977077e-06
Position 600: 1.0380808374976252e-06
Position 112: 1.0280507913108717e-06
Position 454: 4.354219165244878e-07
Position 238: 3.4387655837222946e-07
Position 418: 2.3352434131899016e-07
Position 624: 1.6418721802190087e-07
Position 1078: 1.5238273158719265e-07
Position 534: 1.3649024467627596e-07
Position 224: 9.11692826631757e-08
Position 228: 6.860188601847096e-08
Position 184: 6.129479166421688e-08
Position 105: 5.4803161553952215e-08
Position 196: 4.776377043277192e-08
Position 776: 4.365417122916221e-08
Position 222: 3.6162837863883684e-08
Position 297: 2.065984798092147e-08
Position 198: 1.943180179796402e-08
Position 799: 9.459726859323502e-09
Position 468: 7.953234342618154e-09
Position 186: 6.742197469511343e-10
Position 314: 4.0477055836738603e-10
Position 566: 2.9966720134326e-10
Position 414: 3.9070855270300713e-11
Position 150: 4.568713143626796e-12
