Gene = Nse4
index = 1333
Annotated 5SS: [ 180  449  673 1066]
Annotated 3SS: [ 230  504  735 1120]
SMsplice 5SS: [ 180  449  673 1066]
SMsplice 3SS: [ 230  504  735 1120]
Partition function (log Z): 14.561244439140074

Sorted 5' Splice Sites (High to Low Probability):
Position 180: 0.9999295993424844
Position 673: 0.9995218094504765
Position 449: 0.9709536282853133
Position 1066: 0.9153923176061661
Position 1501: 0.23072157862997322
Position 1172: 0.14593790396692238
Position 1505: 0.06911940050042252
Position 1061: 0.029135676924380426
Position 1279: 0.023548278231197487
Position 453: 0.01958418078054199
Position 1312: 0.017611190224193395
Position 1321: 0.012150679526148804
Position 434: 0.0029454442185684543
Position 1176: 0.0024458253160130547
Position 795: 0.0015233886150518515
Position 1483: 0.0007346949633867658
Position 861: 0.0006486651952611569
Position 799: 0.0004376516682125797
Position 1260: 0.00040899505313472925
Position 1070: 0.00039584402261795966
Position 1454: 0.0003853007625920793
Position 386: 0.00019575268280646924
Position 1463: 0.0001543011465096713
Position 974: 0.00014562671591526383
Position 372: 0.00013938192174187337
Position 1478: 0.00012570627082995648
Position 677: 0.00011890736550752987
Position 462: 0.00010468240290415252
Position 985: 8.811451857829192e-05
Position 1127: 8.719753744311712e-05
Position 628: 8.464922920989412e-05
Position 1040: 6.353361741547258e-05
Position 24: 5.8038351834766646e-05
Position 30: 5.554116782295184e-05
Position 483: 5.349111680361872e-05
Position 389: 4.978465545296921e-05
Position 1251: 4.9065283721167286e-05
Position 1199: 3.41760120989e-05
Position 1212: 3.315418036150177e-05
Position 994: 3.101459299777346e-05
Position 419: 3.035717473445966e-05
Position 1009: 2.625301368909953e-05
Position 1221: 2.5922908700709314e-05
Position 1289: 2.536051803689334e-05
Position 1291: 1.910163702028112e-05
Position 184: 1.888522660923431e-05
Position 631: 1.8588051851485842e-05
Position 1156: 1.7682525363674928e-05
Position 488: 1.460248433332805e-05
Position 634: 1.2852144357558906e-05
Position 1026: 1.2426535197172515e-05
Position 684: 9.657726390663496e-06
Position 647: 9.223700136067538e-06
Position 1509: 8.645531281382885e-06
Position 1051: 6.894039190536907e-06
Position 330: 5.329944124540046e-06
Position 514: 4.816337660503664e-06
Position 1244: 2.9542205115168095e-06
Position 460: 2.8645469846232757e-06
Position 567: 2.5630176152471307e-06
Position 144: 2.2668497851494426e-06
Position 551: 2.005580221432165e-06
Position 1084: 1.9930891215679617e-06
Position 991: 1.972432707422313e-06
Position 1377: 1.6255068605134515e-06
Position 1366: 1.5473080206922346e-06
Position 1427: 1.3075275182118854e-06
Position 702: 1.1784675032075582e-06
Position 761: 1.1034998768215843e-06
Position 927: 9.480347303096412e-07
Position 70: 4.420411370764959e-07
Position 616: 3.8809134742866547e-07
Position 934: 3.111161823119953e-07
Position 262: 2.664495305424517e-07
Position 924: 2.6170564841363776e-07
Position 732: 2.1404482652361775e-07
Position 736: 1.964005479558189e-07
Position 904: 1.2016585090762596e-07
Position 65: 7.890431052533606e-08
Position 749: 6.485960758537228e-08
Position 350: 5.8025467943832155e-08
Position 97: 2.479121386225599e-09
Position 711: 1.792186668753511e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 230: 0.9989916920241602
Position 735: 0.9864167747813157
Position 504: 0.9862214921266782
Position 1120: 0.9384036155859361
Position 1562: 0.3185727602891492
Position 1240: 0.08184900240385869
Position 1363: 0.036690012213319904
Position 1377: 0.031695779782473406
Position 1366: 0.031628896677551775
Position 739: 0.01020244153542918
Position 567: 0.004863186866916924
Position 1519: 0.004227036073307266
Position 1312: 0.0028724675000936896
Position 523: 0.0025424756677367827
Position 942: 0.001959742929805144
Position 909: 0.0017562839615251232
Position 939: 0.0014953476351543583
Position 1251: 0.0012365549490010626
Position 1289: 0.000732198793112124
Position 278: 0.000602807237709019
Position 1132: 0.0005989645599672878
Position 292: 0.00026984601195748114
Position 596: 0.000246476767171428
Position 780: 0.0001766481596834272
Position 747: 0.00015146177646166559
Position 1466: 0.00014010319844117052
Position 1533: 0.0001256071549662374
Position 1199: 0.0001246052854570807
Position 613: 0.00011783567728297516
Position 1212: 9.979132926620445e-05
Position 627: 6.678739960100995e-05
Position 70: 5.766685794035765e-05
Position 296: 5.4155771215177493e-05
Position 105: 5.355798696845536e-05
Position 1091: 4.173303454035367e-05
Position 759: 3.418388879165606e-05
Position 1176: 3.3408276691701285e-05
Position 1164: 2.7707406659934792e-05
Position 1489: 2.206008264168553e-05
Position 1469: 2.020624873303968e-05
Position 535: 1.1487228489758334e-05
Position 702: 9.857185302639248e-06
Position 754: 9.109999174771862e-06
Position 575: 8.844395924972671e-06
Position 1538: 5.8432388366995426e-06
Position 309: 5.093756552486989e-06
Position 1032: 4.4096344853534784e-06
Position 1186: 3.490168292054004e-06
Position 1015: 3.183059975984423e-06
Position 969: 2.4384051157579978e-06
Position 532: 1.551645311000772e-06
Position 232: 1.280210710050195e-06
Position 850: 1.1151523765555456e-06
Position 364: 1.0919117190664638e-06
Position 816: 1.0702652788183105e-06
Position 280: 7.671056448540943e-07
Position 128: 7.358158779284428e-07
Position 525: 7.29021033503908e-07
Position 386: 6.18255692811534e-07
Position 793: 3.911052477374242e-07
Position 787: 1.89953355637127e-07
Position 1483: 1.2476458553751482e-07
Position 323: 1.2425846340223216e-07
Position 313: 1.1506176866209876e-07
Position 260: 1.116538791099366e-07
Position 838: 8.303874462785009e-08
Position 1065: 4.5876336515358504e-08
Position 761: 3.430790549724564e-08
Position 790: 3.32301258313654e-08
Position 1180: 2.8571184987489543e-08
Position 642: 2.8212444482437585e-08
Position 398: 2.6951421147949272e-08
Position 852: 2.2719522038274928e-08
Position 824: 1.9649187069769263e-08
Position 452: 1.1670653192868207e-08
Position 166: 1.0541305832818814e-08
Position 744: 6.5641847748264185e-09
Position 677: 2.5175891977433375e-09
Position 527: 2.3810155451578596e-09
Position 262: 9.547505690426717e-10
Position 673: 8.363129517766786e-10
Position 1150: 4.290525971104974e-10
Position 175: 8.55159403718081e-11
Position 179: 9.836876989395748e-12
Position 184: 4.677617068866563e-14
