Gene = pkaap
index = 1839
Annotated 5SS: [ 182  583 1912]
Annotated 3SS: [ 309  852 1980]
SMsplice 5SS: [ 182  583 1912]
SMsplice 3SS: [ 309  852 1980]
Partition function (log Z): -1.2742313637471074

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.9712047720119324
Position 1912: 0.964659620352436
Position 583: 0.9192458352587254
Position 746: 0.04143333046294946
Position 6: 0.016480220729471078
Position 1089: 0.009574421847294231
Position 765: 0.006556455759775125
Position 1902: 0.0058799101467257205
Position 148: 0.005470789623444096
Position 688: 0.003774328171423684
Position 526: 0.0013162065723156748
Position 774: 0.0011548223243414081
Position 400: 0.0010697729750699632
Position 1506: 0.0009568232020668376
Position 762: 0.0009298548718091747
Position 2626: 0.0008930940325646867
Position 771: 0.0008593919529371029
Position 565: 0.0007121418179767555
Position 2829: 0.0006984123394289387
Position 538: 0.0006677379557054287
Position 1299: 0.0006267108224101858
Position 1844: 0.0005358766512002362
Position 700: 0.0004979561120727366
Position 239: 0.00047108656769289894
Position 2814: 0.0003908581504411379
Position 535: 0.0003417170797400721
Position 1210: 0.00033350305121085047
Position 2491: 0.0003334129349088389
Position 727: 0.00028798291334565464
Position 661: 0.0002876451227522924
Position 2611: 0.00028370333099406235
Position 604: 0.0002807194585127948
Position 1916: 0.00027536005939142867
Position 1271: 0.000268804560452554
Position 2421: 0.00026853497641729333
Position 1196: 0.0002646860241261502
Position 532: 0.0002633842657073016
Position 186: 0.00024194634607404468
Position 1409: 0.00023776096638951488
Position 2084: 0.0002003664679590336
Position 2168: 0.00018891076169699324
Position 2344: 0.00016297785150615787
Position 935: 0.00015217726009378088
Position 529: 0.00014696996042295617
Position 1582: 0.00011891017768349484
Position 2635: 0.0001171513241636983
Position 1281: 0.00011045525848515616
Position 1818: 0.0001055861018473726
Position 156: 0.00010522412622429879
Position 2376: 0.00010077185825482206
Position 1829: 9.676345381962142e-05
Position 1358: 8.631986300331757e-05
Position 365: 7.939553831714288e-05
Position 89: 7.807499342165188e-05
Position 1212: 7.162862105086323e-05
Position 930: 6.944679397949569e-05
Position 621: 6.303005072703397e-05
Position 1480: 5.2584773898233823e-05
Position 1440: 5.10173328013479e-05
Position 1887: 4.611392700739215e-05
Position 2779: 4.448384833776061e-05
Position 1944: 4.1313465819540156e-05
Position 1109: 3.770789857701294e-05
Position 748: 3.094237766162719e-05
Position 2337: 2.7491770965027183e-05
Position 387: 2.5382576061843164e-05
Position 1487: 2.514417532797098e-05
Position 750: 2.4371579677702206e-05
Position 900: 2.401377414314463e-05
Position 1364: 2.3888930061350376e-05
Position 2445: 2.3342819490948304e-05
Position 2454: 1.991130451785384e-05
Position 2397: 1.936105366665215e-05
Position 1366: 1.6998954454800225e-05
Position 2232: 1.299115820752758e-05
Position 2464: 1.1669187061519389e-05
Position 54: 1.0973629083922343e-05
Position 2039: 1.0922083818120684e-05
Position 492: 1.0354259259160025e-05
Position 2251: 9.255372596906904e-06
Position 2637: 8.672477264624552e-06
Position 1314: 8.032828350819134e-06
Position 1726: 6.969495248213003e-06
Position 1715: 5.019500003319822e-06
Position 2589: 4.9528849627470305e-06
Position 1559: 4.7973918540163514e-06
Position 2792: 4.254275734967072e-06
Position 1595: 4.087221401125905e-06
Position 1636: 3.6443506303609115e-06
Position 448: 3.3087096036298283e-06
Position 2436: 3.2736105721191433e-06
Position 1865: 3.1673982878676232e-06
Position 1938: 2.9639589558532483e-06
Position 2452: 2.7600424966086273e-06
Position 1936: 1.4165445225410102e-06
Position 1413: 1.3968073936213073e-06
Position 2144: 1.3521748080310883e-06
Position 215: 1.1670861289760247e-06
Position 1730: 1.1461743147968392e-06
Position 462: 1.115088874939813e-06
Position 2256: 1.1105297236264996e-06
Position 287: 9.72342239342257e-07
Position 1946: 9.587635759122675e-07
Position 1118: 9.201554305290558e-07
Position 2327: 9.11841342436076e-07
Position 2574: 8.256162857870019e-07
Position 2324: 7.578758988954594e-07
Position 1721: 7.337019586535059e-07
Position 464: 6.325273444084156e-07
Position 2730: 6.15633084229327e-07
Position 1790: 5.280197139342693e-07
Position 2227: 5.199078838927157e-07
Position 2304: 4.695523026258346e-07
Position 267: 4.5714903566308347e-07
Position 1544: 4.561743820569032e-07
Position 1774: 4.531799764226589e-07
Position 372: 4.467393188661676e-07
Position 1758: 3.2836872007141646e-07
Position 316: 1.5666626094384725e-07
Position 1736: 1.226530338545641e-07
Position 2219: 1.127186238494951e-07
Position 1521: 5.3476203326809985e-08
Position 294: 3.03942045085044e-08
Position 2295: 2.4867228748494435e-08
Position 349: 5.995206266142398e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.966599087064839
Position 852: 0.8654595966272934
Position 1980: 0.8374015625685143
Position 2009: 0.13134920256840554
Position 1140: 0.07714552746378203
Position 89: 0.014176271518653088
Position 659: 0.013247546260430757
Position 1715: 0.011211131707223708
Position 1531: 0.006823578706439407
Position 953: 0.006190218212701465
Position 1721: 0.004768592902189221
Position 2900: 0.004245530101929689
Position 2740: 0.0033743640136788527
Position 691: 0.0030439568186625
Position 1077: 0.0022064610680778843
Position 935: 0.002130748143999962
Position 448: 0.0017989122199354023
Position 2108: 0.0010705701975930384
Position 2088: 0.0009680068999165693
Position 1961: 0.0007676362192731369
Position 363: 0.000733417209525663
Position 1281: 0.0007258879811764663
Position 1865: 0.0006283100256045835
Position 1271: 0.000515421262519423
Position 2060: 0.0004848465056539856
Position 1457: 0.0004829748601030608
Position 2225: 0.0004212162032431292
Position 1103: 0.00037600890790944505
Position 325: 0.0003713926285301
Position 1790: 0.0003523087986355889
Position 1745: 0.00033807276512658055
Position 1387: 0.00032834709373842945
Position 1571: 0.0003147904064956934
Position 746: 0.0002988761395816642
Position 762: 0.00017699291692463057
Position 1742: 0.00015128502720754438
Position 474: 0.00014567823840238805
Position 471: 0.00012760920971190397
Position 1424: 0.00012708566163250056
Position 107: 0.00011444624866388845
Position 714: 0.00010415360925814359
Position 2194: 9.915350888555719e-05
Position 462: 9.337831894128156e-05
Position 1625: 9.162288186458316e-05
Position 322: 8.359234704326233e-05
Position 998: 7.7782875593945e-05
Position 1291: 7.640955396822697e-05
Position 1829: 7.410522264957507e-05
Position 2154: 7.354396833914145e-05
Position 1181: 6.757034085098729e-05
Position 2138: 6.638286427803766e-05
Position 1649: 6.55632959670125e-05
Position 2559: 4.780705284746e-05
Position 1369: 4.1055003773607755e-05
Position 2696: 3.832888128352301e-05
Position 1151: 3.061867167735003e-05
Position 1646: 2.996526278901207e-05
Position 1351: 2.523166408940006e-05
Position 2868: 2.4032288375880168e-05
Position 2168: 2.3643102459217262e-05
Position 1559: 2.3549129261909066e-05
Position 138: 2.2373652764671534e-05
Position 1189: 2.2075550498750224e-05
Position 2746: 2.142134467201939e-05
Position 2586: 2.1313482808460682e-05
Position 1056: 1.5330843768005214e-05
Position 922: 1.30903418083311e-05
Position 1901: 1.078108865465452e-05
Position 2321: 1.00319440537792e-05
Position 2589: 9.667933243494298e-06
Position 1022: 9.486047642394897e-06
Position 1210: 8.993403212159474e-06
Position 2029: 8.588604632910754e-06
Position 1421: 8.300849317135535e-06
Position 2583: 8.286356573566682e-06
Position 116: 8.253714736874525e-06
Position 1178: 7.84217995425041e-06
Position 1405: 7.685134763018583e-06
Position 989: 7.555617723950987e-06
Position 1049: 6.585740813775203e-06
Position 1844: 6.409748375062391e-06
Position 1086: 5.937525815112119e-06
Position 408: 5.569109167315257e-06
Position 1497: 5.348009281515288e-06
Position 1643: 5.2309423332269586e-06
Position 1568: 5.107166105519193e-06
Position 2464: 4.969848701673119e-06
Position 1246: 4.500442753534723e-06
Position 2872: 4.399859111267237e-06
Position 2771: 3.9833995018862095e-06
Position 113: 3.4665204656736277e-06
Position 2372: 2.8363456802348487e-06
Position 1445: 2.7070185994725604e-06
Position 1487: 2.6788327397701096e-06
Position 2347: 2.5616349183713464e-06
Position 1401: 2.186691312431273e-06
Position 2611: 2.0771407626189975e-06
Position 504: 1.9572545173475685e-06
Position 717: 1.8691540591689961e-06
Position 1240: 1.7951984736272197e-06
Position 2198: 1.3469870659988377e-06
Position 1025: 1.242274037115092e-06
Position 1358: 1.1757749482919538e-06
Position 1767: 1.1603384784979442e-06
Position 1595: 1.0525906416914856e-06
Position 2774: 9.424590344094464e-07
Position 479: 9.168809328329254e-07
Position 2291: 7.448524260217638e-07
Position 507: 6.988337715594974e-07
Position 1797: 5.15392351988745e-07
Position 2304: 4.7345486916890655e-07
Position 2749: 4.509590487592779e-07
Position 1675: 3.8793717930420654e-07
Position 2031: 3.741494172661253e-07
Position 2598: 3.599448524023265e-07
Position 1148: 3.455768921330094e-07
Position 396: 3.3520663061384954e-07
Position 2420: 2.9018048328245227e-07
Position 1578: 2.531682172134096e-07
Position 2452: 2.3215685924768993e-07
Position 1169: 2.0799111738825433e-07
Position 1627: 1.9988771540619335e-07
Position 1907: 1.6846666583653453e-07
Position 2279: 1.4279720981788646e-07
Position 330: 1.4237340880543817e-07
Position 2039: 1.225312554035927e-07
Position 1196: 1.222207726243449e-07
Position 2341: 1.2170468444636604e-07
Position 1019: 1.1269599622069329e-07
Position 2405: 1.1249736878134846e-07
Position 1664: 1.0873209808751952e-07
Position 1017: 1.0838752182402534e-07
Position 1304: 1.0708131375008763e-07
Position 510: 1.0392130488578402e-07
Position 1034: 8.069847760486716e-08
Position 171: 6.595376880301082e-08
Position 1299: 5.310859211941432e-08
Position 2412: 4.336575329885498e-08
Position 201: 4.207424008512095e-08
Position 513: 3.9067124279666716e-08
Position 2471: 3.638942173837961e-08
Position 565: 3.531848907532772e-08
Position 516: 3.4907637728010204e-08
Position 1430: 2.9910548497006876e-08
Position 1364: 2.973278015081265e-08
Position 2601: 2.754009728199797e-08
Position 1407: 2.640079043200884e-08
Position 2020: 2.2913498825776233e-08
Position 1838: 2.118576567073255e-08
Position 482: 1.867973863005472e-08
Position 2403: 1.2814550191040274e-08
Position 1787: 1.062014802111981e-08
Position 574: 1.0130411598998963e-08
Position 2351: 9.99513688072838e-09
Position 1226: 8.232756275740747e-09
Position 153: 6.543768697142241e-09
Position 1459: 6.215877694816345e-09
Position 2779: 5.03725500298182e-09
Position 1153: 3.7591291867288604e-09
Position 485: 3.614566128083592e-09
Position 173: 3.6015171604969787e-09
Position 519: 2.0509422081702364e-09
Position 1409: 1.88521546287875e-09
Position 1032: 1.3749291565726058e-09
Position 192: 6.749237089276493e-10
Position 1653: 5.700984874608775e-10
Position 182: 4.922892783948713e-10
Position 1655: 3.532145145105049e-10
Position 522: 2.4755048082686707e-10
Position 2390: 2.0613631712074434e-10
Position 525: 1.4539642379547108e-10
Position 1758: 1.1127153925508385e-10
Position 144: 1.056770475150566e-10
Position 543: 3.1479154978872186e-11
Position 186: 8.250013528226266e-12
Position 1580: 5.505423166533988e-12
Position 1909: 5.420475497442871e-12
Position 1911: 3.96692250130577e-12
Position 546: 3.1603390761380524e-12
Position 2335: 1.0339599995437664e-12
Position 2408: 4.607946341293442e-13
