Gene = Pdxk
index = 1365
Annotated 5SS: [456 627]
Annotated 3SS: [526 692]
SMsplice 5SS: [456 627]
SMsplice 3SS: [526 692]
Partition function (log Z): -0.26865139383534387

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.998001818299375
Position 456: 0.7856129379588525
Position 140: 0.11300930380936612
Position 788: 0.06732561455071774
Position 435: 0.0465694367872678
Position 980: 0.017114476669597662
Position 835: 0.016153318270782677
Position 361: 0.0058626729446778205
Position 867: 0.005507382645222267
Position 423: 0.005300114119053189
Position 31: 0.002886091626863233
Position 632: 0.0017866258538178318
Position 1376: 0.0017091968317015215
Position 239: 0.0013446824105052457
Position 1468: 0.0013193388520673312
Position 387: 0.0012504533179239232
Position 172: 0.0011281539939087632
Position 13: 0.001083416178236477
Position 1046: 0.0010239686381295315
Position 858: 0.0008858435333298216
Position 258: 0.0008704713575937954
Position 74: 0.0008281688981082514
Position 1043: 0.0007451797559529043
Position 159: 0.0005990724812877969
Position 260: 0.0005804881520048917
Position 262: 0.00055521768030679
Position 264: 0.0004973365733407792
Position 266: 0.00036161952377768847
Position 736: 0.0002862415685151627
Position 901: 0.0002725429867312133
Position 1143: 0.0002513668005160836
Position 408: 0.00023268418181801405
Position 10: 0.00020543217822425336
Position 26: 0.0001809223679562912
Position 108: 0.0001803632185011036
Position 1018: 0.0001586414397362803
Position 411: 0.00014747293481669917
Position 28: 0.0001321934758860347
Position 186: 0.00012261667593161407
Position 1015: 9.821153546834543e-05
Position 48: 8.539423446388325e-05
Position 1157: 7.729799780304417e-05
Position 843: 6.565199696785003e-05
Position 839: 6.122476922380592e-05
Position 851: 5.961417917000852e-05
Position 1086: 5.7455540938030905e-05
Position 1029: 5.519923763231165e-05
Position 1059: 4.951644353414637e-05
Position 956: 3.700947226679762e-05
Position 1571: 3.499725538947192e-05
Position 833: 3.3222950611518716e-05
Position 1343: 2.609350173237845e-05
Position 1419: 1.9290094517425855e-05
Position 1527: 1.8502050754118393e-05
Position 775: 1.7274282316162426e-05
Position 270: 1.4947080732938195e-05
Position 998: 1.317367482598229e-05
Position 708: 1.1544226878981312e-05
Position 813: 9.982536812976471e-06
Position 268: 9.63105105643677e-06
Position 899: 8.567047696254572e-06
Position 1299: 8.001634760986625e-06
