Gene = Nplp2
index = 1328
Annotated 5SS: [268 477]
Annotated 3SS: [350 631]
SMsplice 5SS: [268 477]
SMsplice 3SS: [350 631]
Partition function (log Z): -3.2576951958331266

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.964103882226423
Position 477: 0.8524946280653718
Position 471: 0.02783216524337672
Position 773: 0.013211543841615108
Position 519: 0.012651100672789788
Position 576: 0.005565971298323384
Position 421: 0.004475064797492009
Position 725: 0.004138862173362097
Position 272: 0.00375617081865926
Position 791: 0.0022410358370662316
Position 28: 0.0013982785148984184
Position 529: 0.0005835728794947092
Position 152: 0.00044219730160711864
Position 728: 0.0003401860249394637
Position 126: 0.000314586407869636
Position 590: 0.00027955899853294297
Position 138: 0.00022075002319816306
Position 286: 0.00021578515579833915
Position 455: 0.0002070313087590028
Position 446: 0.00019697298917686955
Position 794: 0.00012528029628312297
Position 376: 0.00010615509954186919
Position 669: 7.369588084922696e-05
Position 512: 6.707922366722042e-05
Position 628: 5.518393225601457e-05
Position 539: 3.8875077702025684e-05
Position 633: 3.768763926188013e-05
Position 369: 3.0376037043802936e-05
Position 183: 2.9933893752414602e-05
Position 43: 1.438768622936678e-05
Position 169: 1.2352699133969726e-05
Position 261: 1.0232205668712412e-05
Position 141: 7.327231826210392e-06
Position 201: 7.193560044525692e-06
Position 252: 6.750341250181024e-06
Position 190: 5.719604384065332e-06
Position 161: 5.19081585838178e-06
Position 128: 3.76050035628054e-06
Position 359: 3.060584779404542e-06
Position 92: 2.9280526942841153e-06
Position 250: 7.761413860305332e-07
Position 350: 4.6642899649900536e-07
Position 175: 4.497407114282885e-07
Position 78: 4.2449304308038436e-07
Position 52: 3.280866387102952e-07
Position 131: 2.905912725349415e-07
Position 626: 2.2718291493053047e-07
Position 333: 2.1587732224995892e-07
Position 659: 1.7140044848403322e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.875123188788658
Position 631: 0.8729084241074158
Position 844: 0.047244445446076956
Position 318: 0.03430648965625062
Position 700: 0.025513454729446827
Position 664: 0.021542911728151717
Position 643: 0.006562269259153179
Position 590: 0.006168751749150278
Position 791: 0.0017678255157679774
Position 78: 0.0012186364254602568
Position 399: 0.0008908403310884601
Position 529: 0.0008200141224890568
Position 183: 0.0003051458574088281
Position 667: 0.0002965145185260179
Position 413: 0.00022811299466248512
Position 419: 0.00015110984616500698
Position 88: 5.3698513501701826e-05
Position 201: 3.99979384447814e-05
Position 320: 3.621075398248401e-05
Position 188: 3.028587441753623e-05
Position 380: 2.8402272384202955e-05
Position 190: 2.4993249262804966e-05
Position 446: 1.5715669786841256e-05
Position 299: 1.1341845255554308e-05
Position 544: 6.462469618055545e-06
Position 508: 4.861522309872617e-06
Position 231: 4.269678340367857e-06
Position 198: 3.887580675004989e-06
Position 519: 1.618330037600876e-06
Position 722: 1.2953504677157849e-06
Position 452: 1.2012892498099383e-06
Position 305: 1.087852948188036e-06
Position 707: 5.54164559305738e-07
Position 488: 4.989959962941336e-07
Position 149: 4.0080507541563327e-07
Position 286: 3.5793626708158113e-07
Position 272: 1.6977818596238087e-07
Position 161: 1.6418923779942766e-07
Position 141: 9.176493478390124e-08
Position 467: 8.093158236862357e-08
Position 470: 5.7968298801662814e-08
Position 169: 1.768446723234953e-08
Position 512: 3.7001995307324964e-09
Position 125: 6.300409742830238e-10
Position 476: 5.428857323757146e-10
Position 151: 3.8193840028586026e-10
Position 138: 1.438448665920673e-10
