Gene = WDR79
index = 1600
Annotated 5SS: [ 166  874 1121]
Annotated 3SS: [ 221  931 1179]
SMsplice 5SS: [ 166  874 1121]
SMsplice 3SS: [ 221  931 1179]
Partition function (log Z): 2.45424807568707

Sorted 5' Splice Sites (High to Low Probability):
Position 1121: 0.9993282314932674
Position 874: 0.9884646989684553
Position 166: 0.8150231728040372
Position 142: 0.013062480578413317
Position 689: 0.007777177626560754
Position 278: 0.00239314340926203
Position 1006: 0.001361779235986855
Position 1010: 0.0011130265782148578
Position 414: 0.0009092627474819859
Position 835: 0.000901141833360166
Position 1551: 0.0008454688995928421
Position 517: 0.0006542425746193935
Position 338: 0.0006248351871681042
Position 679: 0.0006116898904213886
Position 1423: 0.00046584027774431986
Position 479: 0.000245687951477255
Position 170: 0.00020729814987947043
Position 200: 0.00016164959382260248
Position 716: 0.00014764612146891067
Position 1574: 0.0001324293840133395
Position 601: 0.00011999626037454695
Position 695: 9.371517481599402e-05
Position 596: 7.690531596126087e-05
Position 577: 6.66007419716559e-05
Position 1472: 6.621202188992661e-05
Position 148: 6.30188206420961e-05
Position 794: 4.9286577247410376e-05
Position 1381: 4.151335608182784e-05
Position 878: 3.798038721479032e-05
Position 1029: 3.175394990968692e-05
Position 1506: 2.857678044304356e-05
Position 381: 2.8098707809309734e-05
Position 175: 2.3894954263410043e-05
Position 322: 2.201675899804598e-05
Position 1142: 2.0793755292291708e-05
Position 664: 1.8907777177880662e-05
Position 1441: 1.6833150861048554e-05
Position 1568: 1.605215786677963e-05
Position 131: 1.5424021957662813e-05
Position 299: 1.4796776380291301e-05
Position 1306: 1.4268656589664159e-05
Position 488: 1.4032773091781168e-05
Position 1607: 1.3894463891224842e-05
Position 1213: 1.3515042056053972e-05
Position 304: 1.3468117934654954e-05
Position 1323: 1.2887629543771262e-05
Position 1188: 1.0777240861659214e-05
Position 1410: 6.7492452751502405e-06
Position 1125: 6.085549545266072e-06
Position 21: 5.648847334429401e-06
Position 932: 5.645805348208821e-06
Position 485: 5.242553309374021e-06
Position 251: 5.181267060386487e-06
Position 1405: 4.5948004511848095e-06
Position 569: 3.4555183288837846e-06
Position 625: 3.411450658761334e-06
Position 1477: 3.3738178998632947e-06
Position 755: 2.5893232529864457e-06
Position 224: 2.187790813274577e-06
Position 8: 2.111620537604746e-06
Position 968: 1.8827776831714404e-06
Position 1490: 1.7960753001217627e-06
Position 830: 1.6324976013387896e-06
Position 395: 1.510868411333748e-06
Position 372: 1.5095985323693228e-06
Position 123: 1.448240087982239e-06
Position 1020: 1.4406666764309567e-06
Position 732: 1.1835060428072246e-06
Position 818: 7.882391387313865e-07
Position 53: 6.272151051353622e-07
Position 1396: 6.222218310216249e-07
Position 787: 5.565820492985761e-07
Position 82: 5.513393599699661e-07
Position 416: 5.2780317211322e-07
Position 1176: 3.7220703356816763e-07
Position 800: 3.45178280303525e-07
Position 1640: 2.6070969674870975e-07
Position 985: 1.196019471340091e-07
Position 1724: 8.739436191520776e-08
