Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
Partition function (log Z): -5.110762276141047

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9998106244229598
Position 78: 0.0020935440055206535
Position 88: 0.0017294039464316744
Position 732: 0.0006289085443628019
Position 747: 0.0003235611088044734
Position 702: 0.00019804336397321475
Position 559: 6.372043101990802e-05
Position 264: 4.565165457201813e-05
Position 665: 4.4298688784992145e-05
Position 52: 3.560285647113584e-05
Position 468: 2.9358180729976733e-05
Position 9: 2.55426770011027e-05
Position 382: 1.6388220937049217e-05
Position 371: 1.0844529408241876e-05
Position 545: 1.080920251185596e-05
Position 267: 9.042473970304816e-06
Position 512: 7.61869172840498e-06
Position 594: 6.9599380799203155e-06
Position 647: 4.769789759453882e-06
Position 821: 4.133662518095688e-06
Position 4: 3.4798156918896505e-06
Position 619: 2.984364579143511e-06
Position 57: 2.4303562913863296e-06
Position 799: 1.9617929329093773e-06
Position 412: 1.714321632123621e-06
Position 835: 1.077289169252093e-06
Position 673: 9.694351849603638e-07
Position 495: 7.976861656044186e-07
Position 308: 6.048504475674781e-07
Position 718: 4.108793306801312e-07
Position 373: 1.731955611559549e-07
Position 645: 1.0416524738495783e-07
Position 106: 9.409209396030079e-08
Position 533: 7.449725039813029e-08
Position 140: 5.100319432342019e-08
Position 120: 3.4508410840897105e-08
Position 679: 1.6567481837758764e-08
Position 841: 1.2868505389709617e-10
Position 848: 7.47177927045143e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9976860499405524
Position 159: 0.0036274027817208955
Position 812: 0.0010242775552795052
Position 507: 0.000855846295498778
Position 611: 0.00046232548953251444
Position 834: 0.00033552007500662565
Position 492: 0.00022937390157418437
Position 462: 0.00020056795491461032
Position 684: 0.0001337368969403086
Position 728: 0.00011863092227646561
Position 334: 0.00010041763650666599
Position 518: 8.761549192000272e-05
Position 864: 6.203882089419813e-05
Position 242: 4.623175985047735e-05
Position 308: 3.193370506764186e-05
Position 640: 2.008878292695997e-05
Position 626: 1.710637966141675e-05
Position 87: 1.5768972467123923e-05
Position 594: 1.0773305854199018e-05
Position 78: 7.082062166655978e-06
Position 636: 5.944353649392719e-06
Position 278: 5.53815117204549e-06
Position 881: 5.4737897978745845e-06
Position 183: 5.136176259318603e-06
Position 349: 3.893614955504416e-06
Position 868: 3.6873914505755633e-06
Position 654: 3.3495288693810745e-06
Position 688: 1.6289093469890283e-06
Position 294: 1.2327452470738759e-06
Position 743: 1.2207122417754365e-06
Position 382: 9.205264166554436e-07
Position 616: 9.003403639696938e-07
Position 582: 8.903459514868772e-07
Position 218: 7.802183483047683e-07
Position 199: 5.438673967662484e-07
Position 286: 5.036864570320835e-07
Position 759: 3.393927605335795e-07
Position 765: 3.0930100629706324e-07
Position 762: 1.9444582314962147e-07
Position 313: 1.592397513597143e-07
Position 591: 1.2262286018867526e-07
Position 891: 6.314580872676522e-08
Position 768: 4.2137632268798096e-08
Position 732: 3.056004639867732e-08
Position 192: 2.746482057647243e-08
Position 848: 2.1619994745033136e-08
Position 656: 2.1382702977730155e-08
Position 248: 1.5232477152297854e-08
Position 264: 1.3379133135970367e-08
Position 403: 6.780491471124056e-09
Position 336: 1.5813128564304114e-09
Position 771: 1.569527213250159e-09
Position 747: 1.0661943318506792e-09
Position 253: 6.195504361045965e-10
Position 205: 2.518806734366658e-10
Position 392: 2.451080045059831e-10
Position 364: 1.3528216912668949e-10
Position 167: 8.157705350582312e-11
Position 775: 2.0896244276424776e-12
