Gene = Cyp316a1
index = 1116
Annotated 5SS: [ 157  636 1235]
Annotated 3SS: [ 205  695 1291]
SMsplice 5SS: [ 157  636 1235]
SMsplice 3SS: [ 216  695 1291]
Partition function (log Z): -1.3446874438238807

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.9818821739381409
Position 636: 0.8651568481576208
Position 1235: 0.7805711114671942
Position 553: 0.08674481552804934
Position 947: 0.015317879220969489
Position 998: 0.01414978044962419
Position 1195: 0.013318426339448979
Position 1239: 0.012372486831312129
Position 640: 0.010160924081312812
Position 875: 0.006978771949469627
Position 245: 0.004158725745192305
Position 1011: 0.003917346411544578
Position 848: 0.0026884339964728236
Position 532: 0.002662725758739294
Position 392: 0.0026495276886110094
Position 580: 0.0025639385813932196
Position 1048: 0.0010748996417658545
Position 546: 0.0009426993811007488
Position 785: 0.0009086636916644645
Position 1552: 0.0005263454771146693
Position 1476: 0.0004091552096266747
Position 396: 0.00040017458943175427
Position 1303: 0.00035497967811470003
Position 650: 0.00028402167165069656
Position 608: 0.0002814495157634194
Position 1372: 0.0001899647298916108
Position 161: 0.00017079287620768712
Position 74: 0.00016195596814099357
Position 1259: 0.00015154929203630582
Position 434: 0.00010124487325925992
Position 422: 7.883278814003016e-05
Position 1328: 6.577608867844713e-05
Position 615: 5.009735608993015e-05
Position 1201: 4.7331726857174504e-05
Position 1451: 4.03745045020367e-05
Position 1083: 3.808977545755058e-05
Position 1037: 3.485373707378949e-05
Position 1531: 3.350704389397591e-05
Position 373: 2.9913878930385575e-05
Position 1255: 2.7690770757705344e-05
Position 596: 2.2761775499659756e-05
Position 1085: 2.2505542612035496e-05
Position 462: 2.200974464203561e-05
Position 1178: 1.5749355500646195e-05
Position 735: 1.177791722218699e-05
Position 565: 1.0461505040120256e-05
Position 557: 9.82661298001896e-06
Position 980: 8.900948857055223e-06
Position 534: 8.762715702995788e-06
Position 719: 8.075664089885525e-06
Position 265: 7.71402914304936e-06
Position 1072: 6.480274378310851e-06
Position 1445: 6.256872147646515e-06
Position 476: 5.9177431268196755e-06
Position 593: 5.813257933324074e-06
Position 1025: 4.87864797781916e-06
Position 1503: 3.7411882575152204e-06
Position 1095: 3.3806231100320234e-06
Position 764: 2.6862336886548344e-06
Position 382: 2.274170304354804e-06
Position 431: 2.0309894960650027e-06
