Gene = ORMDL
index = 1340
Annotated 5SS: [257 465]
Annotated 3SS: [312 681]
SMsplice 5SS: [257 465]
SMsplice 3SS: [312 681]
Partition function (log Z): -0.113201089579137

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.985453768645558
Position 465: 0.5622304014794579
Position 500: 0.42651779231630094
Position 20: 0.018770140694726073
Position 823: 0.011484399077513485
Position 622: 0.004188918369740987
Position 469: 0.002476084251327749
Position 415: 0.0024006587975367115
Position 617: 0.001250083752908865
Position 477: 0.00031005755475265324
Position 283: 0.00027433499834349603
Position 811: 0.00026283710684219127
Position 438: 0.0002561132483430489
Position 486: 0.00020391055739343977
Position 8: 0.00013041953252111892
Position 504: 8.751651287467103e-05
Position 460: 8.463132140065764e-05
Position 63: 5.9254967867980896e-05
Position 175: 4.6320651614947774e-05
Position 135: 2.3581433946392614e-05
Position 179: 2.233660944829048e-05
Position 572: 1.97816706793404e-05
Position 209: 1.774712793213256e-05
Position 595: 1.0396501087985372e-05
Position 261: 8.207544687793063e-06
Position 788: 4.911091982122621e-06
Position 383: 4.058849212558762e-06
Position 603: 1.675485816991298e-06
Position 46: 1.2825397061890853e-06
Position 562: 8.81983504282172e-07
Position 200: 5.318990487157477e-07
Position 451: 2.546451662573727e-07
Position 37: 2.212759049278621e-07
Position 48: 1.879922149800481e-07
Position 796: 1.800809544415518e-07
Position 554: 1.4853735080434384e-07
Position 275: 1.1846327383805643e-07
Position 778: 1.0928929760297618e-07
Position 321: 7.984227263573455e-08
Position 696: 6.708783253943154e-08
Position 287: 5.5979205714843494e-08
Position 700: 5.11422744253398e-08
Position 749: 1.1645110742949985e-08
Position 85: 6.466443992944943e-09
Position 334: 5.1972999554714265e-09
Position 752: 1.1558199215544007e-09
Position 681: 6.923739821710066e-10
Position 755: 3.4289634560549034e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.9825221783529334
Position 681: 0.9600761307644894
Position 603: 0.0275894943463244
Position 75: 0.013841009489259936
Position 888: 0.011849121005047003
Position 651: 0.00982203941183889
Position 62: 0.00456381875364103
Position 342: 0.003188498026831452
Position 572: 0.001136276779189432
Position 536: 0.0009999652412256393
Position 769: 0.0005391454513218747
Position 200: 9.990659887366384e-05
Position 123: 9.340448611069028e-05
Position 617: 8.661231895281787e-05
Position 213: 6.896159236246114e-05
Position 778: 6.791214999368679e-05
Position 155: 2.6198079706314837e-05
Position 366: 1.3261370212096209e-05
Position 817: 4.427753186858108e-06
Position 257: 4.180856186318085e-06
Position 469: 3.5537083163970455e-06
Position 402: 2.4248534646022324e-06
Position 377: 2.0246663547864493e-06
Position 811: 1.6794356428592767e-06
Position 420: 8.742565247842289e-07
Position 448: 4.967579403843773e-07
Position 486: 3.241965293343845e-07
Position 499: 3.088772347413225e-07
Position 98: 1.2293563963266264e-07
Position 135: 9.085705129582987e-08
Position 359: 6.803173891454052e-08
Position 109: 1.5275439896310052e-08
Position 280: 7.307852506598201e-09
Position 438: 1.8977279122067506e-09
Position 261: 3.978047133605e-10
Position 827: 6.563376364038594e-11
Position 287: 5.404015361609683e-11
Position 283: 7.146056906470376e-12
