Gene = ScpX
index = 1477
Annotated 5SS: [ 158  818 1068 2016]
Annotated 3SS: [ 493  876 1131 2075]
SMsplice 5SS: [ 158  818 1068 2016]
SMsplice 3SS: [ 493  876 1131 2075]
Partition function (log Z): 2.992195419655399

Sorted 5' Splice Sites (High to Low Probability):
Position 818: 0.9971409749434642
Position 1068: 0.9878121791349502
Position 2016: 0.9222153603093283
Position 158: 0.5115747448745693
Position 2321: 0.07058080617428021
Position 2297: 0.035665536982739623
Position 130: 0.024527328310163264
Position 236: 0.019479897000450594
Position 2311: 0.014427024716532835
Position 1967: 0.013210741720914392
Position 306: 0.010656420779495055
Position 1422: 0.010568235295655808
Position 1310: 0.0060390031962377
Position 1907: 0.0052430349112311285
Position 1271: 0.0038524813691555096
Position 659: 0.0035341327292040038
Position 999: 0.0034141591654525245
Position 1570: 0.0024240415812566305
Position 1074: 0.0023615047519351005
Position 1688: 0.002017118627754335
Position 160: 0.00177462303957029
Position 1841: 0.001067748862374139
Position 1426: 0.0006733997083227142
Position 141: 0.000671455969212093
Position 76: 0.0006456716641232572
Position 49: 0.0006170639827303028
Position 1448: 0.0005883183328722965
Position 440: 0.00043909306921545037
Position 459: 0.00040423471949990964
Position 1931: 0.00037861557119742335
Position 1492: 0.00036318324754934457
Position 126: 0.0003619418766645849
Position 2279: 0.00034920137957541536
Position 1187: 0.00018652964208908828
Position 137: 0.0001651241081739917
Position 1824: 0.00016394365945060689
Position 583: 0.00015354691877341462
Position 1959: 0.00015177714379098766
Position 1593: 0.00012241254499293622
Position 923: 9.607304173695142e-05
Position 134: 8.35483332138971e-05
Position 1563: 7.453409263497264e-05
Position 2082: 6.484930183627058e-05
Position 1057: 6.156670772808619e-05
Position 1629: 5.683157948600942e-05
Position 70: 5.68224105074024e-05
Position 1702: 5.5374442729418416e-05
Position 1407: 5.4937134253966166e-05
Position 798: 5.3415614293218936e-05
Position 143: 4.6785261039192175e-05
Position 1787: 4.555963626880704e-05
Position 1784: 4.417788395973132e-05
Position 1731: 3.519553233978998e-05
Position 1734: 2.6424789544178277e-05
Position 1577: 2.1689027900435887e-05
Position 680: 1.9156998974006545e-05
Position 1275: 1.7763069742952007e-05
Position 1641: 1.614616610751348e-05
Position 1339: 1.5797134973846053e-05
Position 1590: 1.3814683608461456e-05
Position 164: 1.3796087391748014e-05
Position 1753: 1.2655854865897553e-05
Position 1411: 1.1035429311504105e-05
Position 689: 1.100115941143341e-05
Position 2057: 1.0513399140586636e-05
Position 724: 1.0280148583966604e-05
Position 1587: 9.261926419014984e-06
Position 102: 9.241676798618796e-06
Position 1742: 8.241654993376075e-06
Position 1329: 7.21008260662961e-06
Position 73: 7.163496773264945e-06
Position 162: 6.318592837634477e-06
Position 2062: 6.082133323009149e-06
Position 1483: 5.1175675383619504e-06
Position 808: 4.7231713356867665e-06
Position 1574: 4.712056073819846e-06
Position 1301: 4.479274083768495e-06
Position 1534: 4.2815685548886865e-06
Position 115: 3.99295987817953e-06
Position 1218: 3.849999154685656e-06
Position 593: 3.8234650993154686e-06
Position 2055: 3.8101005178172295e-06
Position 1764: 3.556629742104827e-06
Position 521: 3.1349683630800897e-06
Position 1510: 3.1121118216294656e-06
Position 402: 3.0541860594126044e-06
Position 1745: 2.424315193169944e-06
Position 1665: 2.3628365021272575e-06
Position 617: 1.6014010351803258e-06
Position 493: 1.5336379813555682e-06
Position 743: 1.3291797834654069e-06
Position 2114: 1.2465216409735737e-06
