Gene = nSMase
index = 1812
Annotated 5SS: [189]
Annotated 3SS: [274]
SMsplice 5SS: [189]
SMsplice 3SS: [274]
Partition function (log Z): -8.313236010636015

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.9767260276812824
Position 109: 0.019394197365029186
Position 474: 0.017897540657055965
Position 1544: 0.0033682223738552225
Position 485: 0.0033348887839811828
Position 644: 0.002266394696121041
Position 372: 0.0020995880843160614
Position 574: 0.0009453658848453123
Position 347: 0.000894571680623191
Position 518: 0.0008823222992100911
Position 284: 0.0007670357103759563
Position 907: 0.0005908526849188985
Position 1098: 0.0005141718507354215
Position 522: 0.0004969339570894978
Position 948: 0.00041243916610372557
Position 1110: 0.00040872716749525096
Position 466: 0.0003785869707263534
Position 1072: 0.000377080013700908
Position 1143: 0.0003705208358509149
Position 930: 0.00034639738944210863
Position 665: 0.0003142566263704871
Position 792: 0.0002909132828530559
Position 1521: 0.00028231867519371966
Position 612: 0.00022869629005813644
Position 681: 0.00017913310958484277
Position 1569: 0.00013335692471024398
Position 1120: 0.00010740244639035824
Position 72: 6.636328803736859e-05
Position 1550: 6.554124832868459e-05
Position 123: 5.946432109182057e-05
Position 35: 5.28015656135011e-05
Position 1678: 4.961977070791267e-05
Position 453: 4.8456986186891134e-05
Position 1134: 4.7961091588402956e-05
Position 1283: 4.397001584799996e-05
Position 541: 3.459613099448267e-05
Position 1349: 3.250517485321001e-05
Position 142: 2.59634769750414e-05
Position 27: 2.2317695130720502e-05
Position 374: 2.1813754750694895e-05
Position 1613: 1.5369773971448283e-05
Position 1645: 1.4477651295536795e-05
Position 1049: 1.4201453960795212e-05
Position 1606: 1.3458392394301214e-05
Position 560: 1.241343289645847e-05
Position 98: 1.0928755674011946e-05
Position 913: 1.0749555467612102e-05
Position 479: 1.0603096443635437e-05
Position 1325: 9.848169036100987e-06
Position 1421: 9.09317171197916e-06
Position 515: 8.041964975826741e-06
Position 1608: 7.717110107108236e-06
Position 1181: 6.484354487027993e-06
Position 1032: 5.701331967071629e-06
Position 1430: 5.297324366307547e-06
Position 1634: 5.122788670563297e-06
Position 934: 4.901771949550892e-06
Position 1437: 4.422038986954043e-06
Position 295: 3.718121076523808e-06
Position 1371: 3.5252772780019527e-06
Position 576: 3.378320826899536e-06
Position 506: 3.303525698647824e-06
Position 420: 2.7552280327405566e-06
Position 597: 2.6363212831949424e-06
Position 150: 2.4719558261931293e-06
Position 1452: 1.7760791484068608e-06
Position 1389: 1.7683606590216559e-06
Position 993: 1.7507676293084935e-06
Position 1428: 1.6782716273196524e-06
Position 1511: 1.5054965989267292e-06
Position 937: 1.4432431777378498e-06
Position 1567: 1.2784966234969441e-06
Position 1304: 1.0404037042511632e-06
Position 1362: 1.0144068197686145e-06
Position 1676: 1.0068203582771015e-06
Position 1684: 7.999612858450528e-07
Position 263: 6.958275274303199e-07
Position 1445: 6.909403938360091e-07
Position 1129: 5.526790557095065e-07
Position 357: 3.851796748085635e-07
Position 1376: 2.900850261270202e-07
Position 359: 2.822200304623777e-07
Position 584: 2.6761043985245793e-07
Position 288: 2.0469311702536625e-07
Position 1494: 1.0691844047614577e-07
Position 1083: 6.21020432349427e-08
Position 290: 3.9864517290183404e-08
Position 1353: 2.2400333393862544e-08
Position 1701: 7.080297781612032e-09
Position 1711: 1.9407241452720823e-10
Position 1713: 4.900771819544842e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.9323818198502141
Position 253: 0.05110849832240529
Position 548: 0.013726328790750251
Position 304: 0.005172958667280341
Position 1733: 0.004645896778551823
Position 717: 0.004021247696123813
Position 368: 0.002874962734676568
Position 1304: 0.002677721905280385
Position 1611: 0.00225677245039613
Position 743: 0.0019703450352011806
Position 1333: 0.0018374671363818814
Position 689: 0.0014441548585386866
Position 1502: 0.0012220816029604514
Position 448: 0.0012171734123685718
Position 1252: 0.0010902378895064442
Position 963: 0.0007758815529317431
Position 573: 0.0006994402067543368
Position 1272: 0.0006875409291194626
Position 776: 0.0006531603224572964
Position 1421: 0.0004656142706381781
Position 724: 0.0004047258694760381
Position 608: 0.00037423792915411533
Position 433: 0.00028707799770120133
Position 1167: 0.0002715554134547963
Position 812: 0.00027035815125321514
Position 791: 0.00020864423832452607
Position 407: 0.00017378735181370508
Position 823: 0.0001729811425969623
Position 1645: 0.0001640800834733481
Position 881: 0.00014572793670293875
Position 1146: 0.00013047924815180688
Position 371: 0.0001230610903012628
Position 1138: 0.00011797749329496321
Position 332: 0.0001176787769149023
Position 1012: 0.0001163361384429018
Position 329: 9.018691044426212e-05
Position 162: 8.17924716600243e-05
Position 1028: 7.659618858148438e-05
Position 1196: 7.264113293640541e-05
Position 1577: 6.551643321270552e-05
Position 644: 5.261490474523312e-05
Position 1742: 4.734384601585611e-05
Position 198: 4.5008439850153526e-05
Position 1753: 4.172873687583134e-05
Position 770: 3.396666123995325e-05
Position 1643: 3.3292248046367665e-05
Position 1202: 3.068376469408681e-05
Position 1625: 1.1332990927778498e-05
Position 1058: 9.66121457117528e-06
Position 885: 9.43857302634246e-06
Position 1149: 7.543702119441279e-06
Position 1541: 6.770582430118506e-06
Position 113: 6.232406404075913e-06
Position 485: 6.164020141985703e-06
Position 1069: 6.1536410762459845e-06
Position 1574: 4.5327644513659385e-06
Position 1544: 4.390151835789948e-06
Position 1170: 4.0572779241185e-06
Position 213: 3.5495001762945916e-06
Position 1651: 3.498870221974024e-06
Position 142: 2.554488952342124e-06
Position 989: 2.5086345481678357e-06
Position 1113: 2.4683806663623314e-06
Position 1152: 2.342588358992638e-06
Position 1072: 2.1494732917575263e-06
Position 1219: 1.7651741350477838e-06
Position 1508: 1.6547549210678076e-06
Position 139: 1.3414187678007453e-06
Position 295: 1.302702110644215e-06
Position 671: 1.2715421047818134e-06
Position 1043: 9.75709040532701e-07
Position 1181: 8.99981349345886e-07
Position 1622: 8.428476016945404e-07
Position 1511: 8.12509478280486e-07
Position 1143: 7.466081397447903e-07
Position 665: 5.634772329015527e-07
Position 993: 4.684323191065252e-07
Position 416: 4.647779126995599e-07
Position 1550: 2.5727855655213095e-07
Position 340: 1.4631009699949154e-07
Position 72: 1.2759723418665327e-07
Position 959: 7.42699360408424e-08
Position 1049: 5.163933376466996e-08
Position 1376: 2.5141368611977203e-08
Position 391: 2.2494245636201128e-08
Position 347: 1.776465028759596e-08
Position 193: 1.2292620134589189e-08
Position 1097: 9.532953164762663e-09
Position 1757: 4.7876962501087755e-09
Position 1083: 4.0454215982304964e-09
Position 1582: 3.3867670096458794e-09
Position 384: 1.8364341865198056e-09
Position 893: 1.4348512963635013e-09
Position 1115: 1.1635565098311365e-09
Position 223: 8.660733159626128e-10
Position 386: 5.05293329710242e-10
Position 1076: 4.989086927453612e-10
Position 1172: 4.321946442648122e-10
Position 395: 3.8957656788242175e-10
Position 1520: 9.130335142391962e-11
Position 1004: 8.812089071685293e-11
Position 1079: 4.317828343442064e-11
Position 195: 1.5269565545921078e-11
Position 1563: 9.323650628523009e-12
Position 895: 8.150009443687703e-13
