Gene = Max
index = 1270
Annotated 5SS: [ 204  345  768 1101]
Annotated 3SS: [ 278  659  976 1165]
SMsplice 5SS: [ 204  768 1101]
SMsplice 3SS: [ 278  976 1165]
Partition function (log Z): 3.1416821954454917

Sorted 5' Splice Sites (High to Low Probability):
Position 1101: 0.9781458874489612
Position 204: 0.9308951916759493
Position 768: 0.7595883122962009
Position 345: 0.4404678076236875
Position 788: 0.19424060899669673
Position 25: 0.09641651400968466
Position 487: 0.04983903215259095
Position 215: 0.025749095871489155
Position 449: 0.019025224775103884
Position 840: 0.014767108589987804
Position 371: 0.014018285586655181
Position 1122: 0.008688765460292439
Position 235: 0.006008346797706241
Position 199: 0.005890151315738877
Position 1582: 0.003792390714740752
Position 1537: 0.0034739981398993597
Position 1471: 0.0034686436553198067
Position 468: 0.0024493199457342255
Position 1641: 0.0017986584908003722
Position 736: 0.001348697483976415
Position 51: 0.0009482484889558095
Position 611: 0.00085699931075807
Position 589: 0.0008340605162737829
Position 1271: 0.0007176111591864764
Position 744: 0.0005790160406700318
Position 1576: 0.0005306724616571212
Position 919: 0.00048220118069415834
Position 424: 0.00043430178582389234
Position 1437: 0.0004084403504869172
Position 426: 0.0004041458486946798
Position 163: 0.00038803772348512786
Position 844: 0.0003597771127385194
Position 1327: 0.00033686616740363876
Position 429: 0.0003072173572155184
Position 1404: 0.0002757599472916026
Position 921: 0.0002482614855142258
Position 15: 0.00023810478905958115
Position 403: 0.00015840522539491784
Position 578: 0.00014791352793547748
Position 1820: 0.00014090110613059346
Position 1452: 0.0001403903191469452
Position 1550: 0.00013742795282886079
Position 149: 0.00011151147328639774
Position 1633: 9.408095741491106e-05
Position 830: 9.261692966856004e-05
Position 553: 5.7251603598698514e-05
Position 438: 5.61993162181694e-05
Position 1510: 4.906308568891485e-05
Position 1356: 4.7824540082675564e-05
Position 1503: 4.744326056689638e-05
Position 871: 3.647365943163251e-05
Position 1383: 3.43389453665356e-05
Position 1726: 3.2008122845224596e-05
Position 1392: 2.685102912598985e-05
Position 1344: 2.5217999006472774e-05
Position 1440: 2.491805225377061e-05
Position 432: 2.2091876678970767e-05
Position 648: 1.404862146469806e-05
Position 1041: 1.30463499967173e-05
Position 1645: 7.480833576832793e-06
Position 1617: 7.230883029928929e-06
Position 1225: 6.414859657702703e-06
Position 1409: 6.1953907759765715e-06
Position 1342: 6.099184896542852e-06
Position 3: 4.4641334126579056e-06
Position 1407: 3.945650946686969e-06
Position 1586: 3.037232834557204e-06
Position 1488: 2.6004772173805746e-06
Position 239: 2.1983810110409954e-06
Position 237: 2.1145331313601197e-06
Position 95: 1.916760419146544e-06
Position 940: 1.427790793642356e-06
Position 1752: 1.0596980393859363e-06
Position 943: 7.360412971675206e-07
Position 1735: 6.357589060065543e-07
Position 1678: 9.645251465998124e-08
Position 1197: 8.290971331561264e-08
Position 950: 6.734118869991434e-08
Position 1609: 4.1113392261216045e-08
Position 652: 2.313291539391712e-08
Position 1181: 1.723127783929386e-08
Position 138: 1.1612964992176585e-08
Position 1165: 1.1299642115235306e-08
Position 981: 5.689083177740396e-09
Position 970: 6.139859298736464e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 976: 0.9977153601417196
Position 1165: 0.9829412376142442
Position 278: 0.8267998944778983
Position 659: 0.5153907092343002
Position 444: 0.0618924353266084
Position 95: 0.0600667734998913
Position 281: 0.044922102327264714
Position 109: 0.030019385643187395
Position 414: 0.020245579499085554
Position 1658: 0.007146908217568483
Position 1534: 0.004324797011337384
Position 1171: 0.0035526685636134182
Position 668: 0.0032282482226899975
Position 1791: 0.0019391347265160447
Position 569: 0.0018590983232830646
Position 149: 0.0017196059203672424
Position 697: 0.0011034525090484484
Position 344: 0.001078358029910273
Position 1339: 0.0006645762635013332
Position 1626: 0.0005945172457336832
Position 1668: 0.00035411954937645136
Position 1890: 0.00032187298046633227
Position 506: 0.0003180156482349066
Position 1392: 0.0002486009983144002
Position 1021: 0.00020928248898025373
Position 1214: 0.00017584169393850582
Position 1471: 0.00016167457418507427
Position 1197: 0.0001463118923242882
Position 1145: 0.00012791708055526844
Position 154: 0.00011873532708911959
Position 1769: 8.902900001163416e-05
Position 463: 8.455726668579459e-05
Position 1003: 5.1771437790826055e-05
Position 1900: 4.0903323667487355e-05
Position 1749: 4.023401282434985e-05
Position 1752: 3.692626575693977e-05
Position 1202: 3.4895917043141745e-05
Position 1820: 2.5555431329185942e-05
Position 881: 2.4895177009299055e-05
Position 466: 2.3857161396703875e-05
Position 840: 2.1362428475316317e-05
Position 1807: 2.0977808537194678e-05
Position 1426: 1.6972294686496857e-05
Position 981: 1.2466922707502729e-05
Position 929: 1.1022085684733352e-05
Position 1503: 7.515092351029233e-06
Position 1641: 7.117424049219845e-06
Position 1327: 7.004798757707055e-06
Position 1735: 6.7986009285191494e-06
Position 1420: 5.567626663582187e-06
Position 830: 4.886862960323341e-06
Position 943: 4.511902430558651e-06
Position 1906: 3.76680785353825e-06
Position 381: 2.563613923491274e-06
Position 1633: 2.545693513623747e-06
Position 1308: 2.1236167912076123e-06
Position 1445: 2.04793124894758e-06
Position 716: 1.4931501665708045e-06
Position 1029: 1.1070821849204632e-06
Position 1437: 1.036033669639962e-06
Position 1726: 1.017690728828425e-06
Position 719: 8.660136496323763e-07
Position 817: 8.567218713878268e-07
Position 481: 6.7514172963615e-07
Position 1121: 5.03652138144356e-07
Position 1179: 4.664573192390577e-07
Position 940: 3.74703825206818e-07
Position 950: 3.7318881568621613e-07
Position 1645: 2.3139318357168735e-07
Position 475: 2.172458992273151e-07
Position 692: 1.3630207785406402e-07
Position 1541: 1.3123563629606605e-07
Position 468: 1.1545576691336634e-07
Position 1263: 1.13206332078984e-07
Position 1498: 1.0953648243356963e-07
Position 767: 7.877906196931517e-08
Position 189: 7.51820546697879e-08
Position 1287: 6.825979943198756e-08
Position 937: 5.8050776484155234e-08
Position 779: 5.179110690480183e-08
Position 1274: 5.12232894994294e-08
Position 1225: 5.007034177536429e-08
Position 1510: 4.215091025299686e-08
Position 1055: 3.461663399859584e-08
Position 212: 2.6533178067853024e-08
Position 1091: 2.5817173919095312e-08
Position 1293: 2.5580494201217957e-08
Position 163: 2.4062052371292195e-08
Position 740: 2.327853559825928e-08
Position 1404: 2.185281034321827e-08
Position 1051: 1.814766381499512e-08
Position 758: 1.782325261047959e-08
Position 1096: 1.2617873794134353e-08
Position 787: 1.1583502127966679e-08
Position 1041: 8.692759689699338e-09
Position 1064: 6.830194319815847e-09
Position 218: 5.921129539055702e-09
Position 199: 5.686092150500542e-09
Position 1271: 5.602855200463806e-09
Position 1221: 4.231950711197389e-09
Position 169: 4.095402184481889e-09
Position 1232: 3.981426438851092e-09
Position 1181: 3.750601195126096e-09
Position 1099: 3.24909889025151e-09
Position 776: 3.128880748695984e-09
Position 508: 2.7069642045691766e-09
Position 1239: 2.6171819557758362e-09
Position 1236: 2.378575259399819e-09
Position 796: 2.0006315537476224e-09
Position 986: 1.323846771700037e-09
Position 208: 9.401806017317284e-10
Position 1072: 5.195452335236792e-10
Position 1252: 5.165716137896784e-10
Position 1036: 3.3961932206706524e-10
Position 1074: 3.238060894555347e-11
Position 220: 2.162100883089121e-12
Position 371: 1.2131107692195291e-12
Position 1105: 1.6675703596138594e-13
Position 1101: 5.0097203337154476e-14
Position 1066: 4.5595941102788236e-14
Position 781: 2.815057217428382e-14
Position 721: 2.415761845941131e-14
