Gene = GMF
index = 1176
Annotated 5SS: [184 437 694]
Annotated 3SS: [342 502 748]
SMsplice 5SS: [184 437 694]
SMsplice 3SS: [342 502 748]
Partition function (log Z): 3.8531234983580345

Sorted 5' Splice Sites (High to Low Probability):
Position 694: 0.9969860367650115
Position 437: 0.9708928722116487
Position 184: 0.6096425505409816
Position 874: 0.09733387294942673
Position 131: 0.016076756202643
Position 456: 0.009323784600576824
Position 93: 0.008838327085811728
Position 882: 0.0067850838259752464
Position 282: 0.0066780265541700615
Position 178: 0.0033002864672272924
Position 285: 0.0025256104809456407
Position 67: 0.001808124408590982
Position 1168: 0.0013934037110225445
Position 202: 0.0011100190091252037
Position 700: 0.0011085287057249066
Position 193: 0.0010642731635863868
Position 618: 0.0009731887676635675
Position 660: 0.0005990167984207157
Position 1125: 0.0005575855347882384
Position 191: 0.0005192457249561376
Position 244: 0.0004697987226778216
Position 302: 0.0004324707552597409
Position 1114: 0.00030991349829472806
Position 1210: 0.00028141667968678986
Position 242: 0.00025463602446984453
Position 914: 0.0002545743038034267
Position 917: 0.00025052391529678167
Position 940: 0.00016099244941014622
Position 651: 0.0001317204038955753
Position 1219: 0.00010269427572667022
Position 800: 9.389440719057822e-05
Position 628: 7.90242420666814e-05
Position 1145: 6.992376117236966e-05
Position 16: 5.750996385622422e-05
Position 23: 5.507641086884542e-05
Position 134: 5.2802962380493826e-05
Position 766: 4.693465774656006e-05
Position 853: 4.097486756885e-05
Position 258: 3.5666549918782034e-05
Position 396: 3.115489262131392e-05
Position 264: 2.9486415246567758e-05
Position 250: 1.571949154770286e-05
Position 815: 1.4422377623736827e-05
Position 465: 8.740927675088593e-06
Position 562: 8.660957508890708e-06
Position 1189: 6.999276836350028e-06
Position 252: 6.699647276062975e-06
Position 450: 6.627551151820018e-06
Position 376: 2.8824481158636753e-06
Position 344: 2.4045593662406044e-06
Position 607: 2.066927447118137e-06
Position 1138: 2.0444845948670503e-06
Position 1154: 1.5728462742301125e-06
Position 1078: 9.653695037595682e-07
Position 11: 8.991895468731992e-07
Position 529: 3.6814099831515484e-07
Position 469: 2.3042064799884908e-07
Position 543: 1.4413050718100363e-07
Position 532: 1.2164471902355796e-07
Position 467: 2.1148837671410473e-08
Position 472: 6.571623257142059e-09
Position 508: 3.401285107583337e-09
Position 742: 6.713848091905581e-10
Position 502: 2.1147660770558934e-10
Position 492: 7.898370247905182e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9970530396791912
Position 748: 0.9266287210579544
Position 342: 0.5833023244689043
Position 1058: 0.09290450972173248
Position 760: 0.07256543075876294
Position 240: 0.03211451483128094
Position 354: 0.013282983244602056
Position 940: 0.008082422120529238
Position 1264: 0.005015297223507699
Position 292: 0.003809276011832742
Position 151: 0.0011928549031385044
Position 289: 0.0009367041033183781
Position 1078: 0.0006049235762275589
Position 1224: 0.0004636122940180201
Position 172: 0.00046326437053180203
Position 991: 0.0004281051160896834
Position 683: 0.00042803005989491084
Position 508: 0.00036767379828938355
Position 522: 0.00017506015534257406
Position 1183: 0.00015548157802057532
Position 368: 0.00014776438261625188
Position 1280: 0.00011884127751003856
Position 1073: 7.107834475162221e-05
Position 134: 5.987647870139357e-05
Position 87: 5.419560244576497e-05
Position 344: 3.98434159326137e-05
Position 1186: 3.6350034736400065e-05
Position 1036: 3.513379526021306e-05
Position 407: 3.253312522876985e-05
Position 200: 3.139110088966135e-05
Position 1114: 2.7939227094405314e-05
Position 1168: 2.778129741195492e-05
Position 519: 2.5726169831456363e-05
Position 472: 1.9880391024862832e-05
Position 376: 1.9302278592654397e-05
Position 1233: 1.6195011014353204e-05
Position 139: 1.463783328357123e-05
Position 793: 1.4467958571399085e-05
Position 781: 1.3463807612588263e-05
Position 924: 1.1696808869698625e-05
Position 1154: 8.908231675171797e-06
Position 187: 5.98826851913408e-06
Position 462: 5.567019704479185e-06
Position 242: 5.502594924788674e-06
Position 178: 5.045553098060283e-06
Position 384: 2.868147381074888e-06
Position 393: 2.4995242442613734e-06
Position 642: 1.9440069257981557e-06
Position 396: 1.8245152357762699e-06
Position 67: 1.349928592968959e-06
Position 1145: 1.3119367120076657e-06
Position 689: 1.0498378645747955e-06
Position 836: 9.804383947644234e-07
Position 191: 4.443577090633706e-07
Position 960: 3.842417485003303e-07
Position 93: 2.9285722487985455e-07
Position 803: 2.560067207511248e-07
Position 411: 1.8422581617991268e-07
Position 441: 1.4507898964315411e-07
Position 589: 1.2192194603828577e-07
Position 1125: 1.0534453459406894e-07
Position 413: 1.0099139312750243e-07
Position 877: 4.977167810308951e-08
Position 576: 3.587619577997259e-08
Position 597: 2.428539828104828e-08
Position 55: 2.2126020131551213e-08
Position 800: 2.030090424457357e-08
Position 1138: 5.7219007511752645e-09
Position 705: 5.250053655916352e-09
Position 863: 4.977594245700896e-09
Position 853: 4.533086213722904e-09
Position 570: 3.123448494517277e-09
Position 693: 2.7580236571414364e-09
Position 868: 2.225823111431056e-09
Position 823: 1.3376477146302152e-09
Position 850: 9.516027050461222e-10
Position 543: 1.9739925269667386e-10
Position 874: 1.655570911316295e-10
Position 881: 1.0246567613902776e-11
Position 700: 5.6507806539833135e-12
Position 783: 1.339333656067445e-12
Position 879: 8.553264348772693e-15
