Gene = mre11
index = 1794
Annotated 5SS: [ 317 1444 1664 2029]
Annotated 3SS: [ 368 1502 1718 2095]
SMsplice 5SS: [ 317 1664 2029]
SMsplice 3SS: [ 368 1718 2095]
Partition function (log Z): -3.715278388907492

Sorted 5' Splice Sites (High to Low Probability):
Position 1664: 0.958630667203699
Position 2029: 0.8732099627773767
Position 317: 0.8624822074071461
Position 1444: 0.28488334381886526
Position 271: 0.05883083035345193
Position 472: 0.035827235343542436
Position 782: 0.03400192045783217
Position 739: 0.03256481446269243
Position 1381: 0.022833196352498385
Position 2017: 0.020961544929494307
Position 1010: 0.015502724795899325
Position 1376: 0.014122004372726642
Position 826: 0.011213767452824305
Position 308: 0.010145047579794361
Position 819: 0.007358043977842337
Position 681: 0.00570650657942221
Position 468: 0.005607204386492062
Position 1157: 0.005552313544795315
Position 48: 0.0052006164661887
Position 1174: 0.004576428460488
Position 2038: 0.004455968362043345
Position 608: 0.004383542789196873
Position 901: 0.0038515235417292356
Position 1436: 0.003748598874091735
Position 2024: 0.003307074910185803
Position 1272: 0.0018079215217231797
Position 2021: 0.001754257464236751
Position 631: 0.0016102687012903944
Position 1320: 0.0015394757792901368
Position 1532: 0.0013399593213055333
Position 186: 0.001124861653956284
Position 1222: 0.0010060784219318626
Position 291: 0.0008470774515425375
Position 1973: 0.0006074717437560334
Position 595: 0.0006031435270905539
Position 1277: 0.00045717576400498036
Position 24: 0.00043669603826835716
Position 460: 0.000398523678883331
Position 239: 0.00038521398574562193
Position 30: 0.0003719228271774606
Position 1384: 0.00037031299668354936
Position 1659: 0.00023231137084365658
Position 744: 0.00022040979393418087
Position 1858: 0.00021703059555186244
Position 401: 0.00021186083489712428
Position 511: 0.00021100047897822498
Position 2011: 0.00021033965870430842
Position 1391: 0.00019291424160777692
Position 1366: 0.00018724582670140785
Position 554: 0.00017233202558460047
Position 1114: 0.00015207287885526239
Position 1090: 0.00015123261820350976
Position 1668: 0.00012094642055650342
Position 1580: 0.00011325378293184661
Position 1363: 0.00010130123461899098
Position 612: 7.615025645168631e-05
Position 1408: 7.209639826454276e-05
Position 1371: 6.350443975806409e-05
Position 988: 5.699691608803308e-05
Position 810: 5.611234395485228e-05
Position 129: 5.405550263400958e-05
Position 1238: 5.291262943075251e-05
Position 1117: 4.96452324145143e-05
Position 823: 4.496650236450066e-05
Position 763: 4.447581676248484e-05
Position 1332: 4.1138811262784637e-05
Position 1622: 4.1002074462497805e-05
Position 545: 3.746485454812919e-05
Position 1892: 3.386649293788176e-05
Position 563: 3.3397614649652734e-05
Position 1991: 3.270006001986339e-05
Position 237: 3.1000755780623565e-05
Position 63: 2.687310703480448e-05
