Gene = ppk14
index = 1844
Annotated 5SS: [ 200  842 1529]
Annotated 3SS: [ 252  939 1579]
SMsplice 5SS: [200 842]
SMsplice 3SS: [252 939]
Partition function (log Z): -6.673043738618254

Sorted 5' Splice Sites (High to Low Probability):
Position 842: 0.6744464775457045
Position 200: 0.6494036213632411
Position 1529: 0.4172860204586059
Position 193: 0.2445106598595427
Position 846: 0.03481264491567221
Position 1173: 0.00566433638697108
Position 1134: 0.0038899405183028526
Position 325: 0.003655085235974661
Position 1516: 0.0035603840106078295
Position 161: 0.0016880519991646842
Position 834: 0.0014839363866911287
Position 1115: 0.0010247679164933393
Position 451: 0.0008783125075225159
Position 1486: 0.0004407585960698949
Position 1342: 0.0004285000644777959
Position 430: 0.00031712789170155537
Position 516: 0.000250037173783723
Position 302: 0.0002460491920408651
Position 340: 0.00021509406512481584
Position 852: 0.00018317403817747798
Position 318: 0.00016291330743886654
Position 675: 0.00015094178196442036
Position 1459: 0.00014148113842839618
Position 398: 0.00013838252296758286
Position 963: 0.00013377264631258518
Position 966: 0.0001098953894638236
Position 1539: 9.493771329296708e-05
Position 1554: 8.313278834585946e-05
Position 395: 7.466554317344049e-05
Position 213: 6.907644408633995e-05
Position 1344: 5.7914286580199724e-05
Position 254: 5.155781910849778e-05
Position 624: 4.061000819024973e-05
Position 36: 3.890979435457062e-05
Position 602: 3.803372483707657e-05
Position 472: 3.522629801237531e-05
Position 1567: 3.5070153154196995e-05
Position 259: 3.2856075419512275e-05
Position 1179: 3.081300111670601e-05
Position 81: 2.6113409016599875e-05
Position 1368: 2.4083056216663553e-05
Position 1449: 1.7709183469220444e-05
Position 1161: 1.7470871330025398e-05
Position 961: 1.6945902371460358e-05
Position 949: 1.6936063070943713e-05
Position 33: 1.6934672656953762e-05
Position 985: 1.681343686538071e-05
Position 1015: 1.6436449753322838e-05
Position 1201: 1.5605437844559075e-05
Position 946: 1.516400394294981e-05
Position 353: 1.4871690933734304e-05
Position 1350: 1.0036822470769284e-05
Position 1552: 9.928471427458533e-06
Position 971: 8.325899130417097e-06
Position 661: 8.165434909022341e-06
Position 616: 7.747883924309543e-06
Position 1400: 7.057096708106529e-06
Position 1024: 6.5124995892530045e-06
Position 988: 4.7326021609782735e-06
Position 1238: 4.3082459648855585e-06
Position 522: 3.5768787088506475e-06
Position 562: 3.2675208668523876e-06
Position 1318: 3.048369717841605e-06
Position 1209: 2.272952184297855e-06
Position 1067: 1.948327699254865e-06
Position 1332: 1.939446779529445e-06
Position 1402: 1.7207966880765923e-06
Position 6: 1.1805103030620716e-06
