Gene = ND-B17
index = 1300
Annotated 5SS: [357 529]
Annotated 3SS: [ 426 1226]
SMsplice 5SS: [357 529]
SMsplice 3SS: [ 426 1226]
Partition function (log Z): 1.562688618555147

Sorted 5' Splice Sites (High to Low Probability):
Position 357: 0.9863989489178958
Position 529: 0.9793078125112639
Position 891: 0.1822120410747642
Position 862: 0.06676750820530071
Position 1424: 0.008721762051138744
Position 533: 0.008170462017139783
Position 370: 0.006803754570856951
Position 878: 0.0031236670718899798
Position 772: 0.002999944056860954
Position 330: 0.0022773749948778823
Position 516: 0.002099177421087074
Position 624: 0.0016763939379786125
Position 1027: 0.0015992231725345698
Position 802: 0.0013074247522461599
Position 704: 0.0013013984029448776
Position 264: 0.0012704772687946245
Position 1401: 0.0010996024669892922
Position 374: 0.0008982282462669865
Position 1415: 0.0008626650576661351
Position 642: 0.0008148918069014682
Position 147: 0.0005970758540335025
Position 812: 0.0005139724326441179
Position 553: 0.0004976848830599674
Position 1536: 0.00045932687887909746
Position 570: 0.0004047604749673243
Position 582: 0.00039852994475018136
Position 1014: 0.0003373593517326162
Position 960: 0.0002647331444624223
Position 1005: 0.00019849411689806833
Position 1045: 0.00013981560354183194
Position 595: 0.0001386585154586106
Position 735: 0.00011995438384816053
Position 610: 0.0001079723226595429
Position 1163: 8.968697290168732e-05
Position 937: 8.214364382305852e-05
Position 1173: 7.664228553367253e-05
Position 361: 7.462585779429103e-05
Position 1036: 7.321618697452211e-05
Position 1530: 7.066398443054516e-05
Position 1664: 5.086366793683563e-05
Position 175: 4.804879484151687e-05
Position 381: 4.418566642582028e-05
Position 604: 4.3463139417510414e-05
Position 1165: 3.8536253201420434e-05
Position 339: 3.828525583385799e-05
Position 540: 3.326407417174865e-05
Position 1635: 3.183849981237561e-05
Position 105: 2.7198505733211327e-05
Position 1088: 2.7089751302836236e-05
Position 1030: 2.569922257022158e-05
Position 982: 2.5223357979277917e-05
Position 1677: 2.355812245963313e-05
Position 1305: 2.2132236763578934e-05
Position 165: 2.028045389886397e-05
Position 928: 1.852262290346228e-05
Position 900: 1.67080223002711e-05
Position 29: 1.4252535451492622e-05
Position 800: 1.2913610367888901e-05
Position 1612: 1.2454600606426145e-05
Position 1056: 6.353380520425892e-06
Position 1094: 6.3273259695519005e-06
Position 50: 5.483602356763921e-06
Position 974: 5.178789943080268e-06
Position 1274: 5.101033392691111e-06
Position 1574: 4.919728681070533e-06
Position 969: 4.914041172835071e-06
Position 1207: 4.431017916628068e-06
Position 364: 3.343991247736195e-06
Position 790: 3.314825313225654e-06
Position 1502: 3.101238588660577e-06
Position 1355: 2.816049488602132e-06
Position 224: 2.1695603304337476e-06
Position 628: 2.0804266237995857e-06
Position 1576: 2.0064376199720217e-06
Position 80: 1.972108557641834e-06
Position 1384: 1.8240057593485977e-06
Position 135: 8.928293845453656e-07
Position 1200: 8.19233951694456e-07
Position 115: 6.790362159843393e-07
Position 1495: 6.064568602353023e-07
Position 448: 5.687261257110101e-07
Position 12: 5.254864940358865e-07
Position 646: 4.991222950042586e-07
Position 367: 4.4397727770032155e-07
Position 351: 4.1140829638454567e-07
Position 112: 4.079127735064029e-07
Position 644: 2.5002346480453834e-07
Position 441: 2.133964902341798e-07
Position 1505: 2.005948368906928e-07
Position 1614: 1.941308628310257e-07
Position 56: 1.8910756139978001e-07
Position 7: 1.5089294014939625e-07
Position 95: 5.5281463978268456e-08
Position 66: 5.16126713182252e-08
Position 1254: 3.59334846023348e-08
