Gene = Tango6
index = 1547
Annotated 5SS: [ 132 2392]
Annotated 3SS: [ 189 2451]
SMsplice 5SS: [ 132 2392]
SMsplice 3SS: [ 189 2451]
Partition function (log Z): -2.882521448765427

Sorted 5' Splice Sites (High to Low Probability):
Position 2392: 0.9893788256515919
Position 132: 0.9125941491137589
Position 687: 0.4664787848925652
Position 1012: 0.2509473468126663
Position 1936: 0.17663557555558215
Position 1752: 0.04439982387972984
Position 447: 0.04260652017134971
Position 115: 0.0345369283897921
Position 547: 0.032833491628453546
Position 274: 0.024298919744771264
Position 1500: 0.017307908565997794
Position 1084: 0.01125629341119001
Position 999: 0.009478924362992277
Position 2047: 0.00888277194561049
Position 120: 0.008698706152792241
Position 2120: 0.0071644806515889555
Position 331: 0.006529454107258761
Position 1043: 0.0042133649378350855
Position 308: 0.003979567923995259
Position 1659: 0.0020573285747001913
Position 1909: 0.001932436902016193
Position 909: 0.0018252107454554884
Position 140: 0.0016591653674943878
Position 1506: 0.0013586616177393854
Position 1599: 0.00115913429491775
Position 1445: 0.00115734548338253
Position 2498: 0.0010495930798604066
Position 971: 0.000970603642319313
Position 1141: 0.0009573580851427674
Position 2355: 0.000818785540250791
Position 466: 0.0008175937356878187
Position 108: 0.0008020414334479713
Position 2118: 0.0007445580143298585
Position 88: 0.0007136077885420478
Position 352: 0.0006563857130527394
Position 697: 0.0005817505614925792
Position 943: 0.00056120860608708
Position 8: 0.0005125394355388522
Position 2004: 0.0004339695819966821
Position 1969: 0.00038674851087887243
Position 2359: 0.00037881703178508605
Position 533: 0.0003689037894376448
Position 1255: 0.0003186288699718766
Position 1354: 0.0002977872261380959
Position 52: 0.0002927940313221854
Position 464: 0.0002650490012753095
Position 293: 0.00025349690342990123
Position 1447: 0.00022638861141245178
Position 2603: 0.000221265034303679
Position 160: 0.000216081609217568
Position 2387: 0.0002145770790378356
Position 1053: 0.00020767229897699033
Position 1239: 0.00020320218019347777
Position 384: 0.00015344025163131653
Position 2583: 0.00014078913862848464
Position 882: 0.00011921094890848749
Position 1193: 0.00011344595234864597
Position 2534: 0.00011168877126790565
Position 877: 0.00010816692659774888
Position 691: 0.0001049190579111116
Position 2352: 9.761125675134939e-05
Position 2401: 5.6103812226292295e-05
Position 2616: 5.033476016815911e-05
Position 699: 4.895412594511064e-05
Position 990: 4.826317558728654e-05
Position 936: 4.7649778143072564e-05
Position 660: 3.865829950198649e-05
Position 1558: 2.7908355972252815e-05
Position 2376: 2.717150401705805e-05
Position 835: 2.7099690750533445e-05
Position 2809: 2.488304356775171e-05
Position 1964: 2.3606336215025775e-05
Position 163: 1.9427860063039768e-05
Position 2889: 1.7920736659387903e-05
Position 2198: 1.760603502977811e-05
Position 1875: 1.5768424192196233e-05
Position 1228: 1.4279050203339895e-05
Position 2084: 1.336828661262011e-05
Position 2055: 1.2500484233861265e-05
Position 1409: 1.2283816919136093e-05
Position 1325: 1.1709110897683481e-05
Position 2726: 1.1260003681863519e-05
Position 2659: 1.1017823436001317e-05
Position 2673: 1.0675735286346528e-05
Position 1016: 1.0375865341216644e-05
Position 1827: 1.0216019291117833e-05
Position 1051: 8.994996086860713e-06
Position 1357: 8.427399234070517e-06
Position 2182: 7.426061905138614e-06
Position 2277: 6.073560993328758e-06
Position 948: 5.562135759515443e-06
Position 55: 4.716541928945116e-06
Position 2776: 4.409701432884832e-06
Position 2250: 3.9243270409615735e-06
Position 2285: 2.4299570047629432e-06
Position 2831: 1.997194810979552e-06
Position 32: 1.9965559760655523e-06
Position 2510: 1.8859960959212095e-06
Position 2292: 1.5927193297479707e-06
Position 2308: 1.189761655930891e-06
Position 2271: 9.588436183141879e-07
Position 1266: 7.40025263673469e-07
Position 2791: 6.613173345318739e-07
Position 2315: 6.008732132315007e-07
Position 602: 4.423975039709506e-07
Position 2248: 4.1523597097313667e-07
Position 2563: 3.1912862906076723e-07
Position 2891: 3.1152214706795706e-07
Position 2262: 2.3729847037917583e-07
Position 2517: 2.1675187999944064e-07
Position 2264: 1.556277271303698e-07
Position 2667: 1.4443272712302507e-07
Position 2646: 4.092760075166401e-08
Position 2478: 3.380573277207967e-08
Position 2452: 3.0446814204128496e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2451: 0.9813516384068843
Position 189: 0.914656850394235
Position 1892: 0.33160003179854003
Position 1242: 0.20256279918748143
Position 1997: 0.18298303140232333
Position 922: 0.12280963581033005
Position 1152: 0.03538249612015559
Position 1929: 0.03212402817433568
Position 1499: 0.02201128085918703
Position 1818: 0.02124230729788937
Position 1840: 0.017766250147928885
Position 846: 0.014534995891386081
Position 2474: 0.011878508752974882
Position 2175: 0.011807956332355221
Position 210: 0.011779577627207707
Position 1755: 0.011398831848714019
Position 1217: 0.01059851696709089
Position 2132: 0.010367570909706886
Position 642: 0.010116545004754833
Position 1028: 0.009514265543896248
Position 795: 0.008805645313993435
Position 2219: 0.008790295382544227
Position 1187: 0.0070029917225105385
Position 512: 0.0068540122125176975
Position 1653: 0.006845528970854153
Position 2180: 0.006440163364582682
Position 2077: 0.005551054883320906
Position 2158: 0.004430176384706786
Position 1255: 0.0032471278354421706
Position 1334: 0.0032380835334328804
Position 1530: 0.0031899517084133266
Position 867: 0.0030662567884219677
Position 765: 0.002751533397651629
Position 421: 0.0024279420165361377
Position 1680: 0.0022014998551817123
Position 1626: 0.0020550448441529756
Position 163: 0.0019465300501026463
Position 1149: 0.001944285566131213
Position 1677: 0.0017148801377159075
Position 1683: 0.001699702242096471
Position 1721: 0.0016230645208523892
Position 1573: 0.0014160654652729753
Position 1069: 0.001350736953832394
Position 2196: 0.0013484904744950374
Position 2325: 0.0013134970585512193
Position 2118: 0.0012017939921892902
Position 602: 0.0011209872118382032
Position 1657: 0.0010059064979768446
Position 2202: 0.0009829387073014345
Position 2558: 0.0009710003239205438
Position 1066: 0.0009289015576164056
Position 1725: 0.0009266535011038372
Position 373: 0.0008964775977255867
Position 595: 0.0008081033342572084
Position 2623: 0.0008022552353533995
Position 2225: 0.0008017108524624799
Position 1369: 0.0006585587663761735
Position 998: 0.0006201881312329747
Position 1100: 0.0006061968441253484
Position 1796: 0.0005752583975142085
Position 762: 0.0005499390536298325
Position 975: 0.000505804221196526
Position 1084: 0.00046124312446414495
Position 2094: 0.00044371201448231245
Position 473: 0.000431559543588256
Position 877: 0.00041591839253817475
