Gene = Tim23
index = 1562
Annotated 5SS: [250 631 860]
Annotated 3SS: [347 689 923]
SMsplice 5SS: [250 631 860]
SMsplice 3SS: [347 689 923]
Partition function (log Z): -3.160807829987364

Sorted 5' Splice Sites (High to Low Probability):
Position 860: 0.9681742317786891
Position 250: 0.8858502959319645
Position 631: 0.6947867574495603
Position 617: 0.043229073532305484
Position 91: 0.011443821900876828
Position 686: 0.009813774460869234
Position 533: 0.008103222647268727
Position 567: 0.004716006507912271
Position 269: 0.003831169063235432
Position 817: 0.002124042909092976
Position 79: 0.0013785210539958514
Position 740: 0.0013202240657913511
Position 27: 0.00038204786051606714
Position 852: 0.00032201969544565424
Position 621: 0.0003209989315916901
Position 579: 0.0002851840907569901
Position 6: 0.00011462910693174946
Position 657: 7.812940024018176e-05
Position 716: 6.620912383986077e-05
Position 415: 5.7500136288439656e-05
Position 690: 5.624311798504884e-05
Position 396: 5.526308987371947e-05
Position 407: 4.261322232028193e-05
Position 320: 3.927473168232845e-05
Position 202: 3.880859900210107e-05
Position 546: 3.670467124623517e-05
Position 142: 3.4220713745960136e-05
Position 57: 2.330367254856737e-05
Position 1056: 1.8953419929262603e-05
Position 1053: 1.8451486318393335e-05
Position 460: 1.4819036972475411e-05
Position 1011: 9.41377506222814e-06
Position 107: 8.228251596754769e-06
Position 505: 8.164990953041838e-06
Position 387: 6.593220791778894e-06
Position 751: 3.726291538151013e-06
Position 110: 3.688407300909125e-06
Position 937: 3.6184450529090128e-06
Position 569: 2.6972515882119113e-06
Position 587: 2.6918833709357466e-06
Position 948: 1.8296500165910437e-06
Position 1023: 1.3832605463157667e-06
Position 756: 8.764538952181059e-07
Position 492: 7.329370108766343e-07
Position 939: 3.938842938776662e-07
Position 772: 3.587583340682874e-07
Position 783: 2.5447295164882336e-07
Position 767: 1.7933548246011233e-07
Position 913: 1.6022436716780557e-07
Position 304: 1.3020628308531394e-07
Position 905: 7.221346658603843e-09
Position 973: 1.2860975189181109e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 923: 0.9619405646854504
Position 347: 0.7543313574069994
Position 689: 0.7519701423452324
Position 297: 0.05335764368584706
Position 445: 0.031981633836009035
Position 399: 0.021273839458671413
Position 739: 0.010966301467020599
Position 905: 0.010661348444045999
Position 396: 0.008230731496442902
Position 476: 0.006884252746489388
Position 711: 0.005821865884387006
Position 783: 0.0042688978206966155
Position 151: 0.004248283554355277
Position 715: 0.0022504539780991233
Position 933: 0.0018217678345544797
Position 127: 0.0017128883038123723
Position 998: 0.001636804978705393
Position 587: 0.0011380939488661612
Position 727: 0.0004877631260447471
Position 520: 0.0003599860768429891
Position 524: 0.00026713739967276887
Position 449: 0.0002145105639511653
Position 607: 0.0001326054917412439
Position 799: 0.00010767655608788874
Position 596: 8.914989438858207e-05
Position 387: 8.867778257022071e-05
Position 490: 8.708361637877146e-05
Position 356: 7.622867334651833e-05
Position 101: 5.474260294594948e-05
Position 631: 5.259597554639259e-05
Position 1109: 4.5259319195493985e-05
Position 817: 3.247459600313853e-05
Position 1039: 3.1333189469346414e-05
Position 217: 2.915027135570209e-05
Position 454: 2.8027703738494163e-05
Position 1003: 2.0224032681313735e-05
Position 1063: 1.958430952193699e-05
Position 566: 1.894816551571952e-05
Position 772: 1.7082854753056827e-05
Position 69: 1.4118797481706678e-05
Position 838: 1.3942173823098913e-05
Position 859: 1.0553871905916806e-05
Position 1011: 5.928992193510117e-06
Position 1085: 4.988271056202588e-06
Position 635: 4.7063171343707275e-06
Position 1056: 4.612764776289183e-06
Position 54: 2.550388561562053e-06
Position 487: 2.5276413395795356e-06
Position 91: 2.0470071300107873e-06
Position 610: 1.9975912796129067e-06
Position 1073: 1.6927684288215457e-06
Position 458: 1.4171578639329861e-06
Position 563: 9.109512006465049e-07
Position 1023: 5.760104473761546e-07
Position 460: 4.807648540308244e-07
Position 352: 4.772791625696537e-07
Position 79: 3.418312826082474e-07
Position 796: 2.674532144100347e-07
Position 202: 1.225708983021732e-07
Position 864: 9.900176070998769e-08
Position 617: 7.973894268125876e-08
Position 852: 3.322866072074301e-08
Position 604: 3.043144449365857e-08
Position 254: 1.6226153864614097e-08
Position 262: 7.968156426163035e-09
Position 505: 3.5077367228559064e-09
Position 129: 8.304914416896007e-10
Position 953: 1.856792740323445e-12
