Gene = tant
index = 1908
Annotated 5SS: [284 528]
Annotated 3SS: [440 580]
SMsplice 5SS: [284 528]
SMsplice 3SS: [440 580]
Partition function (log Z): -5.808425005558336

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.9530445591268563
Position 284: 0.8475300749619343
Position 299: 0.015435039996636254
Position 1191: 0.0029785458457000052
Position 60: 0.001608305675766586
Position 1421: 0.001387268383703587
Position 1089: 0.0009637119284482892
Position 288: 0.0007853535057788192
Position 1505: 0.0007556518187691172
Position 116: 0.0006330906342939608
Position 1095: 0.0006200061266722839
Position 3: 0.0005556940261810926
Position 1104: 0.0004943382084727741
Position 10: 0.000391538512453746
Position 331: 0.0002651662666490814
Position 218: 0.00022322867567116993
Position 250: 0.00018805872791965156
Position 703: 0.00018171310019422275
Position 1595: 0.0001780528829201517
Position 414: 9.815691491119177e-05
Position 726: 5.962219184735954e-05
Position 696: 4.7939875520756015e-05
Position 1098: 4.137347199145171e-05
Position 342: 3.629500465099236e-05
Position 119: 3.622359721450778e-05
Position 1538: 3.48376333962166e-05
Position 852: 3.1676653509351776e-05
Position 425: 2.451355669423374e-05
Position 507: 2.3365266088836085e-05
Position 1526: 2.2400065845324943e-05
Position 82: 2.2387901321835554e-05
Position 854: 1.8169404719237763e-05
Position 825: 1.7471352654730514e-05
Position 34: 1.6063025898071107e-05
Position 1489: 1.0113414455375323e-05
Position 1070: 9.468124685053608e-06
Position 1582: 8.64444061352991e-06
Position 781: 8.315864396528655e-06
Position 205: 7.415058565918553e-06
Position 161: 6.893688551199949e-06
Position 1547: 6.3196424615255486e-06
Position 1394: 6.046181731096668e-06
Position 799: 5.406531756018065e-06
Position 832: 5.268633387482022e-06
Position 71: 5.0438107944076455e-06
Position 1606: 4.550501749152849e-06
Position 1213: 4.480303208359768e-06
Position 1787: 4.034633145164702e-06
Position 989: 3.366719737677185e-06
Position 1106: 2.7601117082563403e-06
Position 436: 2.4568873739072193e-06
Position 742: 2.136389884857676e-06
Position 484: 1.991618173663152e-06
Position 581: 1.5432239533368295e-06
Position 1741: 1.4163512948528627e-06
Position 1700: 1.3706785639215864e-06
Position 223: 7.262690196835185e-07
Position 1564: 6.600395428573484e-07
Position 1111: 4.107936787629752e-07
Position 1593: 2.935883202431417e-07
Position 462: 2.9092831894558715e-07
Position 1276: 2.1014217195082406e-07
Position 632: 1.4669642690725997e-07
Position 1244: 1.0806974597126975e-07
Position 1326: 8.940697725328569e-08
Position 1255: 8.376623062087929e-08
Position 1169: 7.056279245040467e-08
Position 608: 5.595510012555278e-08
Position 1671: 4.498518623989569e-08
Position 605: 1.8747502815205605e-08
Position 1724: 1.3978077201183197e-08
Position 429: 1.1111495836783582e-08
Position 1542: 8.161459285885085e-09
Position 1727: 3.3168627089461805e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 580: 0.9209966248356153
Position 440: 0.8079466039040474
Position 453: 0.025323777742622684
Position 342: 0.019613910615493665
Position 623: 0.01930945355373423
Position 1564: 0.004601415745844054
Position 672: 0.004135472814485906
Position 952: 0.004025058247317934
Position 331: 0.003181413471525775
Position 1840: 0.0024521247393266585
Position 484: 0.0019373132556769652
Position 729: 0.001783975324338937
Position 1141: 0.0015941283960738191
Position 1276: 0.0011243981841840053
Position 962: 0.0009242773075632358
Position 561: 0.0008961456423277856
Position 1482: 0.0006927864814776565
Position 154: 0.0006614598427590935
Position 976: 0.0006558669900022573
Position 1265: 0.0006497468741004694
Position 1659: 0.0004340611996187298
Position 129: 0.00042733336729405645
Position 177: 0.0004005256255070292
Position 883: 0.00037736168202043584
Position 703: 0.00037300250454744104
Position 402: 0.00032872116794180854
Position 793: 0.0003244270037136979
Position 1678: 0.00024956858254015374
Position 376: 0.00023424352096507037
Position 1602: 0.000198486419754764
Position 644: 0.00018691566542465365
Position 973: 0.00018208755159700464
Position 94: 0.00017456981470452974
Position 1816: 0.0001713694225579642
Position 1175: 0.00016750897900341175
Position 1653: 0.00016504984345585373
Position 1757: 0.000160843453641168
Position 119: 0.00015350185687516195
Position 911: 0.0001272624048516152
Position 819: 0.00010421424114566507
Position 1530: 9.741116228851937e-05
Position 653: 8.356037061243578e-05
Position 166: 7.86293584665326e-05
Position 501: 7.677250610140945e-05
Position 1526: 7.285005916367093e-05
Position 700: 6.680747720102769e-05
Position 283: 6.642032694942723e-05
Position 231: 5.554900408415058e-05
Position 799: 5.332586834029301e-05
Position 1226: 5.195900120400825e-05
Position 1030: 5.1396848528281324e-05
Position 908: 4.686264882494797e-05
Position 1157: 4.523297783899029e-05
Position 1053: 4.4835639581089174e-05
Position 838: 4.476149462128516e-05
Position 1367: 4.055112018239579e-05
Position 1489: 3.550363733467169e-05
Position 1700: 3.2971096297283915e-05
Position 1637: 3.212499845889237e-05
Position 104: 3.051511855653125e-05
Position 371: 2.9919119817677423e-05
Position 850: 2.9408463370007187e-05
Position 1187: 2.6380798818024936e-05
Position 1571: 2.2642366072358588e-05
Position 1340: 2.088463072361305e-05
Position 1686: 1.5682733614420707e-05
Position 1084: 1.567185758048847e-05
Position 317: 1.5612974913641036e-05
Position 514: 1.315417865196976e-05
Position 781: 9.24568411925943e-06
Position 383: 8.780613761976336e-06
Position 1359: 8.755921079407565e-06
Position 1177: 8.196607351383896e-06
Position 50: 7.846835591888441e-06
Position 1010: 7.74391358460286e-06
Position 1304: 6.136032265114409e-06
Position 60: 5.620853849986538e-06
Position 1612: 5.441519373633314e-06
Position 1582: 5.005957974007367e-06
Position 1384: 4.993594791473116e-06
Position 241: 3.299512999163842e-06
Position 769: 3.21542849390823e-06
Position 989: 3.1327054125686757e-06
Position 527: 2.8825807802972517e-06
Position 1190: 2.717858850192797e-06
Position 298: 2.487576721496973e-06
Position 520: 2.421113376273167e-06
Position 1022: 1.945563858250196e-06
Position 1424: 1.916388019590525e-06
Position 1609: 1.888788272896736e-06
Position 921: 1.489267913190582e-06
Position 1055: 1.4183753909501102e-06
Position 1244: 1.3337761744650804e-06
Position 1302: 1.318438171032881e-06
Position 1211: 1.190364245496987e-06
Position 288: 9.363436942695978e-07
Position 1081: 8.62543170502947e-07
Position 262: 7.936731935298921e-07
Position 531: 7.507751553274254e-07
Position 539: 7.129607495729769e-07
Position 213: 6.448410950875016e-07
Position 1037: 5.910298169393363e-07
