Gene = Osi21
index = 1349
Annotated 5SS: [816]
Annotated 3SS: [984]
SMsplice 5SS: [816]
SMsplice 3SS: [984]
Partition function (log Z): -2.0585920068808807

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.9913266091852356
Position 273: 0.033825751960429654
Position 262: 0.016355878155415764
Position 793: 0.005385874274406509
Position 271: 0.005182893053849217
Position 218: 0.0037757553867600138
Position 60: 0.0034681191909171826
Position 852: 0.0010523126563973864
Position 615: 0.0009779408686690773
Position 139: 0.0007905098604496285
Position 548: 0.000459211666824265
Position 559: 0.00043095116377838013
Position 715: 0.0003505111211367632
Position 1079: 0.0003462107292006236
Position 803: 0.00033121643083797945
Position 839: 0.00023823053062270642
Position 1243: 0.00017351165588874108
Position 830: 0.00016766277080328162
Position 1269: 0.00013094857958702335
Position 135: 0.00011086246574554017
Position 1283: 8.565623353082647e-05
Position 538: 8.407501828564994e-05
Position 245: 8.209363710925251e-05
Position 160: 7.127809383295537e-05
Position 190: 5.79233311822753e-05
Position 847: 5.6710904494112106e-05
Position 886: 3.597284535072039e-05
Position 380: 2.7804558299814806e-05
Position 1087: 2.6455077338153893e-05
Position 1117: 1.9920580362796086e-05
Position 833: 1.802849030992825e-05
Position 1228: 1.5452937629340794e-05
Position 1065: 1.2231924603809716e-05
Position 148: 1.1711791904628225e-05
Position 1147: 9.86164629310022e-06
Position 27: 9.300750537844579e-06
Position 1126: 9.20138710399154e-06
Position 110: 8.413172390390244e-06
Position 85: 8.357703373027677e-06
Position 665: 8.053668022340444e-06
Position 1052: 7.985054426696007e-06
Position 1307: 6.391763727296254e-06
Position 1124: 5.6453316032827035e-06
Position 1280: 5.5853241581279285e-06
Position 212: 4.987657460986291e-06
Position 1046: 4.4359972805733336e-06
Position 1257: 3.7619933948335856e-06
Position 703: 3.416656660207359e-06
Position 21: 3.3353114852460822e-06
Position 619: 3.1258869121351305e-06
Position 563: 2.271060166013586e-06
Position 117: 2.2475095009195913e-06
Position 557: 1.783002784697144e-06
Position 605: 1.5066336509091611e-06
Position 1184: 1.4056380040750354e-06
Position 1149: 1.115532556203427e-06
Position 1041: 7.676277555664685e-07
Position 622: 5.276420292714815e-07
Position 446: 4.646864455746974e-07
Position 373: 4.3508752336714127e-07
Position 1168: 4.291228336088967e-07
Position 1135: 3.505956415980346e-07
Position 341: 3.240337928170294e-07
Position 894: 3.015311368076493e-07
Position 13: 1.7069761851514477e-07
Position 656: 9.352220243250368e-08
Position 1023: 1.629360236720848e-08
Position 998: 9.102166619897037e-09
Position 947: 5.115974152855259e-09
Position 1012: 4.3776877767893634e-09
Position 462: 1.034128690272666e-09
Position 1010: 3.4398026460377333e-10
Position 971: 1.2825828678495238e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 984: 0.9515881212989514
Position 341: 0.058221001796176286
Position 941: 0.04788974977497669
Position 321: 0.003086327493859794
Position 672: 0.0011722351352227258
Position 492: 0.0006111303017460098
Position 773: 0.0005298668005824094
Position 1307: 0.00039201143483985276
Position 1365: 0.00034369420679694927
Position 142: 0.0003280104394633474
Position 1135: 0.00028092458833382057
Position 212: 0.0001633679627935186
Position 696: 0.0001228447848059488
Position 886: 0.00011726721266164775
Position 1018: 9.240866745637205e-05
Position 160: 9.097908326557229e-05
Position 325: 8.446280257529351e-05
