Gene = Blos3
index = 51
Annotated 5SS: [147 337]
Annotated 3SS: [203 389]
SMsplice 5SS: [147 337]
SMsplice 3SS: [203 389]
Partition function (log Z): -3.158140969567474

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9674136238670102
Position 337: 0.9405003262725364
Position 285: 0.001602658858149706
Position 41: 0.0012559758791064288
Position 150: 0.0010576754094304608
Position 96: 0.0010439404588978107
Position 569: 0.0004306697524729348
Position 32: 0.00026367604047463494
Position 467: 0.00012903945787407845
Position 353: 5.957127339529579e-05
Position 578: 4.360027196103866e-05
Position 9: 3.252204474065081e-05
Position 103: 2.6312608737391906e-05
Position 65: 9.640151152177994e-06
Position 389: 8.187934841919207e-06
Position 445: 2.130951573421219e-06
Position 341: 1.6102376462139322e-06
Position 450: 1.5600336070133136e-06
Position 176: 1.2275721886735748e-06
Position 511: 8.484276967997361e-07
Position 443: 6.747730089221602e-07
Position 55: 5.638023473369259e-07
Position 493: 4.259751051124583e-07
Position 504: 3.6414461204027073e-07
Position 197: 6.506589658738176e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 203: 0.9683608011222888
Position 389: 0.6673511658698287
Position 438: 0.27358992011052435
Position 463: 0.0008890886873922045
Position 670: 0.0007914418726990414
Position 231: 0.0007313485103744132
Position 493: 0.0004925204058114751
Position 414: 0.000476555129469375
Position 535: 0.00044808135284546717
Position 532: 0.0003595338424607125
Position 460: 9.843973065764045e-05
Position 504: 7.331072152733431e-05
Position 450: 3.863288893566235e-05
Position 108: 3.533550885367764e-05
Position 176: 3.2959039114640645e-05
Position 65: 3.114835150287439e-05
Position 240: 3.0257674987747528e-05
Position 641: 1.4958994301661847e-05
Position 511: 8.114166278297093e-06
Position 633: 7.337746478949628e-06
Position 609: 7.172087751009169e-06
Position 267: 6.994624972754672e-06
Position 128: 4.438681551159855e-06
Position 588: 2.2668131525574124e-06
Position 619: 1.9885768536353697e-06
Position 326: 7.986207469716787e-07
Position 252: 6.900758038148747e-07
Position 567: 5.420172927717e-07
Position 541: 3.8005342382464634e-07
Position 277: 1.1873668333659169e-07
Position 616: 9.938570564626943e-08
Position 544: 7.734926014482007e-08
Position 284: 7.486929788629666e-08
Position 134: 5.68526596511701e-08
Position 125: 5.133879748592206e-08
Position 337: 4.9796087892461835e-08
Position 274: 4.386438323220301e-08
Position 263: 3.067167160927995e-08
Position 553: 2.9770582158347054e-08
Position 242: 1.0906779106058006e-08
Position 140: 1.029551947832443e-08
Position 292: 7.95865377486368e-09
Position 100: 4.487555369650493e-09
Position 155: 9.646685724207066e-10
Position 146: 3.9825662413362626e-10
Position 137: 3.4001982945201135e-10
