Gene = ICA69
index = 1217
Annotated 5SS: [ 933 1242]
Annotated 3SS: [1001 1302]
SMsplice 5SS: [ 933 1242]
SMsplice 3SS: [1001 1302]
Partition function (log Z): -0.9808357624449338

Sorted 5' Splice Sites (High to Low Probability):
Position 933: 0.9830388373730189
Position 1242: 0.9624354517425673
Position 15: 0.05244212314600029
Position 1139: 0.019291381606945286
Position 1229: 0.009847652978572853
Position 907: 0.008142141967474528
Position 474: 0.0029922556574969324
Position 50: 0.0021456410649454655
Position 95: 0.0019502716976777662
Position 879: 0.0013163493377879624
Position 671: 0.0009730560233340157
Position 1212: 0.000817521169177424
Position 619: 0.0007483565844264809
Position 1226: 0.000729145248775246
Position 847: 0.0005807090416348154
Position 210: 0.0005460014244880225
Position 396: 0.0004900912302042523
Position 1194: 0.00042659624880766886
Position 857: 0.0003085655033059482
Position 1367: 0.00018596279614587613
Position 24: 0.00017468758576305878
Position 303: 0.00013097469637642428
Position 565: 0.00012635243803846616
Position 1150: 7.900019952765442e-05
Position 578: 6.469452690150291e-05
Position 885: 6.302701080126394e-05
Position 563: 5.3720202508262005e-05
Position 1436: 5.345042108361361e-05
Position 366: 5.222329552636287e-05
Position 399: 4.928187928944727e-05
Position 809: 4.614923774224273e-05
Position 317: 4.200676323401634e-05
Position 476: 4.022368302073102e-05
Position 1067: 3.808548653873295e-05
Position 1574: 3.693336273046109e-05
Position 645: 3.140759207820344e-05
Position 956: 2.9672992495209908e-05
Position 1152: 2.7857033453467536e-05
Position 359: 2.4666966683157903e-05
Position 681: 2.133668665761452e-05
Position 169: 1.6935243167968772e-05
Position 1034: 1.282684578215752e-05
Position 200: 1.0723020678638632e-05
Position 300: 9.371028473423035e-06
Position 708: 8.47613058420257e-06
Position 1347: 8.127217860880793e-06
Position 1568: 7.5866484247416254e-06
Position 675: 7.521785862065823e-06
Position 569: 5.609154839192681e-06
Position 1050: 5.4470481645126475e-06
Position 171: 4.463743871667856e-06
Position 1546: 4.01080694882775e-06
Position 1166: 2.6732294350650503e-06
Position 1588: 1.4417536083695047e-06
Position 1059: 1.392202520898496e-06
Position 1509: 1.2522961913001534e-06
Position 509: 1.0780359526069924e-06
Position 716: 1.0661538233895654e-06
Position 622: 7.139406369041812e-07
Position 714: 6.980433366133984e-07
Position 1500: 2.1309357446248002e-07
Position 377: 1.828271097526977e-07
Position 567: 1.2897265748664735e-07
Position 1308: 1.6610108854791226e-08
Position 551: 8.387978945513388e-09
Position 1697: 6.5000735836618096e-09
Position 1699: 3.17558935452024e-10
Position 1747: 1.876941423285707e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1001: 0.9959141855013626
Position 1302: 0.9864737953122634
Position 135: 0.03233942694416995
Position 161: 0.01450928743229904
Position 1188: 0.007260626393743897
Position 533: 0.003021046895455104
Position 1017: 0.0016584099203100294
Position 395: 0.001639707220554152
Position 200: 0.001482407547162188
Position 320: 0.00137602720966508
Position 300: 0.0007748018750284097
Position 557: 0.000559707380358943
Position 1308: 0.0005582473737627338
Position 258: 0.00036968071024630415
Position 1014: 0.0003058720028524552
Position 665: 0.00029935308260317444
Position 455: 0.00027339585458253533
Position 560: 0.0002353645593007757
Position 169: 0.000163448825109268
Position 229: 0.00013494482270499196
Position 1425: 0.00013443936087237292
Position 749: 0.00011079444620661567
Position 577: 0.0001013508548700702
Position 929: 8.712607769993862e-05
Position 1514: 8.294056987286773e-05
Position 58: 7.569962852556297e-05
Position 872: 7.387790901043703e-05
Position 701: 6.694751686807691e-05
Position 737: 6.58506073019252e-05
Position 499: 6.232765138475031e-05
Position 809: 6.2248672189544e-05
Position 404: 5.616833098047546e-05
Position 1654: 4.455014088154355e-05
Position 1133: 3.427332683698848e-05
Position 359: 2.7772595854724757e-05
Position 1106: 2.1965824205657168e-05
Position 1521: 2.1963904889790878e-05
Position 1314: 2.1041743685784288e-05
Position 1160: 1.9778958974228758e-05
Position 758: 1.8115367026855667e-05
Position 1737: 1.7009215636072006e-05
Position 1484: 1.6283398713658938e-05
Position 773: 1.4585914656035124e-05
Position 1422: 1.283272155016127e-05
Position 371: 1.2172685138702763e-05
Position 210: 7.910263234003314e-06
Position 563: 7.74101656889755e-06
Position 1088: 7.391179544961585e-06
Position 377: 6.036346150418592e-06
Position 536: 5.546162786654197e-06
Position 590: 4.339137635279192e-06
Position 1139: 4.0015233445334585e-06
Position 817: 3.863274387414563e-06
Position 1258: 3.751086071335172e-06
Position 1085: 3.1113470748146086e-06
Position 1118: 3.085374425470582e-06
Position 237: 2.85262442296631e-06
Position 365: 2.8216777203230525e-06
Position 641: 2.633196196553391e-06
Position 1605: 2.276168128882265e-06
Position 1563: 1.9737130489540388e-06
Position 587: 1.9035886426191124e-06
Position 770: 1.6192443611197306e-06
Position 1190: 1.2987438186052032e-06
Position 845: 1.2648055405601117e-06
Position 1666: 1.2585167634241484e-06
Position 467: 1.2253819151810756e-06
Position 422: 1.1860926691575568e-06
Position 1073: 1.062448785070597e-06
Position 431: 9.918657967199583e-07
Position 1518: 9.31540600535421e-07
Position 893: 8.950922943121567e-07
Position 1546: 8.49075248118227e-07
Position 746: 8.48971034125647e-07
Position 1595: 8.227664703290081e-07
Position 1494: 7.893586480522572e-07
Position 1320: 7.792961457557537e-07
Position 1344: 7.235045546089006e-07
Position 622: 5.607544030475607e-07
Position 1549: 5.604764801347685e-07
Position 1179: 5.370891362238662e-07
Position 1332: 4.988526244652567e-07
Position 410: 4.60007165694508e-07
Position 821: 3.937028413849946e-07
Position 667: 3.8319074815392705e-07
Position 1272: 3.449409522895492e-07
Position 1209: 3.190435879495084e-07
Position 1194: 3.1359825167925865e-07
Position 1447: 2.2860151456867834e-07
Position 1431: 2.2530999364521758e-07
Position 425: 1.878336701306173e-07
Position 1541: 1.490952225269284e-07
Position 1697: 1.3591613998628396e-07
Position 1220: 1.0667230122524488e-07
Position 932: 9.893143946653696e-08
Position 857: 7.315119776056996e-08
Position 708: 7.20200313750772e-08
Position 599: 6.755557876813652e-08
Position 1573: 6.128393137200796e-08
Position 1527: 5.764683774082623e-08
Position 607: 4.837495239922407e-08
Position 1226: 4.3816512147069806e-08
Position 1775: 4.3404360010683407e-08
Position 767: 4.109662948847913e-08
Position 1260: 3.7965838673065144e-08
Position 1436: 2.713414901856804e-08
Position 604: 2.6355491170414513e-08
Position 1568: 2.0840084206934064e-08
Position 1710: 1.9598565703732832e-08
Position 1347: 1.4209761057352491e-08
Position 1367: 1.3896144557754735e-08
Position 473: 9.82107915492613e-09
Position 1465: 8.955008554144368e-09
Position 1720: 1.933852012651482e-09
Position 1354: 1.1645386462176806e-09
Position 950: 1.0889254654552114e-09
Position 1779: 6.562185632523039e-10
Position 1067: 1.6182992110259916e-10
Position 1790: 6.991624684310114e-11
Position 1413: 3.063475851547167e-11
Position 1685: 1.4399344903953246e-11
Position 1356: 7.563319481239676e-12
Position 1707: 2.393517448961294e-12
Position 1717: 4.166444180924056e-14
