Gene = Nelf-E
index = 1314
Annotated 5SS: [ 217  793 1049]
Annotated 3SS: [ 274  881 1112]
SMsplice 5SS: [ 217  793 1049]
SMsplice 3SS: [ 274  881 1112]
Partition function (log Z): 8.353115180735324

Sorted 5' Splice Sites (High to Low Probability):
Position 1049: 0.9993124442096984
Position 793: 0.9976672654401668
Position 217: 0.9964951194881626
Position 50: 0.029779801467202733
Position 12: 0.001054938460501667
Position 195: 0.0008264818076329857
Position 1160: 0.00023511049590081275
Position 816: 0.00017415418060079329
Position 647: 0.00017393480330489232
Position 1203: 0.00015976000882968923
Position 797: 0.00011013730146043334
Position 973: 7.274709961747013e-05
Position 810: 5.33610081290748e-05
Position 363: 4.789430554688305e-05
Position 368: 2.9453196864693635e-05
Position 108: 2.865606988265592e-05
Position 716: 2.2881840290935883e-05
Position 1240: 2.1718230409114227e-05
Position 555: 2.1151796465375394e-05
Position 18: 2.0755415010181575e-05
Position 764: 1.9482257834976867e-05
Position 93: 1.0581848567885544e-05
Position 1038: 9.544810780733372e-06
Position 1134: 9.180613706749433e-06
Position 1053: 8.908765319468164e-06
Position 339: 7.342598432795502e-06
Position 1060: 5.23137509995781e-06
Position 1062: 4.338914168860422e-06
Position 87: 3.4438516184019152e-06
Position 952: 2.534593319028708e-06
Position 1258: 2.259052635953975e-06
Position 1211: 2.172468135637078e-06
Position 139: 1.5547905552032215e-06
Position 1033: 1.3902791364554784e-06
Position 1026: 1.378817990479685e-06
Position 240: 1.3631874393985978e-06
Position 912: 5.29935152303437e-07
Position 703: 4.811738226242123e-07
Position 517: 4.422367478791887e-07
Position 868: 2.133392189257543e-07
Position 1324: 1.503432808897526e-07
Position 978: 1.2059603638884554e-07
Position 1307: 1.001487107807452e-07
Position 701: 7.877917475966878e-08
Position 579: 7.163965692802251e-08
Position 494: 5.560628856690929e-08
Position 770: 4.615470657758957e-08
Position 533: 1.426638459145229e-08
Position 260: 1.1544335863943723e-08
Position 892: 7.935513669049813e-09
Position 271: 5.182186134927882e-09
Position 1098: 1.4083717241954627e-09
Position 881: 4.3169713865655006e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1112: 0.9988654438268432
Position 274: 0.9950082432472322
Position 881: 0.9654343269472462
Position 122: 0.024767799392449344
Position 972: 0.023158969954074696
Position 849: 0.008633669306582752
Position 119: 0.00456951668056681
Position 280: 0.0024204079704091175
Position 90: 0.000958807942997216
Position 919: 0.0005692556880777964
Position 1240: 0.0003850251326340693
Position 1258: 0.00018742331558444205
Position 93: 0.00017566080374007488
Position 1137: 0.00014531063888507793
Position 1132: 0.00012124374882067478
Position 715: 0.00011458927642928065
Position 978: 9.028460652927971e-05
Position 526: 8.77406420153001e-05
Position 172: 8.160912932004194e-05
Position 1216: 7.70300653296035e-05
Position 1033: 7.341901049024466e-05
Position 912: 6.276380498513207e-05
Position 415: 5.5219545263000584e-05
Position 948: 5.198325780908297e-05
Position 260: 5.13306532192683e-05
Position 1324: 3.8833829853680875e-05
Position 1339: 3.179864744583814e-05
Position 508: 2.6884250620673722e-05
Position 412: 2.6185638362953065e-05
Position 337: 2.4415266512176507e-05
Position 1246: 1.9973319137584557e-05
Position 1119: 1.2703010482231248e-05
Position 1370: 1.0921626287142817e-05
Position 445: 9.135108137360198e-06
Position 613: 7.898315206020752e-06
Position 418: 6.317699753399531e-06
Position 290: 5.909904761329704e-06
Position 1189: 4.707500123096685e-06
Position 298: 4.57963237143381e-06
Position 455: 3.5284438276256908e-06
Position 646: 3.2131257975562953e-06
Position 1175: 2.900692340483758e-06
Position 999: 1.9184329706944845e-06
Position 1144: 1.7542050850461574e-06
Position 739: 1.4856693116980765e-06
Position 568: 1.3811571884239888e-06
Position 174: 1.1201749761324564e-06
Position 822: 1.10977149059361e-06
Position 307: 8.264762610056827e-07
Position 986: 4.185571331637905e-07
Position 667: 3.7980548506521015e-07
Position 319: 3.7296897835158774e-07
Position 189: 3.495509417260731e-07
Position 571: 3.4785970700721475e-07
Position 460: 3.436403900315543e-07
Position 662: 3.110376104223051e-07
Position 390: 2.795811682751351e-07
Position 586: 2.6709202878175227e-07
Position 195: 1.6771377190991276e-07
Position 625: 1.5205883795062904e-07
Position 555: 1.4267944572753542e-07
Position 781: 1.2261917179562388e-07
Position 1203: 8.391442753236295e-08
Position 368: 6.114669011960402e-08
Position 424: 5.5316771531613364e-08
Position 1156: 4.852673155826441e-08
Position 541: 4.230551610701061e-08
Position 375: 3.876857901833712e-08
Position 210: 3.679544103837467e-08
Position 790: 3.474751712295654e-08
Position 993: 3.2433031689066415e-08
Position 936: 2.6197940733404187e-08
Position 574: 2.4398342541147547e-08
Position 356: 1.638166885888493e-08
Position 544: 1.4886499754009187e-08
Position 676: 1.1334353552133966e-08
Position 1060: 7.95806972698612e-09
Position 623: 6.6523216268231145e-09
Position 216: 6.141570790771834e-09
Position 201: 3.749614448663876e-09
Position 671: 3.748791138250394e-09
Position 177: 2.9841817408396237e-09
Position 428: 2.531693504820896e-09
Position 1053: 2.496322092032275e-09
Position 313: 2.3988762020488043e-09
Position 465: 2.318103461337104e-09
Position 673: 2.2378707872707716e-09
Position 472: 1.846331824915136e-09
Position 628: 8.592414998779708e-10
Position 559: 3.524562708641811e-10
Position 643: 2.685104387603155e-10
Position 467: 1.521020167450305e-10
Position 810: 4.374909614949364e-11
Position 724: 1.4084200274970813e-11
Position 1191: 7.708154400887212e-12
Position 792: 3.788734909064265e-12
Position 797: 1.800163895059065e-12
Position 1005: 4.867927931533914e-13
Position 321: 3.0395083303023765e-17
