Gene = ND-B22
index = 1302
Annotated 5SS: [269 487]
Annotated 3SS: [346 545]
SMsplice 5SS: [269 487]
SMsplice 3SS: [346 545]
Partition function (log Z): -4.18383554577479

Sorted 5' Splice Sites (High to Low Probability):
Position 269: 0.9886655870729953
Position 487: 0.5423495174777123
Position 789: 0.0888856445067091
Position 755: 0.05188663711167624
Position 502: 0.03176097673425185
Position 691: 0.03073824134975356
Position 703: 0.009584905340792914
Position 257: 0.005933714309723717
Position 750: 0.0035503883036379982
Position 896: 0.001848862807943191
Position 679: 0.0010381077392511713
Position 894: 0.0008464783681356562
Position 529: 0.00016906208002596355
Position 833: 0.00015038006021572255
Position 131: 0.00014955960285265558
Position 584: 0.00014763987004125527
Position 507: 6.46757986316188e-05
Position 514: 6.34454951562685e-05
Position 907: 5.714315260673957e-05
Position 683: 5.3507088640671586e-05
Position 254: 3.500251377959589e-05
Position 213: 3.4672654469104083e-05
Position 646: 2.9958010553525288e-05
Position 828: 2.9356387865681757e-05
Position 520: 2.8023913203361728e-05
Position 779: 2.7953510180148885e-05
Position 24: 2.774299248369288e-05
Position 315: 2.430046998384198e-05
Position 110: 2.042076935616145e-05
Position 107: 1.9525958183858e-05
Position 814: 1.615974666933982e-05
Position 830: 1.5067532189137123e-05
Position 273: 1.4468156683992518e-05
Position 637: 1.2601966405661378e-05
Position 113: 1.0474232346752056e-05
Position 325: 8.537130294585374e-06
Position 251: 8.49785975704602e-06
Position 161: 7.36446441735658e-06
Position 539: 5.458373259544901e-06
Position 439: 5.379296224441129e-06
Position 846: 2.522577107035989e-06
Position 542: 2.4862966487532193e-06
Position 224: 1.1814645584368037e-06
Position 518: 1.0042455468920226e-06
Position 561: 8.208160588489683e-07
Position 951: 2.6439058590008114e-07
Position 30: 1.6834421830439427e-07
Position 379: 1.6638428753199868e-07
Position 567: 1.580158436384904e-07
Position 602: 1.3382386019297612e-07
Position 555: 1.3022786418558283e-07
Position 215: 5.8903776639222967e-08
Position 531: 5.267885775942056e-08
Position 533: 4.576122608565401e-08
Position 545: 3.6446329746287566e-08
Position 369: 3.485487064977087e-08
Position 180: 2.591459555830336e-08
Position 328: 2.4012996737760406e-08
Position 351: 1.612018689439962e-08
Position 116: 8.675256160573098e-09
Position 195: 1.2794089381179745e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 346: 0.86104663923841
Position 545: 0.5921956595712116
Position 950: 0.13653991550184486
Position 374: 0.05399039270345961
Position 555: 0.04214981631211171
Position 990: 0.029211987577279767
Position 846: 0.025200964236150914
Position 927: 0.006024329850453707
Position 894: 0.0051306861452943405
Position 915: 0.003759443201977487
Position 408: 0.0008283504151834387
Position 789: 0.000739501419363833
Position 970: 0.0004245420675308406
Position 748: 0.0002665376496794837
Position 631: 0.0001437337697597275
Position 667: 0.00012508953224031407
Position 583: 0.00011472046649195855
Position 206: 0.00010382229521861295
Position 628: 6.377200214732249e-05
Position 161: 4.8334965138537946e-05
Position 315: 4.701080805830729e-05
Position 658: 4.372798078257528e-05
Position 71: 2.512412962979441e-05
Position 1002: 2.4467108692843132e-05
Position 995: 1.727320161213842e-05
Position 180: 1.6687817124274495e-05
Position 435: 1.3678395784182017e-05
Position 703: 1.034217625419076e-05
Position 967: 8.292209833480013e-06
Position 637: 6.200215823917499e-06
Position 212: 5.841886466078609e-06
Position 581: 2.367182672211484e-06
Position 77: 2.321800807271927e-06
Position 700: 7.997734649651048e-07
Position 476: 4.651521321281382e-07
Position 646: 4.3887597185854224e-07
Position 220: 3.3509443859319763e-07
Position 448: 3.2011805324039697e-07
Position 724: 2.0578932586887214e-07
Position 664: 1.4047626727701724e-07
Position 104: 1.3599000236094188e-07
Position 249: 9.743170247271932e-08
Position 311: 8.124819316628419e-08
Position 750: 5.2759340635555375e-08
Position 466: 4.2391272759844365e-08
Position 697: 2.5706604195024058e-08
Position 287: 2.068454595020345e-08
Position 676: 1.811303489154531e-08
Position 273: 9.109586220116722e-09
Position 85: 5.12894581395277e-09
Position 673: 4.580875576090789e-09
Position 134: 2.9019840524674868e-09
Position 679: 2.4532530728490377e-09
Position 230: 1.7168359651589206e-09
Position 461: 1.4613272863487978e-09
Position 712: 2.9811869339602656e-10
Position 234: 1.3853790399867051e-10
Position 419: 1.167491068221781e-10
Position 452: 8.97012249588613e-11
Position 251: 8.39071975278948e-12
Position 87: 7.262210500697116e-17
