Gene = CkIIalpha-i1
index = 1075
Annotated 5SS: [195]
Annotated 3SS: [252]
SMsplice 5SS: [195]
SMsplice 3SS: [252]
Partition function (log Z): -5.8987897868118075

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9610855946934562
Position 1385: 0.07614791744108967
Position 433: 0.05643094934728159
Position 208: 0.03133215639479778
Position 412: 0.026829007514426722
Position 182: 0.005654070481656505
Position 1433: 0.002967529441899717
Position 1409: 0.001992140249025197
Position 704: 0.001681613072326646
Position 333: 0.0015498423288540018
Position 405: 0.0004878751623472685
Position 813: 0.0003269541540755349
Position 991: 0.00023797667952814386
Position 1056: 0.00018786529756029268
Position 1359: 0.00017512874205620095
Position 1186: 0.00017158474787417415
Position 667: 0.00012896479521425894
Position 743: 0.0001260030301589166
Position 1046: 0.00010140049914352192
Position 1158: 9.913227990636501e-05
Position 910: 9.11926520981244e-05
Position 1437: 8.809104501882877e-05
Position 558: 7.030003692611522e-05
Position 490: 6.6560993981917e-05
Position 532: 6.333532326205996e-05
Position 656: 5.8989040214432255e-05
Position 354: 5.650334617544021e-05
Position 1054: 5.241231118012833e-05
Position 1268: 5.224385906774164e-05
Position 577: 4.099905604685765e-05
Position 38: 3.4122354234205814e-05
Position 1552: 2.5229687871173713e-05
Position 746: 2.3021953153378648e-05
Position 612: 1.99597068178314e-05
Position 840: 1.4968069096011696e-05
Position 199: 1.1143648414698684e-05
Position 1020: 1.1139427225807431e-05
Position 1284: 9.601051832987497e-06
Position 1117: 9.275086990470149e-06
Position 880: 9.050816170352622e-06
Position 1206: 8.00411349170164e-06
Position 1082: 7.288318619478551e-06
Position 648: 7.078776935028632e-06
Position 753: 5.896515777424988e-06
Position 244: 5.415963753614558e-06
Position 901: 4.541617355340174e-06
Position 535: 4.069817043408458e-06
Position 1435: 3.7532071623652227e-06
Position 724: 3.2305781663802172e-06
Position 933: 2.930375286116721e-06
Position 1469: 1.972080119050969e-06
Position 928: 1.6579073687128647e-06
Position 1523: 1.5892755866910852e-06
Position 562: 1.4315981453672353e-06
Position 1142: 9.007963118649358e-07
Position 604: 8.839855806579241e-07
Position 1071: 6.735747616530161e-07
Position 1122: 3.332603714619954e-07
Position 1505: 2.778977974419347e-07
Position 942: 2.4440838567387307e-07
Position 1570: 1.993928526915928e-07
