Gene = Srp68
index = 1520
Annotated 5SS: [ 175  629 1354]
Annotated 3SS: [ 278  690 1411]
SMsplice 5SS: [ 175  629 1354]
SMsplice 3SS: [ 278  690 1411]
Partition function (log Z): 3.728858002034452

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.9817427415178095
Position 175: 0.9709783286770527
Position 1354: 0.8902344825084597
Position 1087: 0.11819295120901334
Position 391: 0.043623862471853396
Position 2207: 0.01785140435338464
Position 209: 0.01659866117869756
Position 1457: 0.01605258905725388
Position 624: 0.011771020366208411
Position 340: 0.004320893545006174
Position 819: 0.003086211623949328
Position 1259: 0.0027830266477873603
Position 2278: 0.0021959602179533965
Position 636: 0.002193190609234391
Position 619: 0.002057370185134762
Position 877: 0.001982597122585827
Position 1580: 0.0014643456845813436
Position 1244: 0.001229629589205829
Position 2113: 0.0011353757705866295
Position 1267: 0.001111520286923473
Position 814: 0.0009630452701950118
Position 1548: 0.0008726547823627043
Position 1072: 0.0007820471501837708
Position 1003: 0.0007722699533746844
Position 1362: 0.0004883149382528523
Position 1331: 0.0004817111273245435
Position 1461: 0.0003069584883829925
Position 471: 0.00029460429782444497
Position 168: 0.0002660723167036573
Position 1876: 0.00025830570226638595
Position 1091: 0.00024963923963089544
Position 817: 0.00020747216620664775
Position 2097: 0.00016597275818500926
Position 1884: 0.00015997141997012418
Position 179: 0.00011222722674682991
Position 2118: 8.670438152249062e-05
Position 1760: 7.736424335546759e-05
Position 1276: 6.360285111695536e-05
Position 1381: 5.925400367236582e-05
Position 1722: 5.732417908732015e-05
Position 1567: 4.279759293899062e-05
Position 1373: 3.946457462924522e-05
Position 1125: 3.93124108470976e-05
Position 514: 3.7078966782632736e-05
Position 1248: 3.1608802292549866e-05
Position 1301: 3.1034394661483495e-05
Position 1345: 2.8711044533529974e-05
Position 1319: 2.6778321858619963e-05
Position 622: 2.5869102653551884e-05
Position 1732: 2.2508058449438762e-05
Position 1175: 1.8895618599548817e-05
Position 1523: 1.6534529770068276e-05
Position 1475: 1.5153996319264467e-05
Position 2139: 1.4218806738682014e-05
Position 997: 1.4076334209542925e-05
Position 561: 1.2955460524508263e-05
Position 572: 1.1979107370191294e-05
Position 1066: 1.1108271900000197e-05
Position 646: 1.0389045316892252e-05
Position 594: 1.0034285950173839e-05
Position 1116: 8.387391937100543e-06
Position 431: 7.943556682256778e-06
Position 2211: 7.573022810955609e-06
Position 1007: 6.979254634033297e-06
Position 369: 5.9832985019080205e-06
Position 1806: 3.307582594004636e-06
Position 1095: 3.208943435946721e-06
Position 1852: 3.1851218499552454e-06
Position 1934: 2.8494306831089693e-06
Position 2167: 2.275835320732535e-06
Position 979: 1.8025523220256039e-06
Position 1210: 1.7659443805443776e-06
Position 141: 1.6416888290995676e-06
Position 723: 1.5079571263225388e-06
Position 2215: 1.4227022219291787e-06
Position 2224: 1.346797608077712e-06
Position 1076: 9.554649574440602e-07
Position 926: 8.992293052080051e-07
Position 1058: 5.627738580445282e-07
Position 1936: 5.408129689121723e-07
Position 1444: 5.296073487048834e-07
Position 1808: 5.161575277370102e-07
Position 5: 5.009297061495616e-07
Position 3: 4.6815522516854465e-07
Position 1106: 4.4426078190713487e-07
Position 49: 4.390129545362948e-07
Position 1763: 4.3701034514710035e-07
Position 538: 3.864551113726051e-07
Position 52: 3.7563796257732036e-07
Position 1667: 3.7351606732384356e-07
Position 935: 2.8063866322764214e-07
Position 1786: 2.8026958678484536e-07
Position 2231: 2.2292095454802262e-07
Position 2258: 2.2161050864787208e-07
Position 1834: 2.1917881862869587e-07
Position 1765: 1.9162613941319824e-07
Position 2006: 1.693349624495019e-07
Position 81: 1.6799855805679169e-07
Position 2195: 1.4187746151103806e-07
Position 1497: 1.1343772683700165e-07
Position 60: 1.0779224245739499e-07
Position 1909: 8.797558258947311e-08
Position 2282: 7.489144129776321e-08
Position 2075: 4.5139514343135757e-08
Position 658: 3.3048549764809036e-08
Position 62: 1.3235525865916747e-08
Position 114: 1.203562361425806e-08
Position 84: 1.1490295112883314e-08
Position 1888: 8.95318035314719e-09
Position 278: 5.097235137188575e-09
Position 2305: 4.4423913982286655e-09
Position 687: 1.5143272243223855e-10
Position 736: 1.1436623113474303e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 690: 0.9986016165424569
Position 278: 0.9329947375336438
Position 1411: 0.8822077182843389
Position 1444: 0.08403324654025299
Position 452: 0.07787851897916934
Position 1519: 0.018166300060331975
Position 2253: 0.014211103788434007
Position 1194: 0.01139449700250208
Position 304: 0.00835856302659177
Position 1206: 0.008291770980795985
Position 1230: 0.008017876029902449
Position 1417: 0.0067552264918162115
Position 337: 0.00660760101973289
Position 526: 0.004262492345189338
Position 295: 0.00386066401128613
Position 876: 0.0032090231211860942
Position 2339: 0.0031308497991030006
Position 1301: 0.002986791001197726
Position 1806: 0.0029106552827979615
Position 2324: 0.0028031995350480993
Position 1316: 0.0027648065003273836
Position 1149: 0.002696646188442093
Position 1486: 0.0021494030247622567
Position 1263: 0.0012348697949821838
Position 2181: 0.0011015410032592743
Position 923: 0.0010472909733199043
Position 1329: 0.0007001297975689758
Position 1651: 0.0005860545545127462
Position 2313: 0.0005821299009528359
Position 1239: 0.0005462507373535434
Position 717: 0.00029221830992359093
Position 1606: 0.00026198415006560745
Position 1007: 0.0002403497642215338
Position 1540: 0.00023176032836323208
Position 339: 0.000223523062404265
Position 400: 0.00022315141163796424
Position 1345: 0.00019315107892418993
Position 1146: 0.00019279757839266222
Position 2188: 0.0001836981240713899
Position 1162: 0.00017377101144498
Position 1942: 0.0001401100640258014
Position 2050: 0.00013438938066032623
Position 357: 0.00011738776791783646
Position 2282: 0.00010849779989416583
Position 502: 9.176014542168517e-05
Position 1158: 8.971085019970238e-05
Position 1537: 7.844871005477101e-05
Position 1106: 7.231069405866763e-05
Position 535: 6.79114929022313e-05
Position 457: 6.331382264561575e-05
Position 460: 5.1593521305130444e-05
Position 2080: 5.065742368988601e-05
Position 1065: 4.9112212421650175e-05
Position 1086: 3.8303557010011854e-05
Position 610: 3.496119898297491e-05
Position 1137: 3.4819068338992376e-05
Position 423: 3.274424121228165e-05
Position 1664: 3.1858097375147224e-05
Position 1924: 3.1423557797553976e-05
Position 532: 1.934875075206461e-05
Position 774: 1.7962576182489512e-05
Position 1353: 1.720729022496991e-05
Position 1852: 1.5092486008965459e-05
Position 1507: 1.3276342572204185e-05
Position 1900: 1.234319320365415e-05
Position 409: 1.1608514160693013e-05
Position 935: 1.0782211390716937e-05
Position 2224: 9.976211425529732e-06
Position 1738: 9.726257657318868e-06
Position 382: 9.593959645694435e-06
Position 1744: 8.721877143721222e-06
Position 721: 8.630118847719242e-06
Position 1113: 7.77637557371177e-06
Position 1786: 6.086698374828162e-06
Position 975: 5.711757979180138e-06
Position 1041: 5.450942969508249e-06
Position 1715: 5.409092310522534e-06
Position 945: 4.045832955788149e-06
Position 2026: 3.636746196032768e-06
Position 1759: 3.596365518710715e-06
Position 1011: 3.203594592100525e-06
Position 1028: 2.3842939721683507e-06
Position 1861: 2.221208548000285e-06
Position 391: 2.109294631257088e-06
Position 1575: 1.8477855711527378e-06
Position 580: 1.7465705853182106e-06
Position 2054: 1.5313005182572973e-06
Position 1357: 1.505845290628073e-06
Position 378: 9.049938497424128e-07
Position 119: 9.010586364621207e-07
Position 1909: 8.216278750315373e-07
Position 217: 6.674775914339325e-07
Position 2341: 6.617793220027625e-07
Position 814: 6.268541317926356e-07
Position 559: 5.712298853181559e-07
Position 1579: 5.500564813047225e-07
Position 1816: 5.441659086324203e-07
Position 1725: 4.84348863507577e-07
Position 74: 4.781043962117052e-07
Position 1705: 4.2643277055513357e-07
Position 1858: 4.235874241872227e-07
Position 1661: 4.114184252837381e-07
Position 1827: 4.091272892398559e-07
Position 979: 4.003879684035585e-07
Position 850: 3.587722877239169e-07
Position 1017: 3.109845247358933e-07
Position 1903: 3.0931726758245056e-07
Position 588: 2.934577719240811e-07
Position 804: 2.859597436175483e-07
Position 837: 2.715914188648063e-07
Position 2328: 2.431297519064127e-07
Position 2352: 2.339267504202476e-07
Position 768: 2.2065432760344833e-07
Position 696: 1.8182653820646372e-07
Position 538: 1.6087860033121654e-07
Position 1720: 1.3141024807873275e-07
Position 1023: 1.3002878725067477e-07
Position 730: 1.21454658905926e-07
Position 1555: 1.201766643832459e-07
Position 616: 1.0229193296196971e-07
Position 859: 8.349056367689095e-08
Position 2113: 8.251050727290388e-08
Position 147: 7.905324664134618e-08
Position 1125: 5.071377418656644e-08
Position 125: 4.6658394268896915e-08
Position 963: 4.0444286183813746e-08
Position 1116: 3.699595295102993e-08
Position 93: 3.4740828458411364e-08
Position 2011: 2.70059596503043e-08
Position 197: 2.0908848052362488e-08
Position 90: 1.645397694712599e-08
Position 1585: 1.6204440003095315e-08
Position 2326: 1.554904074229496e-08
Position 1747: 1.50359391319512e-08
Position 1831: 1.1365740569017354e-08
Position 723: 9.072741802479212e-09
Position 2118: 8.214058006124846e-09
Position 1722: 7.895335852416793e-09
Position 619: 4.069764872980496e-09
Position 550: 3.829344457917331e-09
Position 987: 3.816214190669542e-09
Position 1032: 3.056303104757497e-09
Position 861: 2.1560504059045276e-09
Position 1732: 1.831180241230411e-09
Position 2057: 1.7588720670736692e-09
Position 2343: 1.6085112636315217e-09
Position 1834: 9.432882517151956e-10
