Gene = ecd
index = 1690
Annotated 5SS: [362]
Annotated 3SS: [434]
SMsplice 5SS: [362]
SMsplice 3SS: [434]
Partition function (log Z): -10.324104893725726

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.9292914000487801
Position 232: 0.03649433314033939
Position 554: 0.01712550919881086
Position 1866: 0.010849821479884718
Position 375: 0.009200928746605478
Position 1004: 0.008829030227960836
Position 292: 0.008023117664644587
Position 650: 0.007241063153479352
Position 732: 0.005797931075519533
Position 496: 0.004549391851530526
Position 169: 0.004151209959597411
Position 138: 0.0026370943802974376
Position 2063: 0.0022588214905993505
Position 628: 0.0012511373601192433
Position 616: 0.0007576956537274824
Position 1697: 0.0006769233369377964
Position 1307: 0.0005644053514920545
Position 845: 0.0005468938608197626
Position 654: 0.0005426647769271547
Position 754: 0.0005105787386864521
Position 911: 0.00030871024948023336
Position 778: 0.0002967139142948193
Position 111: 0.00021220109234662543
Position 1896: 0.00019520804901921858
Position 992: 0.0001745421179672869
Position 781: 0.0001677863353303457
Position 1796: 0.00013763845301472338
Position 1024: 0.00013748368929746092
Position 1674: 8.824266820552046e-05
Position 1309: 6.130015308088969e-05
Position 1020: 5.8620860622282116e-05
Position 641: 5.4454553305511276e-05
Position 1456: 4.918008428639244e-05
Position 1008: 3.534060315307823e-05
Position 1178: 3.441501947041237e-05
Position 1775: 3.157472859045412e-05
Position 493: 2.7641905567136498e-05
Position 133: 2.1476752190558794e-05
Position 392: 1.9551059653225278e-05
Position 243: 1.7475801492938456e-05
Position 461: 1.7194042648594104e-05
Position 1332: 1.708598001824006e-05
Position 1453: 1.7061909734977652e-05
Position 725: 1.2541856888090974e-05
Position 528: 9.090450455693172e-06
Position 500: 8.715296649352864e-06
Position 1048: 7.219886951550136e-06
Position 657: 7.149976009626942e-06
Position 1356: 6.37598377082184e-06
Position 503: 5.8115335508503e-06
Position 115: 5.11596130158617e-06
Position 805: 5.1152785215426985e-06
Position 1219: 5.06648358696997e-06
Position 1726: 3.740615982606964e-06
Position 1279: 3.5959008047094715e-06
Position 574: 3.5388441285027885e-06
Position 1091: 2.36477244308346e-06
Position 1927: 2.2946379766650248e-06
Position 1742: 2.1240536589134504e-06
Position 1272: 1.2544115925902796e-06
Position 279: 7.128039725004764e-07
Position 1552: 7.039451017649577e-07
Position 1033: 6.305638429607581e-07
Position 1573: 5.032112014546592e-07
Position 1967: 4.643449161662171e-07
Position 17: 3.1912803418839997e-07
Position 1317: 1.9782113525979665e-07
Position 24: 1.652780912096881e-07
Position 1898: 1.3896249576379832e-07
Position 1375: 1.1410848052444631e-07
Position 2105: 1.0303004324095451e-07
Position 1975: 9.043278238148596e-08
Position 264: 5.269268101972681e-08
Position 1143: 4.735756850549372e-08
Position 1588: 4.1889656315200974e-08
Position 1900: 2.0262349297395553e-08
Position 1951: 1.6689906389057035e-08
Position 423: 1.4181986917009982e-08
Position 26: 1.134576051330833e-08
Position 2150: 4.84094584427035e-09
Position 2158: 2.0982745676782896e-09
Position 2118: 2.050597457634502e-09
Position 2165: 4.646944336282324e-10
Position 1036: 3.9663334723093896e-10
Position 2134: 3.077943420033662e-10
Position 2123: 2.470869081707451e-10
Position 2197: 3.34553587489644e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 434: 0.8416436155360365
Position 844: 0.10334887875834274
Position 1918: 0.030922734260871488
Position 1939: 0.025406332422875995
Position 2139: 0.00925071473045544
Position 291: 0.006847578147477799
Position 769: 0.005717348596590123
Position 2104: 0.003731652837973843
Position 1048: 0.0035963791715196715
Position 915: 0.0023420918786577548
Position 1045: 0.0019951919142202914
Position 1388: 0.0016700249668808351
Position 1495: 0.0015376275126484278
Position 207: 0.001485022986822622
Position 486: 0.0014335180590567226
Position 1135: 0.0013085326947374827
Position 1063: 0.001289301528189362
Position 1750: 0.0008499950807612062
Position 285: 0.000812864030272103
Position 2117: 0.0007622031608702038
Position 1327: 0.0007370520963953315
Position 236: 0.0007249573531490481
Position 520: 0.000680264343763218
Position 889: 0.0006577762497077865
Position 874: 0.0005235132710073501
Position 1666: 0.0004308108464013749
Position 250: 0.00027138397396632696
Position 1889: 0.00024577784345375224
Position 811: 0.00021656574575174673
Position 1682: 0.00019093325328076632
Position 1343: 0.0001733008070044223
Position 886: 0.00017015335571190124
Position 637: 0.00016302033688851851
Position 1564: 0.0001587033726371545
Position 1960: 0.00015723643753629474
Position 1192: 0.0001539353353188254
Position 1580: 0.0001289798754402672
Position 693: 0.00012458098136328664
Position 667: 0.00012205683759850101
Position 1516: 0.00012020675580233048
Position 279: 0.00010673811276617439
Position 1467: 0.00010210568028697985
Position 676: 9.337942819947168e-05
Position 864: 8.6883149283034e-05
Position 1435: 8.089877979292257e-05
Position 1174: 7.755024070374172e-05
Position 2091: 6.997553990510484e-05
Position 174: 6.847012258819422e-05
Position 1588: 6.801889878626123e-05
Position 1114: 6.509482452342795e-05
Position 1993: 5.035402897461303e-05
Position 1936: 4.131878819294272e-05
Position 387: 3.911311954680909e-05
Position 802: 3.801575047042148e-05
Position 1350: 3.731960783015146e-05
Position 1723: 3.073470824829024e-05
Position 805: 3.056871564704393e-05
Position 690: 2.708044420231265e-05
Position 778: 2.497087278306745e-05
Position 982: 2.2860135657394123e-05
Position 257: 2.0226942181797807e-05
Position 156: 1.8881151335434562e-05
Position 2008: 1.800789001153362e-05
Position 1990: 1.3393066441281839e-05
Position 1513: 1.268154223465953e-05
Position 1696: 1.261864159099878e-05
Position 1198: 1.2389737959649753e-05
Position 1996: 1.2045989447485313e-05
Position 1279: 1.195557931380804e-05
Position 1549: 1.167055620310046e-05
Position 894: 1.1150083572812345e-05
Position 1552: 1.1076389375827634e-05
Position 273: 9.439085578666e-06
Position 1143: 7.98477175446959e-06
Position 1561: 7.670672317155545e-06
Position 1169: 7.432578490591767e-06
Position 1756: 6.715167720586428e-06
Position 820: 6.548413409915649e-06
Position 1807: 6.0694492975809615e-06
Position 949: 5.9794034914327355e-06
Position 243: 5.9682373537579515e-06
Position 1272: 5.8451902238541575e-06
Position 1481: 5.509574456896205e-06
Position 589: 5.275227961104634e-06
Position 1525: 5.13018200084272e-06
Position 574: 4.485767670106327e-06
Position 1474: 4.437717603601524e-06
Position 1099: 4.37768994709401e-06
Position 2221: 4.258395504297556e-06
Position 1691: 3.899887144489717e-06
Position 1831: 3.5827398700204148e-06
Position 1643: 3.4879873733893808e-06
Position 1285: 3.446782439748263e-06
Position 1624: 2.043935292400138e-06
Position 1300: 2.0201634439660324e-06
Position 1267: 1.971094430186244e-06
Position 1965: 1.8480913543192369e-06
Position 1732: 1.8296454474527845e-06
Position 1440: 1.6947842566146712e-06
Position 1060: 1.633034365108414e-06
Position 1767: 1.4034048818352518e-06
Position 1951: 1.3746460963819272e-06
Position 1306: 1.210015347146865e-06
Position 1616: 9.737694045120042e-07
Position 351: 9.069656133239205e-07
Position 1183: 6.86113127323338e-07
Position 1600: 6.63559519681513e-07
Position 2210: 6.568646739811625e-07
Position 1654: 6.005515970635203e-07
Position 2038: 5.997728665252e-07
Position 1065: 5.419596951886103e-07
Position 2233: 4.819838424751467e-07
Position 1153: 4.6318537091614e-07
Position 1896: 3.91981378999994e-07
Position 1705: 3.8568371123369513e-07
Position 312: 3.7300624950313935e-07
Position 1288: 3.477275486155597e-07
Position 772: 3.2295257862319554e-07
Position 1702: 2.9526574910678386e-07
Position 1393: 2.714604158686968e-07
Position 493: 2.3581757717765735e-07
Position 219: 2.1397564239873444e-07
Position 2176: 2.1218765178335674e-07
Position 180: 2.0685369172744526e-07
Position 1408: 1.7357246140358432e-07
Position 928: 1.5571528049578193e-07
Position 853: 1.4757283625324502e-07
Position 1243: 1.4027262971599788e-07
Position 1975: 1.1864178985573538e-07
Position 2185: 1.1768033880599955e-07
Position 634: 9.580894949951314e-08
Position 2000: 7.940544516496695e-08
Position 296: 6.185610795238195e-08
Position 2240: 5.353995870241049e-08
Position 1420: 5.0296426898049946e-08
Position 1330: 4.8125747893510445e-08
Position 697: 4.673214213136601e-08
Position 348: 4.645876318289907e-08
Position 61: 3.342326638202313e-08
Position 1230: 2.649854982211234e-08
Position 1352: 2.3437599991319847e-08
Position 1864: 2.0241626490365942e-08
Position 97: 1.789523279540309e-08
Position 1423: 1.641301511941318e-08
Position 345: 1.433333472580786e-08
Position 1631: 1.1817209764423614e-08
Position 1363: 8.704514799569845e-09
Position 558: 7.500788279041608e-09
