Gene = Shc
index = 1501
Annotated 5SS: [315]
Annotated 3SS: [376]
SMsplice 5SS: [315]
SMsplice 3SS: [376]
Partition function (log Z): -4.554307906167977

Sorted 5' Splice Sites (High to Low Probability):
Position 315: 0.9951623718753425
Position 543: 0.007828866284898763
Position 319: 0.004371939489799442
Position 864: 0.0024931029536060315
Position 1190: 0.0023055269607042956
Position 1445: 0.0010416965867921309
Position 739: 0.0008659919829425216
Position 989: 0.00064193215946119
Position 766: 0.0005349489149571077
Position 498: 0.0004307889758560622
Position 243: 0.000282167814572131
Position 1161: 0.0002541452914511407
Position 696: 0.000250674967690533
Position 589: 0.00023111116713281558
Position 220: 0.00017264241089861166
Position 1092: 0.0001647625401186064
Position 1368: 0.00015446514844278712
Position 30: 0.00014199100712964188
Position 1558: 0.000137494714472809
Position 18: 0.00013008157336052767
Position 803: 0.0001139743991230274
Position 299: 0.00011220910812011503
Position 713: 8.599661544929729e-05
Position 306: 7.276518068126009e-05
Position 795: 7.025247003526656e-05
Position 528: 3.55745629827041e-05
Position 238: 1.8737135828358744e-05
Position 652: 1.7081570047675155e-05
Position 1194: 1.1728128465584874e-05
Position 1360: 1.1612126167097105e-05
Position 1500: 1.1508116731926175e-05
Position 1397: 9.876705742174973e-06
Position 840: 9.715825602036256e-06
Position 575: 9.311253218757987e-06
Position 581: 8.229457156294935e-06
Position 1531: 7.848054689330518e-06
Position 1257: 7.089757476380695e-06
Position 416: 6.112227676836184e-06
Position 1552: 5.9813480373572526e-06
Position 1132: 5.930236722620198e-06
Position 1035: 4.718438157640751e-06
Position 409: 3.855647738095435e-06
Position 1097: 3.0753447920634473e-06
Position 262: 2.9126461123188506e-06
Position 895: 2.6933747015256703e-06
Position 1353: 2.1778324893056507e-06
Position 508: 2.131255118089499e-06
Position 224: 1.7708982187852285e-06
Position 1094: 1.6492805279868868e-06
Position 1058: 1.4599527972940102e-06
Position 1523: 7.574796099378457e-07
Position 208: 7.288091525619898e-07
Position 1556: 6.779046533085507e-07
Position 1254: 6.380143790047806e-07
Position 1047: 5.905677272866717e-07
Position 355: 4.2704677036887696e-07
Position 380: 2.9144262095581786e-07
Position 167: 2.601876621285217e-07
Position 515: 2.5555310941501214e-07
Position 256: 1.678860035899003e-07
Position 1169: 1.5638463783159282e-07
Position 393: 1.1454047723080921e-07
Position 1056: 1.1049776288680281e-07
Position 345: 5.5388129712420953e-08
Position 897: 3.903249743311238e-08
Position 657: 2.9132034595594906e-08
Position 336: 6.794074181813959e-09
Position 359: 4.361624172951984e-09
Position 226: 3.4187925233813104e-09
Position 350: 6.063016380323388e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9910109314428214
Position 1086: 0.005117842065642619
Position 781: 0.0031174352981374895
Position 624: 0.0030366872902232098
Position 1624: 0.002861286264137012
Position 1285: 0.0021677223289519928
Position 1534: 0.0021132674505258777
Position 827: 0.0016456080966344372
Position 1250: 0.0015494831588679153
Position 920: 0.0006733406425033597
Position 863: 0.0004680557424254876
Position 1023: 0.00037170302734775164
Position 463: 0.00034239593145486604
Position 742: 0.00029188255506280045
Position 1142: 0.0002625123538660778
Position 1291: 0.0002477223196715648
Position 1117: 0.00024599471931664735
Position 977: 0.00023890483602038816
Position 306: 0.00023027183247569563
Position 860: 0.0002240149843133551
Position 739: 0.00019643666548628636
Position 840: 0.00018288256351233701
Position 1650: 0.00018144402656891016
Position 940: 0.0001676049874558807
Position 121: 0.0001305274073747224
Position 64: 0.00012434996787433436
Position 1014: 0.00012291540662439894
Position 1209: 0.00011514441415451749
Position 1145: 0.0001145927460540852
Position 523: 6.91701548125032e-05
Position 1175: 6.137565580268073e-05
Position 1375: 5.653618586214931e-05
Position 629: 5.26478314182776e-05
Position 1349: 5.018677148064746e-05
Position 917: 4.864738619479142e-05
Position 1091: 4.678031142152969e-05
Position 710: 4.2673484709062915e-05
Position 1511: 3.7258861014392143e-05
Position 1269: 2.8261593303488413e-05
Position 837: 2.1953839876439695e-05
Position 416: 2.0733734308505097e-05
Position 1498: 1.8544462182315285e-05
Position 428: 1.5778421658295987e-05
Position 993: 1.2989933867151829e-05
Position 294: 1.2462009160431034e-05
Position 791: 1.1845524379530282e-05
Position 696: 1.0696132352491963e-05
Position 470: 1.0346126933501215e-05
Position 869: 1.0077828630162592e-05
Position 310: 5.951518612509858e-06
Position 803: 5.8132427644292435e-06
Position 89: 4.24486571264006e-06
Position 1382: 4.110764090297177e-06
Position 141: 4.106108133952302e-06
Position 1413: 3.926661801095423e-06
Position 549: 3.7938847346819125e-06
Position 1450: 3.6670604502081955e-06
Position 1385: 3.660676526111024e-06
Position 83: 3.380792949854232e-06
Position 71: 2.9456175546022876e-06
Position 788: 2.853872094379437e-06
Position 1340: 2.7430877552916857e-06
Position 393: 2.694278827837084e-06
Position 1217: 2.2771267105325765e-06
