Gene = MESR6
index = 1266
Annotated 5SS: [651 771]
Annotated 3SS: [728 992]
SMsplice 5SS: [651]
SMsplice 3SS: [992]
Partition function (log Z): -6.096030304851795

Sorted 5' Splice Sites (High to Low Probability):
Position 651: 0.9972043829375593
Position 899: 0.01842451062808605
Position 906: 0.013799991670788343
Position 1181: 0.011081603241105093
Position 1067: 0.009182451916779959
Position 1528: 0.00597093154598801
Position 247: 0.0043183903646582394
Position 443: 0.0036690155337570666
Position 1367: 0.002439863872902061
Position 84: 0.002397179506498131
Position 814: 0.0021516513276417038
Position 743: 0.0017915982415259064
Position 28: 0.001364408660114693
Position 461: 0.0009689562151975192
Position 125: 0.0005717590946988487
Position 771: 0.0005621468631212822
Position 216: 0.00044981359204559806
Position 201: 0.00043739835103162974
Position 1101: 0.0003010442734215154
Position 1541: 0.0002752400739934454
Position 836: 0.00024098820542767845
Position 841: 0.00018132599492776932
Position 1169: 0.0001695741362576956
Position 1526: 0.00016830661705276304
Position 21: 0.00015692299646063155
Position 261: 0.00013694800526902119
Position 551: 0.00011464250869098009
Position 601: 0.00011432622881085937
Position 353: 9.918656480368529e-05
Position 763: 8.437412486143443e-05
Position 386: 8.240726807239463e-05
Position 955: 8.212283198528397e-05
Position 1675: 7.103989663256493e-05
Position 1820: 5.804477982808467e-05
Position 1511: 4.2957954957216794e-05
Position 1695: 3.899795593507329e-05
Position 1375: 3.8705657521930684e-05
Position 469: 3.677458568575064e-05
Position 251: 3.570867150387867e-05
Position 67: 3.509185942253798e-05
Position 434: 3.1093809950921337e-05
Position 1105: 2.709841476754407e-05
Position 207: 2.526413405652098e-05
Position 844: 2.4479667379847902e-05
Position 114: 2.4045712247335703e-05
Position 1250: 2.1149679591948478e-05
Position 168: 1.985506847559367e-05
Position 1666: 1.6969603183467813e-05
Position 1996: 1.4382871968598325e-05
Position 95: 1.2874839180891828e-05
Position 1358: 9.217241109533116e-06
Position 1880: 9.166170766382851e-06
Position 1778: 6.955432281823387e-06
Position 1999: 6.423344403011064e-06
Position 576: 5.513335871438588e-06
Position 1913: 2.684313219629491e-06
Position 1514: 2.665869669916281e-06
Position 1715: 2.4181864392135713e-06
Position 97: 2.1973252714975116e-06
Position 1030: 1.8966800025972172e-06
Position 111: 1.7462220064607596e-06
Position 1094: 1.7221522844907797e-06
Position 119: 1.1682756933502895e-06
Position 953: 6.530485382960635e-07
Position 1432: 5.091711628203679e-07
Position 78: 3.3629756431595956e-07
Position 524: 2.3800374028208805e-07
Position 1799: 9.880219792354228e-08
Position 1724: 7.156208041989733e-08
Position 1010: 1.0908338715657013e-08
Position 1007: 6.755555308327979e-09
Position 1012: 3.1275907264565374e-09
Position 1960: 1.7712085521754342e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 992: 0.6348096906975981
Position 728: 0.19187073789279882
Position 946: 0.17014755294820233
Position 1705: 0.025881087561361225
Position 1278: 0.012479560348744773
Position 511: 0.0122035353395251
Position 872: 0.00920026508544512
Position 802: 0.005338925581945253
Position 814: 0.004140985061414782
Position 1330: 0.0012826880471721596
Position 1021: 0.0010614653764764684
Position 786: 0.0010553721498001553
Position 1754: 0.0009748978953105227
Position 1693: 0.0008624774490109618
Position 95: 0.0007370531451318903
Position 953: 0.0006085608464633452
Position 1039: 0.0005952863663827576
Position 1771: 0.0005637740752937428
Position 734: 0.0005076091564407407
Position 1309: 0.0005050909485603099
Position 749: 0.0004754895930568441
Position 1617: 0.00038921508160896714
Position 1816: 0.00033063084395127117
Position 1415: 0.0002791205577989979
Position 2078: 0.00024298975692892862
Position 1397: 0.00021037560346998568
Position 1356: 0.0002059553754306477
Position 763: 0.00018194607688984575
Position 1234: 0.00017788446082709196
Position 1447: 0.00015366782765478506
Position 1036: 0.00013164784313317806
Position 1653: 0.00013161129481965473
Position 1053: 0.00012578553519947572
Position 1724: 0.00012199126222726816
Position 1156: 0.00011823316685161358
Position 1777: 0.00011233572927257482
Position 1066: 0.00010971133129567788
Position 1715: 0.00010778372219069766
Position 924: 9.40433637874939e-05
Position 1078: 8.622227146603969e-05
Position 1366: 8.611127988440121e-05
Position 693: 8.561011996700285e-05
Position 1910: 8.165326585380648e-05
Position 852: 7.303197554856868e-05
Position 1336: 6.958752465051613e-05
Position 104: 5.804710416100922e-05
Position 84: 5.696038497545557e-05
Position 1468: 5.2533499598381816e-05
Position 305: 4.939861266679185e-05
Position 615: 3.8213971316700026e-05
Position 163: 3.168111941982613e-05
Position 1262: 2.758521008178075e-05
Position 119: 2.5625751070293256e-05
Position 201: 2.3703130276792978e-05
Position 1819: 2.2318870456820893e-05
Position 1999: 2.1488696339842733e-05
Position 592: 1.858816046719753e-05
Position 298: 1.612455175627904e-05
Position 1939: 1.449493944162345e-05
Position 1558: 1.3694544881707452e-05
Position 391: 1.2995689700279285e-05
Position 1888: 1.2215092193523424e-05
Position 1394: 1.0321372462038676e-05
Position 272: 9.02585780515414e-06
Position 1193: 7.828914625869183e-06
Position 1180: 7.628682985653415e-06
Position 313: 7.385132996484394e-06
Position 1537: 5.565987731581365e-06
Position 424: 4.965941565323619e-06
Position 576: 4.733868818076358e-06
Position 2013: 4.6933370230109925e-06
Position 1989: 4.657232014842316e-06
Position 125: 4.5994124235549966e-06
Position 316: 4.078309529279734e-06
Position 135: 3.9772368062285936e-06
Position 1498: 3.7868552479588456e-06
Position 1243: 3.228978587703616e-06
Position 1526: 3.218016797847584e-06
Position 1847: 3.1012999475477154e-06
Position 1564: 2.9464850563785344e-06
Position 1363: 2.3964878138851587e-06
Position 1432: 2.3010419430279346e-06
Position 1664: 2.0966512757736546e-06
Position 1833: 1.4436623389529085e-06
Position 469: 1.4020707040512473e-06
Position 1792: 1.0559225177780565e-06
Position 1577: 1.027479195564802e-06
Position 289: 9.906150636407885e-07
Position 67: 9.847208284033696e-07
Position 1147: 9.572218137635476e-07
Position 408: 9.533731810314029e-07
Position 1426: 8.358333780327303e-07
Position 207: 7.358483900144194e-07
Position 650: 7.255361792194e-07
Position 216: 6.47841105751739e-07
Position 111: 6.192980661801073e-07
Position 1471: 5.459975491622941e-07
Position 906: 5.209699617500555e-07
Position 1375: 3.8326569912807745e-07
Position 1203: 2.7213351936658945e-07
Position 836: 2.7151634401640254e-07
Position 364: 2.601306121481927e-07
Position 332: 1.9135074839407386e-07
Position 1339: 1.7946058398472897e-07
Position 1486: 1.443583308987471e-07
Position 1474: 1.4300117989379852e-07
Position 367: 1.420120486997056e-07
Position 1231: 1.34514481137329e-07
Position 223: 1.2687290085454513e-07
Position 245: 1.1011127197867188e-07
Position 414: 8.310106759340184e-08
Position 1165: 7.711496980458024e-08
Position 1372: 5.750611666727549e-08
Position 1666: 4.2437891596847996e-08
Position 1895: 2.7788906969288625e-08
Position 274: 1.984436826774763e-08
Position 166: 1.895649133503719e-08
Position 622: 1.8513755754946e-08
Position 291: 1.546886936623341e-08
Position 1094: 1.3245265484435241e-08
Position 1174: 1.1904714554901964e-08
Position 319: 9.488527682078085e-09
Position 1419: 6.8572930428299535e-09
Position 328: 6.773289880600238e-09
Position 342: 6.585842420638468e-09
Position 1417: 6.093640181763996e-09
Position 676: 6.071448332121783e-09
Position 361: 4.863268122120471e-09
Position 346: 4.2731206569463295e-09
Position 1567: 7.287602172562291e-10
Position 349: 6.635699588975235e-10
Position 269: 6.479296164695497e-10
Position 337: 5.440060293182545e-10
Position 1507: 5.149627484591718e-10
Position 379: 6.368867930914089e-11
Position 232: 5.7589851682976726e-11
Position 655: 3.799245001743424e-11
Position 610: 1.6744985223678194e-11
Position 1167: 1.1691039775679176e-12
Position 168: 2.8484774847719705e-13
Position 678: 1.3940090144070354e-13
Position 247: 3.743670918320501e-14
Position 351: 1.961290438960522e-18
