Gene = w-cup
index = 1933
Annotated 5SS: [1037]
Annotated 3SS: [1096]
SMsplice 5SS: [1037]
SMsplice 3SS: [1096]
Partition function (log Z): -5.979695190588702

Sorted 5' Splice Sites (High to Low Probability):
Position 1037: 0.9814299654475175
Position 1187: 0.07982042693114566
Position 1447: 0.024449217100795045
Position 949: 0.015101301294888517
Position 533: 0.004499916740950755
Position 1117: 0.002367052128017777
Position 367: 0.001988292181211489
Position 295: 0.0016945906172017285
Position 49: 0.001686220206133807
Position 1050: 0.0015726618790562928
Position 1283: 0.0014419274447821603
Position 148: 0.0013315627060660434
Position 523: 0.0013151531576117992
Position 546: 0.0006619613333490468
Position 1548: 0.0005712469294964509
Position 467: 0.0005319250796405649
Position 139: 0.0005026538104943168
Position 819: 0.0004932964533832701
Position 9: 0.00044152034205593066
Position 1008: 0.00029589330243105506
Position 772: 0.00024337925709781347
Position 14: 0.00020459872838016457
Position 236: 0.0001847764573578302
Position 678: 0.00016056290442386794
Position 1416: 0.0001508951308283382
Position 738: 0.00014794946141084614
Position 954: 7.533154216539906e-05
Position 611: 7.273627480832347e-05
Position 25: 6.903783147649251e-05
Position 1608: 5.959039316847693e-05
Position 1829: 5.576278116205231e-05
Position 1737: 5.1887224756583685e-05
Position 1719: 4.412624132412134e-05
Position 1316: 3.572183300788294e-05
Position 108: 3.1083879215537134e-05
Position 1499: 2.9087758491210765e-05
Position 1365: 2.7581799985115755e-05
Position 220: 2.380488361697504e-05
Position 1405: 2.23062942902358e-05
Position 1682: 1.8987288650811362e-05
Position 909: 1.4813080896099539e-05
Position 393: 1.1225490830815396e-05
Position 690: 9.404672132722616e-06
Position 246: 4.078644002821472e-06
Position 1839: 4.0111232974099645e-06
Position 937: 3.346943030958137e-06
Position 1854: 1.3545175529600469e-06
Position 1739: 1.1545066343837665e-06
Position 1801: 1.107658612175206e-06
Position 1137: 9.856839251326246e-07
Position 1191: 3.9343598434545693e-07
Position 645: 3.167736748154021e-07
Position 889: 3.108626408224012e-07
Position 1776: 2.416021329368336e-07
Position 642: 1.4608482989117505e-07
Position 1768: 1.4073399253832045e-07
Position 1610: 1.3598509047847715e-07
Position 1847: 1.2336540185416887e-07
Position 1096: 6.439286445939566e-08
Position 619: 1.2662589766044676e-08
Position 1099: 2.504975068971527e-10
Position 1806: 1.6685987030313426e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1096: 0.5850590639538767
Position 1099: 0.40796432186667475
Position 1652: 0.025439662517649266
Position 1608: 0.01846305560891741
Position 1494: 0.015607726644273356
Position 1674: 0.009909586586950573
Position 603: 0.009666561273003296
Position 1632: 0.00879089351520658
Position 1105: 0.006199354319671691
Position 1307: 0.005074708725597718
Position 1338: 0.004735119869644422
Position 1548: 0.003635561335892495
Position 1635: 0.002576675005513284
Position 1267: 0.0025646842167036557
Position 1313: 0.002527334023881683
Position 1235: 0.0019204685416703057
Position 1765: 0.0019131800158971271
Position 1806: 0.0016906257835640564
Position 120: 0.0010490780844560174
Position 899: 0.0007496988251800701
Position 1434: 0.000680064042718777
Position 1405: 0.0006663076100186537
Position 1429: 0.000654722781189706
Position 1324: 0.0005670406771213801
Position 606: 0.0005365719051537864
Position 1768: 0.0005256242221458643
Position 419: 0.0004987165456210414
Position 1382: 0.000393705048697336
Position 431: 0.0003863156874154238
Position 266: 0.0003837893162457281
Position 889: 0.00035546926026094677
Position 1412: 0.00032098130508627907
Position 1008: 0.0002651469337500169
Position 669: 0.0002089965172712808
Position 189: 0.000171859598511151
Position 590: 0.00016156805334834843
Position 515: 0.00014681297304356013
Position 339: 0.0001374386049621091
Position 192: 0.00011044027107983625
Position 1232: 0.00010043922313026586
Position 1199: 9.997531040180078e-05
Position 1554: 9.261992673955818e-05
Position 1910: 8.815735391334545e-05
Position 630: 8.144342056031684e-05
Position 786: 7.743124136871053e-05
Position 1340: 7.151837063285106e-05
Position 1386: 6.838553934036092e-05
Position 661: 5.147810071090649e-05
Position 1202: 5.113301983002127e-05
Position 1180: 3.575545625681852e-05
Position 865: 3.0920220053820674e-05
Position 1277: 3.056839184914049e-05
Position 1154: 2.647982629567224e-05
Position 1166: 2.4148676847301645e-05
Position 1447: 2.267538617828511e-05
Position 627: 2.0673875270713966e-05
Position 1121: 1.9188085237742208e-05
Position 1347: 1.798962271696625e-05
Position 1356: 1.7062255885500208e-05
Position 291: 1.569157436040677e-05
Position 1839: 1.412602346897287e-05
Position 1915: 1.3956968714028213e-05
Position 201: 1.3271994455663649e-05
Position 836: 1.2389480060507622e-05
Position 1143: 1.0293816214986764e-05
Position 328: 1.0293077211606423e-05
Position 367: 9.956680314221637e-06
Position 834: 9.219314428292078e-06
Position 710: 8.767324862343766e-06
Position 683: 8.688685089733918e-06
Position 482: 8.6561101676734e-06
Position 767: 8.58360660274413e-06
Position 241: 7.732578153762486e-06
Position 236: 6.26460461779909e-06
Position 1682: 6.227010207516879e-06
Position 619: 6.17156098476609e-06
Position 678: 5.64006393622405e-06
Position 1223: 5.139683722308582e-06
Position 819: 3.876569768648906e-06
Position 523: 3.84260773162945e-06
Position 295: 3.2169210971665464e-06
Position 791: 3.195116342943833e-06
Position 738: 2.759379985174161e-06
Position 853: 2.6065323837308202e-06
Position 81: 2.4839342489793672e-06
Position 1271: 1.9153457884325554e-06
Position 734: 1.7440076001334723e-06
Position 435: 1.3112519875385053e-06
Position 1041: 1.1954970432163237e-06
Position 353: 1.1393910046440614e-06
Position 572: 1.0680422206173642e-06
Position 1701: 1.0469192889398842e-06
Position 914: 9.973148699137425e-07
Position 135: 7.847211613457801e-07
Position 465: 7.713038848457228e-07
Position 1660: 7.307386290076512e-07
Position 869: 7.03379176486617e-07
Position 533: 6.300150855341599e-07
Position 772: 4.303714456691917e-07
